Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,15338.000000,1042214.000000,4568.000000,1037646.000000,1042214.000000,10207.000000,10207.000000,10207.000000,113432.000000,847931.000000,2029122.000000,,,,,191859.000000,33330665.000000,180509.000000,33703033.000000,35732155.000000,,,2534692.000000,319748.000000,,,1851285.000000,1851285.000000,16403.000000,233717.000000,,96000.000000,17539.000000,113539.000000,,2534692.000000,15744578.000000,,15609919.000000,85034.000000,15694953.000000,49625.000000,15744578.000000,18279270.000000,,978090.000000,5929620.000000,,5929620.000000,5929620.000000,,10545175.000000,17452885.000000,35732155.000000,12506.000000
12M 2022,,,199313.000000,1861746.000000,9024.000000,1852722.000000,1861746.000000,7072.000000,7072.000000,7072.000000,100605.000000,927565.000000,3096301.000000,,,,,161749.000000,31440930.000000,179229.000000,31781908.000000,34878209.000000,,,1998212.000000,,,,1490582.000000,1490582.000000,60052.000000,81366.000000,,347633.000000,18579.000000,366212.000000,,1998212.000000,15599790.000000,,15481538.000000,58552.000000,15540090.000000,59700.000000,15599790.000000,17598002.000000,,978090.000000,6237390.000000,,6237390.000000,6237390.000000,,10064727.000000,17280207.000000,34878209.000000,12506.000000
12M 2023,,,488167.000000,2567689.000000,25.000000,2567664.000000,2567689.000000,145845.000000,145845.000000,145845.000000,174690.000000,969511.000000,4345902.000000,,64861.000000,64861.000000,64861.000000,,30249161.000000,110137.000000,30424159.000000,34770061.000000,,,2416781.000000,486293.000000,,,1402197.000000,1402197.000000,19922.000000,121200.000000,,360000.000000,27169.000000,387169.000000,,2416781.000000,15108564.000000,,15008676.000000,38065.000000,15046741.000000,61823.000000,15108564.000000,17525345.000000,,978090.000000,6466051.000000,,6466051.000000,6466051.000000,,9800575.000000,17244716.000000,34770061.000000,12506.000000
12M 2024,,,634052.000000,3308592.000000,67.000000,3308525.000000,3308592.000000,87863.000000,87863.000000,87863.000000,216865.000000,1320198.000000,5567570.000000,,1729337.000000,1729337.000000,1729337.000000,,28743182.000000,212391.000000,30684910.000000,36252480.000000,,,3305804.000000,,,285257.000000,1305169.000000,1590426.000000,58241.000000,97165.000000,,1364112.000000,20545.000000,1384657.000000,175315.000000,3305804.000000,8980087.000000,,8910602.000000,15749.000000,8926351.000000,53736.000000,8980087.000000,12285891.000000,,1293420.000000,7820614.000000,30499.000000,7790115.000000,7820614.000000,,14852555.000000,23966589.000000,36252480.000000,3501680000.000000
