Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,8631064.000000,-8214537.000000,416527.000000,-593704.000000,-593704.000000,-593704.000000,-177177.000000,-916927.000000,-1021078.000000,8285.000000,272.000000,106247.000000,-13735.000000,3082.000000,-916927.000000,-1094104.000000,-110802.000000,-1204906.000000,10545001.000000,9340095.000000,-1204906.000000,-1204906.000000,,-1204906.000000,9340095.000000,9340095.000000,,9340095.000000
12M 2022,13633377.000000,-11705586.000000,1927791.000000,-702136.000000,-702136.000000,-702136.000000,1225655.000000,-921430.000000,-920853.000000,20873.000000,591.000000,-30110.000000,7397.000000,672.000000,-921430.000000,304225.000000,-163852.000000,140373.000000,-313051.000000,-172678.000000,140373.000000,140373.000000,,140373.000000,-172678.000000,-172678.000000,,-172678.000000
12M 2023,9542328.000000,-7592113.000000,1950215.000000,-784680.000000,-784680.000000,-784680.000000,1165535.000000,-980107.000000,-982925.000000,2613.000000,592.000000,-3920.000000,92.000000,3441.000000,-980107.000000,185428.000000,-119846.000000,65582.000000,-8240.000000,57342.000000,65582.000000,65582.000000,,65582.000000,57342.000000,57342.000000,,57342.000000
12M 2024,11457306.000000,-8352248.000000,3105058.000000,-897968.000000,-897968.000000,-897968.000000,2207090.000000,-875446.000000,-896088.000000,1322.000000,4030.000000,,15290.000000,,-875446.000000,1331644.000000,-157437.000000,1174207.000000,-468425.000000,705782.000000,1174207.000000,1174207.000000,,1174207.000000,705782.000000,705782.000000,,705782.000000
