Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pihak Berelasi,Pihak Ketiga,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Obligasi Pemerintah,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Aset Tetap,Others,Total Aset Tetap,Aset Pajak Tangguhan,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Deposito Berjangka,Pihak Berelasi,Pihak Ketiga,Total Deposito Berjangka,Others,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Deposito Berjangka,Others,Total Simpanan Dari Bank Lain,Liabilitas Derivatif,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Derivatif,Liabilitas Akseptasi,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Akseptasi,Pinjaman Yang Diterima,Efek-Efek Yang Diterbitkan,Others,Total Beban Akrual,Utang Pajak,Others,Total Utang Pajak,Liabilitas Pajak Tangguhan,Obligasi Subordinasi,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,616441000000.000000,1649050000000.000000,,384409000000.000000,1024195000000.000000,,1408604000000.000000,,,128112000000.000000,18729423000000.000000,,18857535000000.000000,729765000000.000000,,729765000000.000000,,,5707674000000.000000,28969069000000.000000,,,293106000000.000000,21439660000000.000000,,79959000000.000000,11576381000000.000000,11656340000000.000000,9783320000000.000000,21439660000000.000000,978110000000.000000,8935000000.000000,969175000000.000000,978110000000.000000,14165000000.000000,,,14165000000.000000,910619000000.000000,,,910619000000.000000,802764000000.000000,,,,65100000000.000000,65100000000.000000,65100000000.000000,1689000000.000000,501444000000.000000,593786000000.000000,25600443000000.000000,,726822000000.000000,1221814000000.000000,1335711000000.000000,1050000000.000000,1334661000000.000000,1335711000000.000000,,84279000000.000000,3368626000000.000000,28969069000000.000000,5814574345.000000
12M 2008,,829789000000.000000,1195276000000.000000,,2070294000000.000000,599384000000.000000,,2669678000000.000000,,,128928000000.000000,20272226000000.000000,,20401154000000.000000,777518000000.000000,,777518000000.000000,31806000000.000000,,8340617000000.000000,34245838000000.000000,,,129873000000.000000,27123471000000.000000,,173222000000.000000,14937850000000.000000,15111072000000.000000,12012399000000.000000,27123471000000.000000,116278000000.000000,59691000000.000000,56587000000.000000,116278000000.000000,15896000000.000000,,,15896000000.000000,976618000000.000000,,,976618000000.000000,881168000000.000000,,,,131695000000.000000,131695000000.000000,131695000000.000000,,596184000000.000000,643985000000.000000,30615168000000.000000,,726822000000.000000,1221814000000.000000,1760136000000.000000,1150000000.000000,1758986000000.000000,1760136000000.000000,,-78102000000.000000,3630670000000.000000,34245838000000.000000,5814574345.000000
12M 2009,,754967000000.000000,1273524000000.000000,,2386370000000.000000,539270000000.000000,,2925640000000.000000,,,150444000000.000000,21132801000000.000000,,21283245000000.000000,804333000000.000000,,804333000000.000000,8667000000.000000,,10002220000000.000000,37052596000000.000000,,,232012000000.000000,30216044000000.000000,,142572000000.000000,13106903000000.000000,13249475000000.000000,16966569000000.000000,30216044000000.000000,422407000000.000000,19070000000.000000,403337000000.000000,422407000000.000000,5105000000.000000,,,5105000000.000000,616481000000.000000,,,616481000000.000000,4584000000.000000,,,,95030000000.000000,95030000000.000000,95030000000.000000,,597094000000.000000,726539000000.000000,32915296000000.000000,,726822000000.000000,1221814000000.000000,2196001000000.000000,1250000000.000000,2194751000000.000000,2196001000000.000000,,-7337000000.000000,4137300000000.000000,37052596000000.000000,5814574345.000000
12M 2010,,895227000000.000000,2463938000000.000000,,,4245344000000.000000,,4245344000000.000000,1588142000000.000000,,189760000000.000000,27767154000000.000000,-596384000000.000000,27360530000000.000000,827186000000.000000,,827186000000.000000,53574000000.000000,,7040881000000.000000,44474822000000.000000,,,306313000000.000000,35862518000000.000000,,97743000000.000000,14377838000000.000000,14475581000000.000000,21386937000000.000000,35862518000000.000000,655032000000.000000,8236000000.000000,646796000000.000000,655032000000.000000,9924000000.000000,,,9924000000.000000,688065000000.000000,,,688065000000.000000,,,,,50528000000.000000,,50528000000.000000,,1471767000000.000000,898169000000.000000,39942316000000.000000,,726822000000.000000,1221814000000.000000,2567262000000.000000,1350000000.000000,2565912000000.000000,2567262000000.000000,,16608000000.000000,4532506000000.000000,44474822000000.000000,5814574345.000000
12M 2011,,721809000000.000000,4074605000000.000000,,,3293731000000.000000,,3293731000000.000000,468631000000.000000,,328862000000.000000,40946916000000.000000,-734426000000.000000,40541352000000.000000,835414000000.000000,,835414000000.000000,50991000000.000000,,9847864000000.000000,59834397000000.000000,,,302778000000.000000,47419539000000.000000,,90668000000.000000,18865437000000.000000,18956105000000.000000,28463434000000.000000,47419539000000.000000,1347958000000.000000,13465000000.000000,1334493000000.000000,1347958000000.000000,115976000000.000000,,,115976000000.000000,1303242000000.000000,,,1303242000000.000000,290160000000.000000,,,,65534000000.000000,,65534000000.000000,,1473350000000.000000,925481000000.000000,53244018000000.000000,,880243000000.000000,3154919000000.000000,3319916000000.000000,1450000000.000000,3318466000000.000000,3319916000000.000000,,-764699000000.000000,6590379000000.000000,59834397000000.000000,7041942665.000000
12M 2012,,692832000000.000000,5417517000000.000000,,,5462497000000.000000,,5462497000000.000000,1770451000000.000000,,554398000000.000000,52177614000000.000000,-857924000000.000000,51874088000000.000000,,801523000000.000000,801523000000.000000,101304000000.000000,,13021525000000.000000,79141737000000.000000,,,355091000000.000000,60760680000000.000000,,215317000000.000000,30381347000000.000000,30596664000000.000000,30164016000000.000000,60760680000000.000000,4119482000000.000000,473239000000.000000,3646243000000.000000,4119482000000.000000,92533000000.000000,5444000000.000000,87089000000.000000,92533000000.000000,2074978000000.000000,,,2074978000000.000000,,,410590000000.000000,410590000000.000000,97850000000.000000,97850000000.000000,97850000000.000000,,1475197000000.000000,1214450000000.000000,70190261000000.000000,,1068615000000.000000,3689839000000.000000,4173411000000.000000,1550000000.000000,4171861000000.000000,4173411000000.000000,,19611000000.000000,8951476000000.000000,79141737000000.000000,8548918395.000000
12M 2013,,1083846000000.000000,6464739000000.000000,,,5075630000000.000000,,5075630000000.000000,4143594000000.000000,,538377000000.000000,63221059000000.000000,-1052822000000.000000,62706614000000.000000,,838074000000.000000,838074000000.000000,153804000000.000000,,17058236000000.000000,97524537000000.000000,,,269691000000.000000,68936691000000.000000,,1385250000000.000000,40721560000000.000000,42106810000000.000000,26829881000000.000000,68936691000000.000000,1207162000000.000000,632723000000.000000,574439000000.000000,1207162000000.000000,1489353000000.000000,18385000000.000000,1470968000000.000000,1489353000000.000000,2796621000000.000000,,,2796621000000.000000,2434000000000.000000,3885766000000.000000,293787000000.000000,293787000000.000000,128966000000.000000,128966000000.000000,128966000000.000000,,876254000000.000000,2003481000000.000000,84027985000000.000000,,1434081000000.000000,6829361000000.000000,5325948000000.000000,1650000000.000000,5324298000000.000000,5325948000000.000000,,-92838000000.000000,13496552000000.000000,97524537000000.000000,11472648486.000000
12M 2014,,989252000000.000000,6816392000000.000000,,,3908139000000.000000,,3908139000000.000000,4837253000000.000000,,581947000000.000000,67554409000000.000000,-1202744000000.000000,66933612000000.000000,,987128000000.000000,987128000000.000000,126662000000.000000,,18524741000000.000000,103123179000000.000000,,,275025000000.000000,72805057000000.000000,,1445277000000.000000,46084571000000.000000,47529848000000.000000,25275209000000.000000,72805057000000.000000,3249536000000.000000,762091000000.000000,2487445000000.000000,3249536000000.000000,594499000000.000000,29059000000.000000,565440000000.000000,594499000000.000000,2886148000000.000000,,,2886148000000.000000,2477000000000.000000,2919725000000.000000,345243000000.000000,345243000000.000000,182658000000.000000,182658000000.000000,182658000000.000000,,877176000000.000000,1949179000000.000000,88216003000000.000000,,1434081000000.000000,6829361000000.000000,6658451000000.000000,1750000000.000000,6656701000000.000000,6658451000000.000000,,-14717000000.000000,14907176000000.000000,103123179000000.000000,11472648486.000000
12M 2015,,938280000000.000000,7801395000000.000000,,,9278095000000.000000,,9278095000000.000000,8164656000000.000000,,749978000000.000000,84827363000000.000000,-1536573000000.000000,84040768000000.000000,,1076606000000.000000,1076606000000.000000,170372000000.000000,,9010230000000.000000,120480402000000.000000,,,354250000000.000000,87280244000000.000000,,371770000000.000000,50756167000000.000000,51127937000000.000000,36152307000000.000000,87280244000000.000000,1478546000000.000000,13274000000.000000,1465272000000.000000,1478546000000.000000,947585000000.000000,13070000000.000000,934515000000.000000,947585000000.000000,2846639000000.000000,,,2846639000000.000000,2757000000000.000000,5392378000000.000000,380252000000.000000,380252000000.000000,196357000000.000000,196357000000.000000,196357000000.000000,,878211000000.000000,1937845000000.000000,104069055000000.000000,,1434081000000.000000,6829361000000.000000,8211002000000.000000,1850000000.000000,8209152000000.000000,8211002000000.000000,,-63097000000.000000,16411347000000.000000,120480402000000.000000,11472648486.000000
12M 2016,,881749000000.000000,8018546000000.000000,,,3442070000000.000000,,3442070000000.000000,12372750000000.000000,,346679000000.000000,92711298000000.000000,-2810325000000.000000,90247652000000.000000,,2413987000000.000000,2413987000000.000000,370025000000.000000,,20449562000000.000000,138196341000000.000000,,,444398000000.000000,103559960000000.000000,,401052000000.000000,62357539000000.000000,62758591000000.000000,40801369000000.000000,103559960000000.000000,2507040000000.000000,32667000000.000000,2474373000000.000000,2507040000000.000000,304318000000.000000,71907000000.000000,232411000000.000000,304318000000.000000,3513459000000.000000,,,3513459000000.000000,,3898991000000.000000,392544000000.000000,392544000000.000000,184973000000.000000,184973000000.000000,184973000000.000000,,879371000000.000000,3397255000000.000000,118689765000000.000000,,1434081000000.000000,6829361000000.000000,10010943000000.000000,1950000000.000000,10008993000000.000000,10010943000000.000000,,1232191000000.000000,19506576000000.000000,138196341000000.000000,11472648486.000000
