Period,Total Pendapatan,Pendapatan Bunga Dan Syariah,Pendapatan Bunga,Pendapatan Syariah,Total Pendapatan Bunga Dan Syariah,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga Dan Syariah,Beban Bunga,Beban Syariah,Total Beban Bunga Dan Syariah,Beban Provisi Dan Komisi,Total
12M 2007,2623282000000.000000,,2540699000000.000000,,2540699000000.000000,82583000000.000000,2623282000000.000000,-1444965000000.000000,,-1395646000000.000000,,-1395646000000.000000,-49319000000.000000,
12M 2008,2785731000000.000000,,2699756000000.000000,,2699756000000.000000,85975000000.000000,2785731000000.000000,-1385114000000.000000,,-1353608000000.000000,,-1353608000000.000000,-31506000000.000000,
12M 2009,3367537000000.000000,,3264302000000.000000,,3264302000000.000000,103235000000.000000,3367537000000.000000,-1641134000000.000000,,-1581058000000.000000,,-1581058000000.000000,-60076000000.000000,
12M 2010,3331821000000.000000,,3331821000000.000000,,3331821000000.000000,,3331821000000.000000,-1525155000000.000000,,-1525155000000.000000,,-1525155000000.000000,,
12M 2011,4187166000000.000000,,4187166000000.000000,,4187166000000.000000,,4187166000000.000000,-1931724000000.000000,,-1931724000000.000000,,-1931724000000.000000,,
12M 2012,4924182000000.000000,,4924182000000.000000,,4924182000000.000000,,4924182000000.000000,-2358155000000.000000,,-2358155000000.000000,,-2358155000000.000000,,
12M 2013,6149145000000.000000,,6149145000000.000000,,6149145000000.000000,,6149145000000.000000,-3009857000000.000000,,-3009857000000.000000,,-3009857000000.000000,,
12M 2014,7907553000000.000000,,7907553000000.000000,,7907553000000.000000,,7907553000000.000000,-4162855000000.000000,,-4162855000000.000000,,-4162855000000.000000,,
12M 2015,9221005000000.000000,,9221005000000.000000,,9221005000000.000000,,9221005000000.000000,-4802088000000.000000,,-4802088000000.000000,,-4802088000000.000000,,
12M 2016,10204341000000.000000,,10204341000000.000000,,10204341000000.000000,,10204341000000.000000,-4811054000000.000000,,-4811054000000.000000,,-4811054000000.000000,,
12M 2017,11037171000000.000000,,11037171000000.000000,,11037171000000.000000,,11037171000000.000000,-4997916000000.000000,,-4997916000000.000000,,-4997916000000.000000,,
12M 2018,12221471000000.000000,,12221471000000.000000,,12221471000000.000000,,12221471000000.000000,-5843536000000.000000,,-5843536000000.000000,,-5843536000000.000000,,
12M 2019,13496091000000.000000,,13496091000000.000000,,13496091000000.000000,,13496091000000.000000,-7057159000000.000000,,-7057159000000.000000,,-7057159000000.000000,,
12M 2020,12484662000000.000000,,12484662000000.000000,,12484662000000.000000,,12484662000000.000000,-5658106000000.000000,,-5658106000000.000000,,-5658106000000.000000,,
12M 2021,11570472000000.000000,,11570472000000.000000,,11570472000000.000000,,11570472000000.000000,-3926987000000.000000,,-3926987000000.000000,,-3926987000000.000000,,
12M 2022,12715230000000.000000,,12715230000000.000000,,12715230000000.000000,,12715230000000.000000,-3974529000000.000000,,-3974529000000.000000,,-3974529000000.000000,,
12M 2023,16425704000000.000000,,16425704000000.000000,,16425704000000.000000,,16425704000000.000000,-6514168000000.000000,,-6514168000000.000000,,-6514168000000.000000,,
12M 2024,18776199000000.000000,,18776199000000.000000,,18776199000000.000000,,18776199000000.000000,-7731392000000.000000,,-7731392000000.000000,,-7731392000000.000000,,
