Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Bunga Dan Komisi,Penerimaan Pendapatan Syariah,Pembayaran Bunga,Pembayaran Beban Syariah,Penerimaan Lainnya,Pembayaran Beban Operasional,Penerimaan Dari Pinjaman Yang Diberikan Yang Telah Dihapusbukukan,(Kenaikan)/Penurunan Dalam Aset Operasi :,Penempatan Pada Bank Lain Dan Bank Indonesia,Efek-Efek Dan Obligasi Pemerintah Untuk Diperdagangkan Dan Pinjaman Yang Diberikan Dan Piutang,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Repo Sertifikat Bank Indonesia,Pinjaman Yang Diberikan,Tagihan Derivatif,Biaya Dibayar Dimuka,Tagihan Pajak,Aset Lain-Lain,Total (Kenaikan)/Penurunan Dalam Aset Operasi :,Kenaikan/(Penurunan) Dalam Liabilitas Operasi:,Simpanan Nasabah,Simpanan Dari Bank Lain,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Utang Pajak Kini,Liabilitas Lain-Lain,Liabilitas Derivatif,"Liabilitas Derivatif, Liabilitas Imbalan Kerja, Dan Liabilitas Lain-Lain",Total Kenaikan/(Penurunan) Dalam Liabilitas Operasi:,Pembayaran Pajak Penghasilan Badan:,Periode Berjalan,Tahun Lalu,Adjustment,Total Pembayaran Pajak Penghasilan Badan:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Penyertaan,Penambahan Penyertaan,Perolehan Aset Tetap,Pembayaran Atas Aset Hak-Guna,Hasil Penjualan Aset Tetap,Pembelian Efek-Efek Dan Obligasi Pemerintah Tersedia Untuk Dijual,Kas Bersih Dari Akuisisi Ptbc,Kas Bersih Dari Entitas Anak,Penjualan Efek-Efek Dan Obligasi Pemerintah Tersedia Untuk Dijual,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Saham Right Issue Vi,Biaya Emisi Penerbitan Saham Right Issue Vi,Penerimaan Dari Penerbitan Saham Baru Sehubungan Penawaran Umum Terbatas Dengan Hak Memesan Efek Terlebih Dahulu Vii,Penerimaan Dari Penerbitan Obligasi Berkelanjutan I,Penerimaan Dari Penerbitan Obligasi Berkelanjutan Ii Tahap I,Penerimaan Dari Penerbitan Obligasi Berkelanjutan Ii Seri A,Penerimaan Dari Penerbitan Obligasi Berkelanjutan Ii Seri B,Penerimaan Dari Penerbitan Obligasi Berkelanjutan Ii Seri C,Penerimaan Dari Penerbitan Obligasi Berkelanjutan I Tahap Ii,Penerimaan Dari Penerbitan Obligasi Berkelanjutan I Tahap Ii Seri A,Penerimaan Dari Penerbitan Obligasi Berkelanjutan I Tahap Ii Seri B,Penerimaan Dari Penerbitan Obligasi Berkelanjutan I Tahap Ii Seri C,Total Penerimaan Dari Penerbitan Obligasi Berkelanjutan I Tahap Ii,Penerimaan Dari Penerbitan Obligasi Berkelanjutan Ii Tahap Ii,Penerimaan Dari Penerbitan Obligasi Berkelanjutan Ii Tahap Ii Seri A,Penerimaan Dari Penerbitan Obligasi Berkelanjutan Ii Tahap Ii Seri B,Penerimaan Dari Penerbitan Obligasi Berkelanjutan Ii Tahap Ii Seri C,Total Penerimaan Dari Penerbitan Obligasi Berkelanjutan Ii Tahap Ii,Penerimaan Dari Penerbitan Obligasi Berkelanjutan Ii Tahap Iii,Penerimaan Dari Penerbitan Obligasi Berkelanjutan Ii Tahap Iii Seri A,Penerimaan Dari Penerbitan Obligasi Berkelanjutan Ii Tahap Iii Seri B,Penerimaan Dari Penerbitan Obligasi Berkelanjutan Ii Tahap Iii Seri C,Total Penerimaan Dari Penerbitan Obligasi Berkelanjutan Ii Tahap Iii,Penerimaan Dari Penerbitan Obligasi Berkelanjutan Ii Tahap Iv,Penerimaan Dari Penerbitan Obligasi Berkelanjutan Iii Tahap I,Penerimaan Dari Penerbitan Obligasi Subordinasi Ii 2008,Penerimaan Dari Penerbitan Obligasi Subordinasi Iii 2010,Biaya Emisi Obligasi Berkelanjutan I,Biaya Emisi Obligasi Berkelanjutan I Tahap Ii,Biaya Emisi Obligasi Berkelanjutan Ii Tahap I,Biaya Emisi Obligasi Berkelanjutan Ii Tahap Ii,Biaya Emisi Obligasi Berkelanjutan Ii Tahap Iii,Biaya Emisi Obligasi Berkelanjutan Ii Tahap Iv,Biaya Emisi Obligasi Berkelanjutan Iii Tahap I,Biaya Emisi Penerbitan Saham Right Issue Iv,Biaya Emisi Obligasi Subordinasi Ii 2008,Surat Berharga Repo,Penerbitan Modal Saham,Tambahan Modal Disetor,Biaya Emisi Saham,Penerimaan Dari Penerbitan Medium Term Note,Biaya Emisi Medium Term Note,Pelunasan Obligasi Berkelanjutan I Tahap I Seri A,Pelunasan Obligasi Berkelanjutan I Tahap I Seri B,Pelunasan Obligasi Berkelanjutan I Tahap I Seri C,Pelunasan Obligasi Berkelanjutan I Tahap Ii Seri A,Pelunasan Obligasi Berkelanjutan I Tahap Ii Seri B,Pelunasan Obligasi Berkelanjutan I Tahap Ii Seri C,Pelunasan Obligasi Berkelanjutan Ii Tahap I Seri A,Pelunasan Obligasi Berkelanjutan Ii Tahap I Seri B,Pelunasan Obligasi Berkelanjutan Ii Tahap I Seri C,Pelunasan Obligasi Berkelanjutan Ii Tahap Ii Seri A,Pelunasan Obligasi Berkelanjutan Ii Tahap Ii Seri B,Pelunasan Obligasi Berkelanjutan Ii Tahap Ii Seri C,Pelunasan Obligasi Berkelanjutan Ii Tahap Iii Seri A,Pelunasan Obligasi Berkelanjutan Ii Tahap Iii Seri C,Pelunasan Obligasi Berkelanjutan Ii Tahap Iv Seri A,Pelunasan Obligasi Berkelanjutan Ii Tahap Iv Seri B,Pelunasan Obligasi Berkelanjutan Iii Tahap I Seri A,Pelunasan Obligasi Berkelanjutan Iii Tahap I Seri B,Pelunasan Obligasi Berkelanjutan Iii Tahap I Seri C,Pelunasan Obligasi Subordinasi I,Pelunasan Obligasi Subordinasi Ii,Pelunasan Obligasi Subordinasi Iii Tahun 2010,Pelunasan Medium Term Notes I Tahun 2013,Pembayaran Biaya Pemrosesan Atas Pinjaman Yang Diterima,Biaya Monitoring Atas Pinjaman Yang Diterima,Akuisisi Kepentingan Pada Entitas Anak Dan Kepentingan Non Pengendali,Dana Yang Diterima Oleh Entitas Anak Atas Penyertaan Modal Dari Kepentingan Non Pengendali,Penerimaan Pinjaman Subordinasi,Pembayaran Dividen Kas,Penerimaan Pinjaman Yang Diterima,Pembayaran Pinjaman Yang Diterima,Pembayaran Sewa,Biaya Komitmen Dari Pinjaman Yang Diterima,Pembayaran Modal Pinjaman,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Pengaruh Perubahan Kurs Mata Uang Asing Pada Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2007,-1075825000000.000000,2623457000000.000000,,-1326934000000.000000,,264918000000.000000,-1104213000000.000000,4334000000.000000,,-798402000000.000000,96433000000.000000,,,-3480608000000.000000,4703000000.000000,,,-277165000000.000000,-4455039000000.000000,,2417070000000.000000,373572000000.000000,,,32986000000.000000,174419000000.000000,,,2998047000000.000000,,-56254000000.000000,-24141000000.000000,,-80395000000.000000,-1075825000000.000000,587382000000.000000,,,-191895000000.000000,,3640000000.000000,-695379000000.000000,,,1471016000000.000000,587382000000.000000,968196000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109826000000.000000,593056000000.000000,-1308000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319362000000.000000,-52740000000.000000,,,,968196000000.000000,479753000000.000000,1851949000000.000000,,2331702000000.000000
12M 2008,4857769000000.000000,2764170000000.000000,,-1366842000000.000000,,554684000000.000000,-1162411000000.000000,415000000.000000,,-1275838000000.000000,2534334000000.000000,,,-1695623000000.000000,-90394000000.000000,,,-2044000000.000000,-529565000000.000000,,5683811000000.000000,-861832000000.000000,,,71472000000.000000,-184359000000.000000,,,4709092000000.000000,,-78788000000.000000,-32986000000.000000,,-111774000000.000000,4857769000000.000000,-5205139000000.000000,,-2760000000.000000,-137092000000.000000,,6305000000.000000,-6024368000000.000000,,,952776000000.000000,-5205139000000.000000,100866000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,600000000000.000000,,,,,,,,,,-4550000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,-500935000000.000000,,,,,,,,,,327000000000.000000,-320649000000.000000,,,,100866000000.000000,-246504000000.000000,2331702000000.000000,,2085198000000.000000
12M 2009,-2778056000000.000000,3365609000000.000000,,-1686367000000.000000,,475016000000.000000,-1233179000000.000000,157000000.000000,,-263413000000.000000,-5797120000000.000000,,,-1076982000000.000000,87787000000.000000,,,-21398000000.000000,-7071126000000.000000,,3092573000000.000000,306129000000.000000,,,61617000000.000000,102280000000.000000,,,3562599000000.000000,,-119293000000.000000,-71472000000.000000,,-190765000000.000000,-2778056000000.000000,3697813000000.000000,,,-116958000000.000000,,6039000000.000000,-8160698000000.000000,,,11969430000000.000000,3697813000000.000000,-870634000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-870634000000.000000,,,,-870634000000.000000,49123000000.000000,2085198000000.000000,,2134321000000.000000
12M 2010,-2088338000000.000000,3296734000000.000000,,-1511569000000.000000,,292019000000.000000,-1381104000000.000000,1165000000.000000,,-200000000000.000000,-1790784000000.000000,,,-6070387000000.000000,-14106000000.000000,,,-548444000000.000000,-8623721000000.000000,,5646474000000.000000,232625000000.000000,,,12704000000.000000,154457000000.000000,,,6046260000000.000000,,-146505000000.000000,-61617000000.000000,,-208122000000.000000,-2088338000000.000000,-1230904000000.000000,46125000000.000000,-3200000000.000000,-131254000000.000000,,10057000000.000000,-4646884000000.000000,,,3494252000000.000000,-1230904000000.000000,869391000000.000000,,,,880000000000.000000,,,,,,,,,,,,,,,,,,,,,,,,-6025000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4584000000.000000,,,,869391000000.000000,-2449851000000.000000,11046979000000.000000,,8597128000000.000000
12M 2011,1907891000000.000000,4166066000000.000000,,-2125120000000.000000,,663271000000.000000,-1706982000000.000000,8398000000.000000,,,2232981000000.000000,,,-9687227000000.000000,-23971000000.000000,,,158494000000.000000,-7319723000000.000000,,7993585000000.000000,184497000000.000000,,,65534000000.000000,178680000000.000000,,,8422296000000.000000,,-184250000000.000000,-16065000000.000000,,-200315000000.000000,1907891000000.000000,-996578000000.000000,18377000000.000000,,-132484000000.000000,,7990000000.000000,-5826087000000.000000,,,4935626000000.000000,-996578000000.000000,291375000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291375000000.000000,,,,,291375000000.000000,1202688000000.000000,8852620000000.000000,-10358000000.000000,10044950000000.000000
12M 2012,2198334000000.000000,4853852000000.000000,,-2351810000000.000000,,844942000000.000000,-1872191000000.000000,18117000000.000000,,-929198000000.000000,52453000000.000000,-3075278000000.000000,,-11650090000000.000000,-27259000000.000000,-101310000000.000000,,426834000000.000000,-15303848000000.000000,,13341141000000.000000,2771524000000.000000,,,35398000000.000000,228601000000.000000,,,16376664000000.000000,,-301858000000.000000,-65534000000.000000,,-367392000000.000000,2198334000000.000000,-2582855000000.000000,,,-107410000000.000000,,9643000000.000000,-7657018000000.000000,,,5171930000000.000000,-2582855000000.000000,1215006000000.000000,1506976000000.000000,-1810000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-290160000000.000000,,,,1215006000000.000000,830485000000.000000,10044950000000.000000,,10875435000000.000000
12M 2013,1066939000000.000000,6148904000000.000000,,-2888068000000.000000,,961999000000.000000,-2057970000000.000000,7661000000.000000,,879198000000.000000,-146476000000.000000,3075278000000.000000,,-11070398000000.000000,-791626000000.000000,157272000000.000000,,-77077000000.000000,-7973829000000.000000,,8176011000000.000000,-2912320000000.000000,,,34353000000.000000,1976529000000.000000,,,7274573000000.000000,,-370933000000.000000,-35398000000.000000,,-406331000000.000000,1066939000000.000000,-7004495000000.000000,,,-190834000000.000000,,4130000000.000000,-10278183000000.000000,,,3460392000000.000000,-7004495000000.000000,9216980000000.000000,,,3508476000000.000000,3000000000000.000000,,,,,,,,,,,,,,,,,,,,,,,,-11676000000.000000,,,,,,,-3488000000.000000,,,,,,900000000000.000000,-10332000000.000000,,,,,,,,,,,,,,,,,,,,,-600000000000.000000,,,,,,,,,2434000000000.000000,,,,,9216980000000.000000,3279424000000.000000,10875435000000.000000,,14154859000000.000000
12M 2014,1158840000000.000000,7906246000000.000000,,-4129840000000.000000,,780318000000.000000,-2334911000000.000000,6613000000.000000,,-487731000000.000000,-558757000000.000000,-708660000000.000000,,-4396126000000.000000,548773000000.000000,-5839000000.000000,,-21887000000.000000,-5630227000000.000000,,3868366000000.000000,2042374000000.000000,,,69475000000.000000,-116307000000.000000,-894854000000.000000,,4969054000000.000000,,-374060000000.000000,-34353000000.000000,,-408413000000.000000,1158840000000.000000,-2821855000000.000000,,,-317186000000.000000,,6368000000.000000,-12437462000000.000000,,,9926425000000.000000,-2821855000000.000000,-973000000000.000000,,,,-973000000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-973000000000.000000,-2636015000000.000000,14154859000000.000000,,11518844000000.000000
12M 2015,-1279782000000.000000,9115016000000.000000,,-4733019000000.000000,,1158784000000.000000,-2621368000000.000000,4634000000.000000,,96412000000.000000,362067000000.000000,708660000000.000000,,-17515780000000.000000,-199726000000.000000,,,-221044000000.000000,-16769411000000.000000,,14475187000000.000000,-1770990000000.000000,,,,,,395682000000.000000,13099879000000.000000,,-464822000000.000000,-69475000000.000000,,-534297000000.000000,-1279782000000.000000,5353868000000.000000,,,-251272000000.000000,,5206000000.000000,-6681218000000.000000,,,12281152000000.000000,5353868000000.000000,2462326000000.000000,,,,,,,,,3000000000000.000000,,,,3000000000000.000000,,,,,,,,,,,,,,,,-8674000000.000000,,,,,,,,,,,,,,,-529000000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462326000000.000000,6536412000000.000000,11518844000000.000000,,18055256000000.000000
12M 2016,10886633000000.000000,9795343000000.000000,234472000000.000000,-4677534000000.000000,-114881000000.000000,1401349000000.000000,-2896459000000.000000,10290000000.000000,,-2156858000000.000000,-239967000000.000000,,,-7483620000000.000000,192901000000.000000,,,-535749000000.000000,-10223293000000.000000,,16279716000000.000000,1028494000000.000000,1345723000000.000000,,,,,-512052000000.000000,18141881000000.000000,,-703908000000.000000,-80627000000.000000,,-784535000000.000000,10886633000000.000000,-14654859000000.000000,,,-232281000000.000000,,11760000000.000000,-20208064000000.000000,,,5773726000000.000000,-14654859000000.000000,-4257250000000.000000,,,,,2000000000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,-7250000000.000000,,,,,,,,,,,,,,,-1498000000000.000000,-1095000000000.000000,,,,,,,,,,,,,,,,,,,-900000000000.000000,,,,,,,,-2757000000000.000000,,,,-4257250000000.000000,-8025476000000.000000,18055256000000.000000,,10029780000000.000000
