Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2015,1.17,306.87,1.17,306.87,121 B,458 B,580 B,292 B,130 B
12M 2016,1.76,320.29,1.76,320.29,17 B,769 B,786 B,538 B,246 B
12M 2017,1.98,329.07,1.98,329.07,8 B,"1,465 B","1,473 B","1,033 B",(215 B)
12M 2018,2.09,334.68,2.09,334.68,49 B,"1,685 B","1,735 B","1,152 B",23 B
12M 2019,1.64,512.76,1.64,512.76,94 B,"1,075 B","1,169 B",541 B,508 B
12M 2020,1.57,465.37,1.57,465.37,36 B,"1,329 B","1,365 B",927 B,552 B
12M 2021,1.40,465.33,1.40,465.33,155 B,"1,463 B","1,618 B","1,099 B","1,213 B"
12M 2022,0.96,466.45,0.97,458.07,298 B,"1,442 B","1,741 B","1,133 B","1,414 B"
12M 2023,1.51,476.95,1.54,468.57,448 B,"1,275 B","1,723 B","1,303 B",964 B
12M 2024,1.80,507.13,1.83,501.01,459 B,"1,579 B","2,038 B","1,676 B",733 B
