Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,587087865753.000000,-165945291900.000000,421142573853.000000,-270459341308.000000,-28543722465.000000,-263170404878.000000,21254786035.000000,-270459341308.000000,150683232545.000000,-45356604034.000000,12805363023.000000,-68027098667.000000,,36811274149.000000,-26946142539.000000,-45356604034.000000,105326628511.000000,6960885346.000000,112287513857.000000,831017433.000000,113118531290.000000,112287513857.000000,59903626388.000000,52383887469.000000,112287513857.000000,113118531290.000000,60734643821.000000,52383887469.000000,113118531290.000000
12M 2016,547492009881.000000,-158148133180.000000,389343876701.000000,-329332104778.000000,-30721737571.000000,-292360228655.000000,-6250138552.000000,-329332104778.000000,60011771923.000000,107007154439.000000,7826089988.000000,-68070044144.000000,,188242335162.000000,-20991226567.000000,107007154439.000000,167018926362.000000,14547816498.000000,181566742860.000000,-869450120.000000,180697292740.000000,181566742860.000000,170121035846.000000,11445707014.000000,181566742860.000000,180697292740.000000,169506434099.000000,11190858641.000000,180697292740.000000
12M 2017,595692044724.000000,-181132149239.000000,414559895485.000000,-296735290568.000000,-29374644460.000000,-267685017060.000000,324370952.000000,-296735290568.000000,117824604917.000000,-1118259482.000000,19652718778.000000,-91213240737.000000,,99130529048.000000,-28688266571.000000,-1118259482.000000,116706345435.000000,30720806408.000000,147427151843.000000,-3206987363.000000,144220164480.000000,147427151843.000000,100777813683.000000,46649338160.000000,147427151843.000000,144220164480.000000,98208548813.000000,46011615667.000000,144220164480.000000
12M 2018,770398351932.0,-275968493160.0,494429858772.0,-305788892211.0,-42078197130.0,-286024300410.0,22313605329.0,-305788892211.0,188640966561.0,-58780554214.0,13318448196.0,-131737678613.0,-57883942697.0,87370698234.0,30151920666.0,-58780554214.0,129860412347.0,-6966143093.0,122894269254.0,6651584597.0,129545853851.0,122894269254.0,76275110146.0,46619159108.0,122894269254.0,129545853851.0,82227565078.0,47318288773.0,129545853851.0
12M 2019,900208787095.0,-331663944367.0,568544842728.0,-365368038050.0,-42514708655.0,-318482612903.0,-4370716492.0,-365368038050.0,203176804678.0,1878416859983.0,24418958095.0,-136830061412.0,25682961435.0,424114718323.0,1541030283542.0,1878416859983.0,2081593664661.0,-451328313.0,2081142336348.0,-3459001284.0,2077683335064.0,2081142336348.0,2028064890356.0,53077445992.0,2081142336348.0,2077683335064.0,2025410015441.0,52273319623.0,2077683335064.0
12M 2020,397049609531.0,-149528838895.0,247520770636.0,-272215428645.0,-16332756197.0,-268039427332.0,12156754884.0,-272215428645.0,-24694658009.0,-485610808532.0,17597304785.0,-88501824128.0,-3263891996.0,-510133094889.0,98690697696.0,-485610808532.0,-510305466541.0,26770875617.0,-483534590924.0,-1761515849.0,-485296106773.0,-483534590924.0,-479316910051.0,-4217680873.0,-483534590924.0,-485296106773.0,-480851682848.0,-4444423925.0,-485296106773.0
12M 2021,427677089386.0,-186092668691.0,241584420695.0,-245268952042.0,-20522481277.0,-254254743416.0,29508272651.0,-245268952042.0,-3684531347.0,-50522423389.0,8465178791.0,-99094272431.0,4450476403.0,-4876618017.0,40532811865.0,-50522423389.0,-54206954736.0,25760976302.0,-28445978434.0,6450177910.0,-21995800524.0,-28445978434.0,-5192000303.0,-23253978131.0,-28445978434.0,-21995800524.0,-404962738.0,-21590837786.0,-21995800524.0
12M 2022,955541184718.0,-378852386288.0,576688798430.0,-362533808833.0,-63506151078.0,-338623506043.0,39595848288.0,-362533808833.0,214154989597.0,-154756796582.0,7579599665.0,-135485958368.0,-31519824332.0,-24665288175.0,29334674628.0,-154756796582.0,59398193015.0,10094029984.0,69492222999.0,-3877666780.0,65614556219.0,69492222999.0,28074912606.0,41417310393.0,69492222999.0,65614556219.0,25464792106.0,40149764113.0,65614556219.0
12M 2023,1104710911002.0,-379012845541.0,725698065461.0,-477089050724.0,-73247570244.0,-407177694471.0,3336213991.0,-477089050724.0,248609014737.0,-80407042870.0,9315863416.0,-155039249924.0,2094958207.0,-1057465237.0,64278850668.0,-80407042870.0,168201971867.0,16694887750.0,184896859617.0,-70162134.0,184826697483.0,184896859617.0,105001789621.0,79895069996.0,184896859617.0,184826697483.0,105423761882.0,79402935601.0,184826697483.0
12M 2024,1309661867481.0,-449931460753.0,859730406728.0,-445173549214.0,-84042820112.0,-496914330408.0,135783601306.0,-445173549214.0,414556857514.0,-2457994387.0,9224518101.0,-154058872996.0,-1321641030.0,136746429758.0,6951571780.0,-2457994387.0,412098863127.0,5970558922.0,418069422049.0,5619131285.0,423688553334.0,418069422049.0,334903246413.0,83166175636.0,418069422049.0,423688553334.0,337476336513.0,86212216821.0,423688553334.0
