Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Derivatif,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Obligasi,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,287484925085.000000,49772036110.000000,49772036110.000000,,49772036110.000000,4393702166.000000,101224777625.000000,442875440986.000000,,1870640651661.000000,121263478529.000000,14567908150.000000,6237781.000000,2451708812551.000000,4458187088672.000000,4901062529658.000000,,,313186382555.000000,13654431404.000000,,19591168349.000000,,19591168349.000000,9606601120.000000,23433671543.000000,,107296738674.000000,284550769.000000,107581289443.000000,139319220696.000000,313186382555.000000,635854413277.000000,,,,,,4752167029.000000,,458242056282.000000,,156741600.000000,458398797882.000000,172703448366.000000,635854413277.000000,949040795832.000000,,1118197173200.000000,1968378073268.000000,355652807102.000000,,,355652807102.000000,520579931601.000000,-10786251345.000000,3952021733826.000000,4901062529658.000000,11181971732.000000
12M 2016,,,247903815289.000000,22946479940.000000,22946479940.000000,,22946479940.000000,4460382213.000000,77776437678.000000,353087115120.000000,,1490722373782.000000,649729617911.000000,24432941672.000000,,2637781348498.000000,4802666281863.000000,5155753396983.000000,,,106632977094.000000,,,14562796234.000000,1355721851.000000,15918518085.000000,9004651106.000000,30122966917.000000,,16558391740.000000,190205420.000000,16748597160.000000,34838243826.000000,106632977094.000000,960174170081.000000,,,,,,,,769256592741.000000,,167482253.000000,769424074994.000000,190750095087.000000,960174170081.000000,1066807147175.000000,,1118197173200.000000,1965683784934.000000,508386283603.000000,,,508386283603.000000,507465259416.000000,-10786251345.000000,4088946249808.000000,5155753396983.000000,11181971732.000000
12M 2017,,,440225565192.000000,35635677080.000000,35635677080.000000,,35635677080.000000,38401944499.000000,70749361601.000000,585012548372.000000,,1471525505819.000000,762486736161.000000,56116848951.000000,,3792779837341.000000,6082908928272.000000,6667921476644.000000,,,799968546304.000000,,,15623738567.000000,15465254161.000000,31088992728.000000,11349460057.000000,32627045158.000000,,8105020000.000000,208048041.000000,8313068041.000000,716589980320.000000,799968546304.000000,1633018664052.000000,,,,,,,,1464776657817.000000,,125838334.000000,1464902496151.000000,168116167901.000000,1633018664052.000000,2432987210356.000000,,1118197173200.000000,1965683784934.000000,606594832416.000000,,,606594832416.000000,555244727083.000000,-10786251345.000000,4234934266288.000000,6667921476644.000000,11181971732.000000
12M 2018,,,582976697117.000000,33854983028.000000,33854983028.000000,,33854983028.000000,49989597422.000000,88537803266.000000,755359080833.000000,,1565556730495.000000,752912908796.000000,49622510926.000000,,3841283609729.000000,6209375759946.000000,6964734840779.000000,,,732693107709.000000,,,16574687748.000000,,16574687748.000000,12299074726.000000,42790837828.000000,,49043974778.000000,252407078.000000,49296381856.000000,611732125551.000000,732693107709.000000,1875681563157.000000,,,,,,,,1685016289929.000000,,259132571.000000,1685275422500.000000,190406140657.000000,1875681563157.000000,2608374670866.000000,,1118197173200.000000,1962955201150.000000,672049439896.000000,,,672049439896.000000,613944607012.000000,-10786251345.000000,4356360169913.000000,6964734840779.000000,11181971732.000000
12M 2019,,,627640216025.000000,37617453576.000000,37617453576.000000,,37617453576.000000,116713103540.000000,81367845284.000000,863338618425.000000,,1664070274986.000000,723333030556.000000,50412010704.000000,,4688750934286.000000,7126566250532.000000,7989904868957.000000,,,355689886062.000000,,,12460885280.000000,,12460885280.000000,9804917495.000000,57374354815.000000,,93480865574.000000,326282594.000000,93807148168.000000,182242580304.000000,355689886062.000000,1302572059651.000000,,,,,,,,1074807825372.000000,,160264093.000000,1074968089465.000000,227603970186.000000,1302572059651.000000,1658261945713.000000,,1118197173200.000000,1962934005628.000000,2686277483605.000000,,,2686277483605.000000,597934528734.000000,-33700267923.000000,6331642923244.000000,7989904868957.000000,11181971732.000000
12M 2020,,,437631210362.000000,36176821448.000000,36176821448.000000,,36176821448.000000,184402037822.000000,97668154458.000000,755878224090.000000,,1896573212057.000000,688391122540.000000,78478559971.000000,,4237785132908.000000,6901228027476.000000,7657106251566.000000,,,203665590134.000000,,,15000801719.000000,,15000801719.000000,4814180277.000000,36752507349.000000,,33669027013.000000,2340491727.000000,36009518740.000000,111088582049.000000,203665590134.000000,1681399239018.000000,,,,,,4314917.000000,,1305720041242.000000,,23264384217.000000,1328984425459.000000,352410498642.000000,1681399239018.000000,1885064829152.000000,,1118197173200.000000,1963984085832.000000,2155106927963.000000,,,2155106927963.000000,568311546256.000000,-33558310837.000000,5772041422414.000000,7657106251566.000000,11181971732.000000
12M 2021,,,518753168611.000000,57407010847.000000,57407010847.000000,,57407010847.000000,989400401156.000000,152194128763.000000,1717754709377.000000,,1461379079238.000000,1179869129454.000000,103866428448.000000,,4282830897718.000000,7027945534858.000000,8745700244235.000000,,,504518233153.000000,,,88711336331.000000,,88711336331.000000,9412182860.000000,76086407497.000000,,150607737661.000000,4297617793.000000,154905355454.000000,175402951011.000000,504518233153.000000,2522993131279.000000,,,,345000000000.000000,345000000000.000000,683840886.000000,,1434185003784.000000,,28565621605.000000,1462750625389.000000,714558665004.000000,2522993131279.000000,3027511364432.000000,,1118197173200.000000,1963984085832.000000,2154701965225.000000,,,2154701965225.000000,514863966383.000000,-33558310837.000000,5718188879803.000000,8745700244235.000000,11181971732.000000
12M 2022,,,607088330065.000000,60029363148.000000,60029363148.000000,,60029363148.000000,1273053592190.000000,137183783158.000000,2077355068561.000000,,1505710173973.000000,1131176918033.000000,116134349304.000000,93648709945.000000,4239795959066.000000,7086466110321.000000,9163821178882.000000,,,663049526355.000000,,,86841125521.000000,,86841125521.000000,11751719162.000000,112087747478.000000,,293458383738.000000,4970710300.000000,298429094038.000000,153939840156.000000,663049526355.000000,2760881689763.000000,,,,310500000000.000000,310500000000.000000,1348653767.000000,,1414833533628.000000,,27322436482.000000,1442155970110.000000,1006877065886.000000,2760881689763.000000,3423931216118.000000,,1118197173200.000000,1963984085832.000000,2167180578628.000000,,,2167180578628.000000,524086435941.000000,-33558310837.000000,5739889962764.000000,9163821178882.000000,11181971732.000000
12M 2023,,,419733777174.000000,48702152515.000000,48702152515.000000,,48702152515.000000,1378695562245.000000,170056270657.000000,2017187762591.000000,,1595985520728.000000,1275023493604.000000,133469975269.000000,93648709945.000000,4229935193330.000000,7328062892876.000000,9345250655467.000000,,,1053375673182.000000,,,95388890879.000000,,95388890879.000000,19607864154.000000,65234721872.000000,,440902458025.000000,6721516949.000000,447623974974.000000,425520221303.000000,1053375673182.000000,2363542023955.000000,,,,,,1120301565.000000,,1241254244934.000000,,33745130991.000000,1274999375925.000000,1087422346465.000000,2363542023955.000000,3416917697137.000000,,1118197173200.000000,1963984085832.000000,2272604340510.000000,,,2272604340510.000000,595129581993.000000,-21582223205.000000,5928332958330.000000,9345250655467.000000,11181971732.000000
12M 2024,,,361689249306.000000,63004411659.000000,63004411659.000000,,63004411659.000000,913281312806.000000,173754650949.000000,1511729624720.000000,,1793970469940.000000,1842255802933.000000,138510391035.000000,68409971118.000000,4360034731892.000000,8203181366918.000000,9714910991638.000000,,,778498392316.000000,,,40636409336.000000,,40636409336.000000,24601105842.000000,85275983972.000000,,452496034093.000000,6673968929.000000,459170003022.000000,168814890144.000000,778498392316.000000,2641103114285.000000,,,,,,1048869252.000000,,1545384068163.000000,,33534496661.000000,1578918564824.000000,1061135680209.000000,2641103114285.000000,3419601506601.000000,,1118197173200.000000,1963984085832.000000,2610080677023.000000,,,2610080677023.000000,624629772187.000000,-21582223205.000000,6295309485037.000000,9714910991638.000000,11181971732.000000
