Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,71390391829.000000,-53830373315.000000,17560018514.000000,-1424919511.000000,-5258966067.000000,3834046556.000000,-1424919511.000000,16135099003.000000,-10409110439.000000,20106993.000000,-9702879064.000000,-726338368.000000,,-10409110439.000000,5725988564.000000,-1345848667.000000,4380139897.000000,-14838959.000000,4365300938.000000,4380139897.000000,4336736981.000000,43402916.000000,4380139897.000000,4365300938.000000,4322046410.000000,43254528.000000,4365300938.000000
12M 2017,153150021248.000000,-114520351244.000000,38629670004.000000,-9036859148.000000,-9790022365.000000,753163217.000000,-9036859148.000000,29592810856.000000,-18237397769.000000,40877031.000000,-14436577010.000000,-3841697790.000000,,-18237397769.000000,11355413087.000000,-2210780830.000000,9144632257.000000,40394224.000000,9185026481.000000,9144632257.000000,9053281598.000000,91350659.000000,9144632257.000000,9185026481.000000,9093253690.000000,91772791.000000,9185026481.000000
12M 2018,279266205363.000000,-231632435531.000000,47633769832.000000,-10158290968.000000,-10154299270.000000,-3991698.000000,-10158290968.000000,37475478864.000000,-17594209076.000000,174793009.000000,-14363805403.000000,-3405196682.000000,,-17594209076.000000,19881269788.000000,-5203271700.000000,14677998088.000000,17951882.000000,14695949970.000000,14677998088.000000,14575056964.000000,102941124.000000,14677998088.000000,14695949970.000000,14592916750.000000,103033220.000000,14695949970.000000
12M 2019,318024503004.000000,-263087441521.000000,54937061483.000000,-15926897040.000000,-16035049540.000000,108152500.000000,-15926897040.000000,39010164443.000000,-10587592290.000000,291341612.000000,-12662495396.000000,1783561494.000000,,-10587592290.000000,28422572153.000000,-6235609614.000000,22186962539.000000,-12781604.000000,22174180935.000000,22186962539.000000,22044839275.000000,142123264.000000,22186962539.000000,22174180935.000000,22032125191.000000,142055744.000000,22174180935.000000
12M 2020,143838437841.000000,-111406243009.000000,32432194832.000000,-12216256833.000000,-12216256833.000000,,-12216256833.000000,20215937999.000000,-11659656854.000000,834233421.000000,-7323644253.000000,-5170246022.000000,,-11659656854.000000,8556281145.000000,-1938164059.000000,6618117086.000000,55158570.000000,6673275656.000000,6618117086.000000,6566863676.000000,51253410.000000,6618117086.000000,6673275656.000000,6621705299.000000,51570357.000000,6673275656.000000
12M 2021,63398642323.000000,-41385401088.000000,22013241235.000000,-8506914697.000000,-8506914697.000000,,-8506914697.000000,13506326538.000000,-8525956917.000000,741433319.000000,-14784462611.000000,5517072375.000000,,-8525956917.000000,4980369621.000000,-1529535689.000000,3450833932.000000,36674967.000000,3487508899.000000,3450833932.000000,3428968060.000000,21865872.000000,3450833932.000000,3487508899.000000,3465672824.000000,21836075.000000,3487508899.000000
12M 2022,44557817161.000000,-52479710641.000000,-7921893480.000000,-63118562820.000000,-19650618709.000000,-43467944111.000000,-63118562820.000000,-71040456300.000000,-14763136263.000000,427515013.000000,-12942869514.000000,-2247781762.000000,,-14763136263.000000,-85803592563.000000,-310243735.000000,-86113836298.000000,-145291303.000000,-86259127601.000000,-86113836298.000000,-85573624466.000000,-540211832.000000,-86113836298.000000,-86259127601.000000,-85718306365.000000,-540821236.000000,-86259127601.000000
12M 2023,69081868276.000000,-64154812680.000000,4927055596.000000,3600296358.000000,-6108631254.000000,9708927612.000000,3600296358.000000,8527351954.000000,-8910791244.000000,308902242.000000,-9219693486.000000,,,-8910791244.000000,-383439290.000000,1047170425.000000,663731135.000000,5697571.000000,669428706.000000,663731135.000000,654331587.000000,9399548.000000,663731135.000000,669428706.000000,660029158.000000,9399548.000000,669428706.000000
12M 2024,131206749778.000000,-111174615676.000000,20032134102.000000,-7090348864.000000,-7665820483.000000,575471619.000000,-7090348864.000000,12941785238.000000,-6419722135.000000,55892718.000000,-6475614853.000000,,,-6419722135.000000,6522063103.000000,586809569.000000,7108872672.000000,2474325.000000,7111346997.000000,7108872672.000000,7058824261.000000,50048411.000000,7108872672.000000,7111346997.000000,7061298586.000000,50048411.000000,7111346997.000000
