Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pembiayaan,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2016,,,12504549964.000000,3419574013.000000,122500000.000000,,1334263803.000000,17380887780.000000,,5180085219.000000,89841840489.000000,,41330572744.000000,136352498452.000000,153733386232.000000,,,62305804172.000000,,1711222072.000000,,24925626250.000000,1709815482.000000,368051573.000000,,21103145912.000000,9922059469.000000,,31025205381.000000,2565883414.000000,62305804172.000000,82600055181.000000,45542500000.000000,343102958.000000,,,36602147652.000000,,,36602147652.000000,112304571.000000,82600055181.000000,144905859353.000000,,250000000.000000,,7916446680.000000,,7916446680.000000,7916446680.000000,661080199.000000,,8827526879.000000,153733386232.000000,2500000.000000
12M 2017,,,51170763366.000000,3698919334.000000,,,2459138270.000000,57328820970.000000,,,146640113126.000000,4349880.000000,15586620248.000000,162231083254.000000,219559904224.000000,,,93222246437.000000,,27893203782.000000,,33151052600.000000,348746509.000000,667052656.000000,,14731634568.000000,11926288763.000000,226936499.000000,26884859830.000000,4277331060.000000,93222246437.000000,62907222227.000000,,526923160.000000,,,61820202088.000000,459467151.000000,,62279669239.000000,100629828.000000,62907222227.000000,156129468664.000000,,56900000000.000000,,5899700370.000000,56446680.000000,5843253690.000000,5899700370.000000,630735190.000000,,63430435560.000000,219559904224.000000,569000000.000000
12M 2018,,,75269919634.000000,43137483404.000000,,,2997371557.000000,121404774595.000000,,,128993821991.000000,8383996.000000,14159103356.000000,143161309343.000000,264566083938.000000,,,133865412438.000000,30000000000.000000,44193821607.000000,,33296250500.000000,7921634916.000000,1594571917.000000,,2004000000.000000,12167003673.000000,354510825.000000,14525514498.000000,2333619000.000000,133865412438.000000,27419458470.000000,,685731686.000000,,3829000000.000000,22437647873.000000,346938683.000000,,26613586556.000000,120140228.000000,27419458470.000000,161284870908.000000,,81900000000.000000,154827500.000000,20492617120.000000,56446680.000000,20436170440.000000,20492617120.000000,733768410.000000,,103281213030.000000,264566083938.000000,819000000.000000
12M 2019,,,67285073629.000000,4317861720.000000,,,12092121019.000000,83695056368.000000,,,81611336232.000000,16806473.000000,27875784199.000000,109503926904.000000,193198983272.000000,,,49378265088.000000,10000000000.000000,8200847036.000000,,8952978600.000000,8866714587.000000,2257437225.000000,,2004000000.000000,6483613786.000000,336474854.000000,8824088640.000000,2276199000.000000,49378265088.000000,18365324219.000000,,985480367.000000,,1825000000.000000,15352563813.000000,10463830.000000,,17188027643.000000,191816209.000000,18365324219.000000,67743589307.000000,,81900000000.000000,154827500.000000,42524742311.000000,1056446680.000000,41468295631.000000,42524742311.000000,875824154.000000,,125455393965.000000,193198983272.000000,819000000.000000
12M 2020,,,3323649943.000000,115430620087.000000,,,28630136473.000000,147384406503.000000,,,175451850853.000000,17458590.000000,12922236742.000000,188391546185.000000,335775952688.000000,,,133722885753.000000,69300000000.000000,16701737190.000000,2186433900.000000,15319064241.000000,2998847373.000000,3851027000.000000,,,20700683039.000000,368697020.000000,21069380059.000000,2296395990.000000,133722885753.000000,69924395314.000000,,1696454126.000000,,,67563656860.000000,485751914.000000,,68049408774.000000,178532414.000000,69924395314.000000,203647281067.000000,,81900000500.000000,154829000.000000,49146447610.000000,1056446680.000000,48090000930.000000,49146447610.000000,927394511.000000,,132128671621.000000,335775952688.000000,819000005.000000
12M 2021,,,13107447427.000000,70787107830.000000,,,23112550256.000000,107007105513.000000,,,55292813787.000000,5756739.000000,139172075234.000000,194470645760.000000,301477751273.000000,,,104231114388.000000,60641294761.000000,3071978680.000000,778197996.000000,15928636863.000000,54264371.000000,1825510903.000000,,,19263536645.000000,355062179.000000,19618598824.000000,2312631990.000000,104231114388.000000,56085503565.000000,,2494675926.000000,,,53357641096.000000,130689735.000000,,53488330831.000000,102496808.000000,56085503565.000000,160316617953.000000,,83286238700.000000,4313543600.000000,52612120434.000000,1056446680.000000,51555673754.000000,52612120434.000000,907707884.000000,41522702.000000,141161133320.000000,301477751273.000000,832862387.000000
12M 2022,,,32751966659.000000,2540119998.000000,,,22573744877.000000,57865831534.000000,,,47319016181.000000,5297734.000000,121672410022.000000,168996723937.000000,226862555471.000000,,,117564570959.000000,64217619712.000000,5402350362.000000,743871494.000000,24588109602.000000,144710222.000000,5303136328.000000,,,17164773239.000000,,17164773239.000000,,117564570959.000000,54395978793.000000,,2763481058.000000,,,51586392022.000000,,,51586392022.000000,46105713.000000,54395978793.000000,171960549752.000000,,83286238700.000000,4313543600.000000,-33106185931.000000,1056446680.000000,-34162632611.000000,-33106185931.000000,366886648.000000,41522702.000000,54902005719.000000,226862555471.000000,832862387.000000
12M 2023,,,16463507097.000000,28089482297.000000,,,572628921.000000,45125618315.000000,,,41665262253.000000,1925000.000000,117804724486.000000,159471911739.000000,204597530054.000000,,,147237670193.000000,31084104679.000000,19778321210.000000,151189343.000000,24309720136.000000,1914675992.000000,805692387.000000,,,69159865786.000000,34100660.000000,69193966446.000000,,147237670193.000000,1788425436.000000,,1714544906.000000,,,,36709251.000000,,36709251.000000,37171279.000000,1788425436.000000,149026095629.000000,,83286238700.000000,4313543600.000000,-32446156773.000000,1056446680.000000,-33502603453.000000,-32446156773.000000,376286196.000000,41522702.000000,55571434425.000000,204597530054.000000,832862387.000000
12M 2024,,,4366504460.000000,24324052291.000000,12311441999.000000,537100073.000000,473305589.000000,42012404412.000000,,,37818093096.000000,1925000.000000,98477531750.000000,136297549846.000000,178309954258.000000,,,70989368894.000000,29000000000.000000,20878322840.000000,151189344.000000,10720314364.000000,2093075199.000000,653048796.000000,,,7456709100.000000,36709251.000000,7493418351.000000,,70989368894.000000,44637803942.000000,,1128433223.000000,,,34425359412.000000,,9034136647.000000,43459496059.000000,49874660.000000,44637803942.000000,115627172836.000000,,83286238700.000000,4313543600.000000,-25384858187.000000,1056446680.000000,-26441304867.000000,-25384858187.000000,426334607.000000,41522702.000000,62682781422.000000,178309954258.000000,832862387.000000
