Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,1.60 B,0.28,0.00,0.00,,0.75%,0.91%,1.90%,
12M 2021,1.60 B,-1.23,-0.00,0.00,,-3.62%,-4.26%,-4.35%,-27.78
12M 2022,1.60 B,1.55,0.00,0.00,,3.16%,5.10%,7.13%,5.25
12M 2023,2.29 B,2.11,60.66,0.58,,2.55%,3.29%,6.84%,8.90
12M 2024,2.29 B,0.55,254.55,0.37,,0.19%,0.82%,6.81%,1.32
