Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,8113939111.000000,,,,,,,,,,38286129615.000000,46400068726.000000,,1620000000.000000,9251268.000000,3215359550.000000,7147115000.000000,100833333.000000,593130000.000000,12685689151.000000,59085757877.000000,,,301346906.000000,,,,,,,,,151346906.000000,,150000000.000000,301346906.000000,10254238509.000000,,10212187293.000000,10212187293.000000,,,,,42051216.000000,10254238509.000000,10555585415.000000,,48102000000.000000,,385653248.000000,385653248.000000,385653248.000000,,42519214.000000,48530172462.000000,59085757877.000000,1603400000.000000
12M 2021,,,1272832403.000000,457420000.000000,,457420000.000000,457420000.000000,22850000.000000,22850000.000000,,22850000.000000,,37457084000.000000,39210186403.000000,,3305625000.000000,603451385.000000,3873993973.000000,6914805000.000000,73333333.000000,593130000.000000,15364338691.000000,54574525094.000000,,,1270650755.000000,,,,,,,11209363.000000,11209363.000000,30000000.000000,,1229441392.000000,1270650755.000000,6913580479.000000,,6438256100.000000,6438256100.000000,,108538602.000000,,108538602.000000,366785777.000000,6913580479.000000,8184231234.000000,,48102000000.000000,,-1589626359.000000,-1589626359.000000,-1589626359.000000,,-122079781.000000,46390293860.000000,54574525094.000000,1603400000.000000
12M 2022,,,3429751466.000000,10333173842.000000,5113428800.000000,5219745042.000000,10333173842.000000,3700000.000000,3700000.000000,,3700000.000000,2879400000.000000,50565654605.000000,67211679913.000000,,,203103250.000000,3865051307.000000,6682495000.000000,,593130000.000000,11343779557.000000,78555459470.000000,,,18302414093.000000,1667769469.000000,,13216935101.000000,13216935101.000000,,,,,373268693.000000,,3044440830.000000,18302414093.000000,11524030010.000000,,10663314956.000000,10663314956.000000,,80091172.000000,,80091172.000000,780623882.000000,11524030010.000000,29826444103.000000,,48102000000.000000,,893533831.000000,893533831.000000,893533831.000000,,-266518464.000000,48729015367.000000,78555459470.000000,1603400000.000000
12M 2023,,,978505607.000000,28704482899.000000,23672222262.000000,5032260637.000000,28704482899.000000,7000000.000000,7000000.000000,,7000000.000000,2340951800.000000,144977237858.000000,177008178164.000000,,,788463055.000000,5138839879.000000,6450185000.000000,,,12377487934.000000,189385666098.000000,,,38847286654.000000,16000000000.000000,,2978492254.000000,2978492254.000000,,,,,1883837933.000000,3624330609.000000,14360625858.000000,38847286654.000000,3884852961.000000,,1908548266.000000,1908548266.000000,,376591067.000000,,376591067.000000,1599713628.000000,3884852961.000000,42732139615.000000,,68715391680.000000,72787409453.000000,5718350182.000000,5718350182.000000,5718350182.000000,,-567624832.000000,146653526483.000000,189385666098.000000,2290513056.000000
12M 2024,,,6774149230.000000,230522520910.000000,35024537482.000000,195497983428.000000,230522520910.000000,27423076.000000,27423076.000000,,27423076.000000,316010187011.000000,80880802619.000000,634215082846.000000,,,892828668.000000,4636262028.000000,6217875000.000000,,,11746965696.000000,645962048542.000000,,,398769408891.000000,18225000000.000000,,372392920850.000000,372392920850.000000,,,,,787414452.000000,121976855.000000,7242096734.000000,398769408891.000000,93145607994.000000,,4985293241.000000,4985293241.000000,,94918035.000000,86082700000.000000,86177618035.000000,1982696718.000000,93145607994.000000,491915016885.000000,,68716102350.000000,72790844358.000000,6975279384.000000,6975279384.000000,6975279384.000000,,5564805565.000000,147958815549.000000,639873832434.000000,2290536745.000000
