Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Lainnya,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Pajak,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Software,Penempatan Deposito,Penerimaan Dari Piutang Pihak Berelasi,Pembayaran Untuk Piutang Pihak Berelasi,Pembayaran Untuk Uang Muka Pembelian Accounting System Software,Perolehan Aset Takberwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Lain-Lain - Pihak Berelasi,Penerimaan Dari Setoran Modal,Penerimaan Pelaksanaan Waran,Pembayaran Utang Lain-Lain Kepada Pihak Berelasi,Pembayaran Biaya Emisi Saham,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Pinjaman Bank,Penerimaan Dari Utang Musyarakah,Pembayaran Untuk Utang Musyarakah,Pembayaran Pinjaman Bank,Penerimaan Dari Penerbitan Saham Biasa,Penebusan Waran,Penerimaan Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,902266434.000000,12057082967.000000,-8873637872.000000,-2363972650.000000,82793989.000000,,,902266434.000000,-2874220000.000000,-444220000.000000,,,,-1620000000.000000,-700000000.000000,-110000000.000000,-2874220000.000000,10000000000.000000,,,,,,,,,,,,,10000000000.000000,10000000000.000000,8028046434.000000,85892677.000000,8113939111.000000
12M 2021,-1944355666.000000,850052000.000000,-1398950000.000000,-1243163014.000000,70979174.000000,-135596906.000000,-87676920.000000,-1944355666.000000,-2350822458.000000,-665197458.000000,,,,-1685625000.000000,,,-2350822458.000000,-2545928584.000000,73036712.000000,,,-2529733290.000000,,-89232006.000000,,,,,,,,-2545928584.000000,-6841106708.000000,8113939111.000000,1272832403.000000
12M 2022,-10565398917.000000,317905846570.000000,-322534000006.000000,-5201581448.000000,35862525.000000,,-771526558.000000,-10565398917.000000,3082461407.000000,-223163593.000000,,,3305625000.000000,,,,3082461407.000000,9639856573.000000,13837298477.000000,,,-4172612512.000000,,-24829392.000000,,,,,,,,9639856573.000000,2156919063.000000,1272832403.000000,3429751466.000000
12M 2023,-100081540497.000000,496200821366.000000,-578924366868.000000,-16121187292.000000,135425076.000000,-562219597.000000,-810013182.000000,-100081540497.000000,-751196058.000000,-626296058.000000,-124900000.000000,,,,,,-751196058.000000,82381490696.000000,,,,-8754766690.000000,-2795483667.000000,-596774278.000000,1672650000.000000,,,-3340419469.000000,,2284800.000000,96194000000.000000,82381490696.000000,-18451245859.000000,3429751466.000000,-15021494393.000000
12M 2024,-78821814673.000000,651662062369.000000,-704196675898.000000,-13253256882.000000,85127322.000000,-2845374675.000000,-10273696909.000000,-78821814673.000000,-6508459000.000000,-8459000.000000,,-6500000000.000000,,,,,-6508459000.000000,94125917295.000000,3076744975.000000,,,,,-262673255.000000,14225000000.000000,86082700000.000000,,-9000000000.000000,,4145575.000000,,94125917295.000000,8795643622.000000,-15021494393.000000,-6225850771.000000
