Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Pembiayaan Konsumen,Pihak Ketiga,Total Piutang Pembiayaan Konsumen,Piutang Sewa Pembiayaan,Pihak Ketiga,Total Piutang Sewa Pembiayaan,Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Goodwill,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank,Pihak Ketiga,Pihak Berelasi,Total Utang Bank,Utang Usaha,Beban Akrual,Utang Pajak,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Pinjaman Yang Diterima,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Liabilitas Pajak Tangguhan,Goodwill,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,11899039093.000000,302358926264.000000,302358926264.000000,302358926264.000000,501750731.000000,501750731.000000,501750731.000000,,3000631351.000000,3000631351.000000,,3000631351.000000,,5412252051.000000,323172599490.000000,,8418704368.000000,,,,933057054.000000,6239489037.000000,15591250459.000000,338763849949.000000,,,273303629777.000000,,263777837718.000000,,263777837718.000000,,2784513515.000000,383916622.000000,,6357361922.000000,,6357361922.000000,,,,,,,,,273303629777.000000,1486574455.000000,,,,,,,,,1486574455.000000,1486574455.000000,274790204232.000000,,30000000000.000000,,33973645717.000000,,,63973645717.000000,338763849949.000000,12000.000000
12M 2014,,,11626808978.000000,433443470685.000000,433443470685.000000,433443470685.000000,220797831.000000,220797831.000000,220797831.000000,,1930139075.000000,1930139075.000000,,1930139075.000000,,13266205072.000000,460487421641.000000,,9629885493.000000,,,,932611686.000000,7346854857.000000,17909352036.000000,478396773677.000000,,,338598201394.000000,,326822653848.000000,,326822653848.000000,,3116211363.000000,945146231.000000,,7714189952.000000,,7714189952.000000,,,,,,,,,338598201394.000000,1965540394.000000,,,,,,,,,1965540394.000000,1965540394.000000,340563741788.000000,,100000000000.000000,,37833031889.000000,,,137833031889.000000,478396773677.000000,1000000000.000000
12M 2015,,,15103793132.000000,406641037555.000000,406641037555.000000,406641037555.000000,37161293.000000,37161293.000000,37161293.000000,,11598626590.000000,11598626590.000000,,11598626590.000000,,11585377486.000000,444965996056.000000,,9273825918.000000,,,,1157224750.000000,2802712721.000000,13233763389.000000,458199759445.000000,,,315228081636.000000,,303020881046.000000,,303020881046.000000,,4097756491.000000,261288925.000000,,7848155174.000000,,7848155174.000000,,,,,,,,,315228081636.000000,3421103171.000000,,,,,,,,,3421103171.000000,3421103171.000000,318649184807.000000,,100000000000.000000,,39550574638.000000,,,139550574638.000000,458199759445.000000,1000000000.000000
12M 2016,,,7808605105.000000,230194699651.000000,230194699651.000000,230194699651.000000,,,,,11225332739.000000,11225332739.000000,,11225332739.000000,,7689736618.000000,256918374113.000000,,5220628626.000000,,664207334.000000,,2317111131.000000,1603903629.000000,9805850720.000000,266724224833.000000,,,185946411876.000000,,136506272422.000000,46343823177.000000,182850095599.000000,,2048353999.000000,41764571.000000,,1006197707.000000,,1006197707.000000,,,,,,,,,185946411876.000000,10122444258.000000,,,,,,,,,10122444258.000000,10122444258.000000,196068856134.000000,,100000000000.000000,50000000.000000,-29394631301.000000,,,70655368699.000000,266724224833.000000,1000000000.000000
12M 2017,,,2259341535.000000,,,,,,,25668906983.000000,421614417.000000,421614417.000000,,421614417.000000,17822970337.000000,2170670181.000000,48343503453.000000,,102702751566.000000,,,74643730077.000000,285171500.000000,52517249.000000,177684170392.000000,226027673845.000000,,,109657457651.000000,,71288948478.000000,20000000000.000000,91288948478.000000,204112138.000000,569843094.000000,244553145.000000,,7344249850.000000,,7344249850.000000,,,8016123152.000000,,181947308.000000,,8198070460.000000,1807680486.000000,109657457651.000000,62829288258.000000,,,37500000000.000000,188602258.000000,37688602258.000000,,,,25140686000.000000,62829288258.000000,172486745909.000000,,100308097700.000000,65404885.000000,-45713379491.000000,-1302117385.000000,182922227.000000,53540927936.000000,226027673845.000000,1003080977.000000
12M 2018,,,985417409.000000,,,,470410851.000000,470410851.000000,470410851.000000,21647484860.000000,336646360.000000,336646360.000000,,336646360.000000,9764687680.000000,1510820524.000000,34715467684.000000,,94780784029.000000,,,74643730077.000000,296086750.000000,40500000.000000,169761100856.000000,204476568540.000000,,,124822245416.000000,,66123931351.000000,20000000000.000000,86123931351.000000,320800000.000000,706770380.000000,91974484.000000,,,6261978047.000000,6261978047.000000,,,17801949850.000000,,205250998.000000,12000000000.000000,30007200848.000000,1309590306.000000,124822245416.000000,63098068190.000000,,,44050000000.000000,62869345.000000,44112869345.000000,,,,18985198845.000000,63098068190.000000,187920313606.000000,,100308097700.000000,65404885.000000,-80423484439.000000,-3474755788.000000,80992576.000000,16556254934.000000,204476568540.000000,1003080977.000000
12M 2019,,,416138573.000000,,,,,,,771355487.000000,213252185.000000,213252185.000000,,213252185.000000,2123717618.000000,522802799.000000,4047266662.000000,,84360578661.000000,,,,430651060.000000,,84791229721.000000,88838496383.000000,,,174629464624.000000,,85971728138.000000,20000000000.000000,105971728138.000000,196321235.000000,321024338.000000,31148449.000000,,,2809242464.000000,2809242464.000000,65200000000.000000,,,,,,,100000000.000000,174629464624.000000,19301129726.000000,,,,,,,,,19301129726.000000,19301129726.000000,193930594350.000000,,100308097700.000000,65404885.000000,-199309514350.000000,-6237078778.000000,80992576.000000,-105092097967.000000,88838496383.000000,1003080977.000000
12M 2020,,,293265396.000000,,,,,,,,,,,,177369346.000000,170764339.000000,641399081.000000,,29349403.000000,,,,108085683.000000,6027150251.000000,6164585337.000000,6805984418.000000,,,55833631252.000000,,,,,,173736290.000000,1394962.000000,,,15658500000.000000,15658500000.000000,40000000000.000000,,,,,,,,55833631252.000000,27977100.000000,,,,,,,,,27977100.000000,27977100.000000,55861608352.000000,,100308097700.000000,65404885.000000,-146525934491.000000,-2903192028.000000,,-49055623934.000000,6805984418.000000,1003080977.000000
12M 2021,,,4177955222.000000,,,,,,,663354199.000000,6879144.000000,4750000.000000,2129144.000000,6879144.000000,1206065968.000000,2743348160.000000,8797602693.000000,,48381541479.000000,39757321250.000000,,,10102735114.000000,32733024441.000000,130974622284.000000,139772224977.000000,,,71368512692.000000,,,6442040701.000000,6442040701.000000,375505153.000000,3191262251.000000,154479901.000000,,1718450545.000000,51478800000.000000,53197250545.000000,,,6663420431.000000,,,,6663420431.000000,1344553710.000000,71368512692.000000,78363239776.000000,,60271669872.000000,,,60271669872.000000,,,,18091569904.000000,78363239776.000000,149731752468.000000,,100308097700.000000,65404885.000000,-149267110629.000000,-2943780077.000000,41877860630.000000,-9959527491.000000,139772224977.000000,3397364400.000000
12M 2022,,,12023954557.000000,,,,,,,750247732.000000,13061563.000000,750000.000000,12311563.000000,13061563.000000,1264333720.000000,416273600.000000,14467871172.000000,,47844185350.000000,39445680817.000000,,,11973477350.000000,22900486246.000000,122163829763.000000,136631700935.000000,,,13512625107.000000,,,2046236809.000000,2046236809.000000,1144118543.000000,4066521249.000000,465722035.000000,,777150545.000000,,777150545.000000,,,2774965362.000000,,,,2774965362.000000,2237910564.000000,13512625107.000000,78295172833.000000,,62432508781.000000,,,62432508781.000000,,,,15862664052.000000,78295172833.000000,91807797940.000000,,220677814950.000000,-42623957633.000000,-151879148475.000000,18649194153.000000,,44823902995.000000,136631700935.000000,3410475322.000000
