Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari:,Transaksi Pembiayaan,Transaksi Penjualan,"Bank Sehubungan Dengan Transaksi Kerjasama Pembiayaan Bersama, Penerusan Pinjaman Dan Pengambilalihan Piutang (Without Recourse)",Penjualan,Lain Lain,Pelanggan,Total Penerimaan Kas Dari:,Pengeluaran Kas Untuk Atau Kepada:,Transaksi Pembiayaan,Transaksi Penjualan,Pemasok,"Bank Sehubungan Dengan Transaksi Kerjasama Pembiayaan Bersama, Penerusan Pinjaman Dan Pengambilalihan Piutang (Without Recourse)",Penerimaan Atas Pendapatan Keuangan,Beban Bunga Dan Keuangan,Pembayaran Manfaat Karyawan,"Beban Gaji Dan Tunjangan, Beban Umum Dan Administrasi Serta Beban Lain-Lain",Pajak Penghasilan,Total Pengeluaran Kas Untuk Atau Kepada:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Hasil Penjualan Aset Tak Berwujud,Hasil Penjualan Aset Agunan Yang Diambil Alih,Pencairan Aset Lain-Lain,Penurunan Setoran Jaminan,Penurunan Investasi Jangka Panjang,Perolehan Aset Tak Berwujud,Uang Muka Pembelian Aset Tetap,Piutang Kepada Pihak Berelasi,Penambahan Piutang Lain-Lain,Perolehan Aset Tetap,Peningkatan Penyertaan Saham,Penjualan Penyertaan Saham,Rugi Entitas Anak,Penambahan Setoran Jaminan,Perolehan Aset Tetap Dari Entitas Anak,Goodwill,Uang Muka Investasi Jangka Panjang,Perolehan Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Bank,Penambahan Modal Saham Ditempatkan Dan Disetor Penuh,Agio Saham,Pembayaran Utang Bank,Peningkatan Setoran Modal,Pembayaran Utang Non Bank,Pembayaran Utang Obligasi,Pembayaran Liabilitas Sewa,Dana Pinjaman,Pembayaran Utang Sewa Guna Usaha,Penambahan Utang Lembaga Keuangan,Penambahan (Pembayaran) Utang Pihak Berelasi,Penambahan Utang Lain,Peningkatan Uang Muka Dari Kepentingan Non Pengendali,Rugi Pra Akuisisi Entitas Anak,Hak Non Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Bank Entitas Yang Dilepas,Total Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2013,-72338819469.000000,,505906039951.000000,,298415019451.000000,,1927712316.000000,24738019.000000,806273509737.000000,,-537403423264.000000,,,-219314577826.000000,,-67130077239.000000,,-52607152332.000000,-2157098545.000000,-878612329206.000000,-72338819469.000000,-4115639080.000000,1691333000.000000,,,,,,,,,,-3868972080.000000,,,,-1938000000.000000,,,,,-4115639080.000000,78448521538.000000,233823385927.000000,,,-149725928289.000000,,,-5648936100.000000,,,,,,,,,,78448521538.000000,1994062989.000000,9904976104.000000,,9904976104.000000,11899039093.000000
12M 2014,-132411435903.000000,,546067722642.000000,,166896625320.000000,,1918678703.000000,287151307.000000,715170177972.000000,,-469970318824.000000,,,-243044783887.000000,,-69889827496.000000,,-63064181098.000000,-1612502570.000000,-847581613875.000000,-132411435903.000000,-1663811700.000000,3275250000.000000,,,,,,,,,,-5442411700.000000,,,,503350000.000000,,,,,-1663811700.000000,133803017488.000000,258354288328.000000,70000000000.000000,,-194551270840.000000,,,,,,,,,,,,,133803017488.000000,-272230115.000000,11899039093.000000,,11899039093.000000,11626808978.000000
12M 2015,30652915651.000000,,601795270716.000000,,332130673978.000000,,1020232355.000000,37952953.000000,934984130002.000000,,-544920124985.000000,,,-210025361709.000000,,-83029024199.000000,,-64610574115.000000,-1746129343.000000,-904331214351.000000,30652915651.000000,-2914160785.000000,1041600000.000000,,,,,,-863132460.000000,,,,-3112628325.000000,,,,20000000.000000,,,,,-2914160785.000000,-24261770712.000000,204830749554.000000,,,-229092520266.000000,,,,,,,,,,,,,-24261770712.000000,3476984154.000000,11626808978.000000,,11626808978.000000,15103793132.000000
12M 2016,116874349999.000000,,551957614106.000000,,45617040525.000000,,715237353.000000,62538802.000000,598352430786.000000,,-129384823458.000000,,,-232456857492.000000,,-70484397416.000000,,-48544035467.000000,-607966954.000000,-481478080787.000000,116874349999.000000,-3408513368.000000,2805545312.000000,,,,,,-82715930.000000,,,-5400000000.000000,-733842750.000000,,,,2500000.000000,,,,,-3408513368.000000,-120761024658.000000,67162739793.000000,,,-187923764451.000000,,,,,,,,,,,,,-120761024658.000000,-7295188027.000000,15103793132.000000,,15103793132.000000,7808605105.000000
12M 2017,176516634874.000000,,215329510990.000000,,198690664862.000000,,4466544848.000000,,418486720700.000000,,-164768176707.000000,,,,,-30887263713.000000,,-43553297766.000000,-2761347640.000000,-241970085826.000000,176516634874.000000,-170562958213.000000,1562894804.000000,,,,,,,,,,-18839000.000000,,,,,-97463283940.000000,-74643730077.000000,,,-170562958213.000000,-11502940231.000000,,308097700.000000,15404885.000000,-91561147121.000000,,,,,,,61500000000.000000,,,,19536821690.000000,-1302117385.000000,-11502940231.000000,-5549263570.000000,7808605105.000000,,7808605105.000000,2259341535.000000
12M 2018,-22634456325.000000,,,260960881894.000000,,,992957114.000000,,261953839008.000000,,,,-237741375930.000000,,,-24708679565.000000,,-22138239838.000000,,-284588295333.000000,-22634456325.000000,-1707848149.000000,,,,,,,,,,,-1707848149.000000,,,,,,,,,-1707848149.000000,23068380348.000000,9785826698.000000,,,-5165017127.000000,,,,,,-102429223.000000,18550000000.000000,,,,,,23068380348.000000,-1273924126.000000,2259341535.000000,,2259341535.000000,985417409.000000
12M 2019,-12034828060.000000,,,61953523306.000000,,,182544268.000000,,62136067574.000000,,,,-45325756528.000000,,,-19288335403.000000,,-9556803703.000000,,-74170895634.000000,-12034828060.000000,537822630.000000,537822630.000000,,,,,,,,,,,,,,,,,,,537822630.000000,10927726594.000000,88169778288.000000,,,-86123931351.000000,,,,,65200000000.000000,-268120343.000000,-56050000000.000000,,,,,,10927726594.000000,-569278836.000000,985417409.000000,,985417409.000000,416138573.000000
12M 2020,20912336198.000000,,,180056926.000000,,,42668238686.000000,,42848295612.000000,,,,-196321235.000000,,,-5204017398.000000,,-16535620781.000000,,-21935959414.000000,20912336198.000000,110136518763.000000,110136518763.000000,,,,,,,,,,,,,,,,,,,110136518763.000000,-131171728138.000000,,,,-105971728138.000000,,,,,-25200000000.000000,,,,,,,,-131171728138.000000,-122873177.000000,416138573.000000,,416138573.000000,293265396.000000
12M 2021,-14068473857.000000,,,,,,250055662.000000,4590374605.000000,4840430267.000000,,,,-7829868869.000000,,97620724.000000,-6521541685.000000,-105241897.000000,-4516979147.000000,-32893250.000000,-18908904124.000000,-14068473857.000000,10423250250.000000,,,,6027150250.000000,,4400000000.000000,,,,,-3900000.000000,,,,,,,,,10423250250.000000,3291617035.000000,,,,-8483382965.000000,,-46200000000.000000,,,,,,15050000000.000000,42925000000.000000,,,,3291617035.000000,-353606572.000000,4531561794.000000,,4531561794.000000,4177955222.000000
12M 2022,281522696.000000,,,,,,-907584138.000000,29317278666.000000,28409694528.000000,,,,-14464418528.000000,,136108529.000000,-6670740588.000000,-19163058.000000,-7052848270.000000,-57109917.000000,-28128171832.000000,281522696.000000,-108226359000.000000,,,,,,,,,,,-16814000.000000,-108209560000.000000,15000.000000,,,,,,,-108226359000.000000,116205182280.000000,,120369717250.000000,,-6139534970.000000,,-2025000000.000000,,,,,,4000000000.000000,,,,,116205182280.000000,8260345976.000000,4177955222.000000,-414346641.000000,4177955222.000000,12023954557.000000
12M 2023,9827790376.000000,,,,,,-1907490402.000000,46442835097.000000,44535344695.000000,,,,-18081905867.000000,,619770984.000000,-6938509085.000000,-208697735.000000,-10049562616.000000,-48650000.000000,-34707554319.000000,9827790376.000000,-134918000.000000,,,,,,,,,,,-134918000.000000,,,,,,,,,-134918000.000000,1409445100.000000,14395706491.000000,4590.000000,,-12960089493.000000,,,,,,-26176488.000000,,,,,,,1409445100.000000,11102317476.000000,12023954557.000000,,12023954557.000000,23126272033.000000
12M 2024,8529900485.000000,,,,,,-1328726062.000000,49201196009.000000,47872469947.000000,,,,-20992576723.000000,,422552502.000000,-7776246431.000000,-97724283.000000,-10822295527.000000,-76279000.000000,-39342569462.000000,8529900485.000000,-10967027800.000000,,,,,,,,,,-1300000000.000000,-667027800.000000,,,,,,,-9000000000.000000,,-10967027800.000000,-17268511356.000000,12298839422.000000,89352.000000,,-12093200315.000000,,,,,,-90239823.000000,,,,-17383999992.000000,,,-17268511356.000000,-19705638671.000000,23126272033.000000,,23126272033.000000,3420633362.000000
