Period,Total Pendapatan,Penjualan,Pendapatan Pembiayaan Konsumen,Pendapatan Sewa Pembiayaan,Pendapatan Anjak Piutang,Pendapatan Operasional Lainnya,Total Pendapatan,Total Beban Usaha,Beban Pokok Penjualan,Beban Penjualan,Beban Usaha,Beban Bunga,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Pembentukan Cadangan Kerugian Penurunan Nilai,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Laba Pra Akuisisi,Proforma Laba Bersih Dari Transaksi Restrukturisasi Entitas Sepengendali,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Operasi Yang Dihentikan,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,98818223016.000000,,77451305365.000000,353015121.000000,,21013902530.000000,98818223016.000000,-88938410942.000000,,,,-32769637203.000000,-30845170814.000000,-24870490176.000000,-453112749.000000,-88938410942.000000,9879812074.000000,-4644757076.000000,,,,-4644757076.000000,-4644757076.000000,5235054998.000000,-1421520927.000000,-1610751750.000000,189230823.000000,,,,-1421520927.000000,3813534071.000000,,,,,3813534071.000000,3813534071.000000,3813534071.000000,,3813534071.000000,3813534071.000000,3813534071.000000,,3813534071.000000
12M 2014,110324362967.000000,,83572283151.000000,44939100.000000,1376419408.000000,25330721308.000000,110324362967.000000,-102290568640.000000,,,,-35003424728.000000,-35139110815.000000,-27988927112.000000,-4159105985.000000,-102290568640.000000,8033794327.000000,-2552287537.000000,,,,-2552287537.000000,-2552287537.000000,5481506790.000000,-1622120618.000000,-1621675250.000000,-445368.000000,,,,-1622120618.000000,3859386172.000000,,,,,3859386172.000000,3859386172.000000,3859386172.000000,,3859386172.000000,3859386172.000000,3859386172.000000,,3859386172.000000
12M 2015,129721668200.000000,,96346124683.000000,17283462.000000,,33358260055.000000,129721668200.000000,-121735531529.000000,,,,-48480767374.000000,-36031428342.000000,-27681903361.000000,-9541432452.000000,-121735531529.000000,7986136671.000000,-3793303913.000000,,,,-3793303913.000000,-3793303913.000000,4192832758.000000,-1711218880.000000,-1722998000.000000,11779120.000000,,,,-1711218880.000000,2481613878.000000,,,,,2338314464.000000,2481613878.000000,2481613878.000000,,2481613878.000000,2338314464.000000,2338314464.000000,,2338314464.000000
12M 2016,82933794360.000000,,67810356835.000000,1294707.000000,,15122142818.000000,82933794360.000000,-146135655040.000000,,,,-34694576508.000000,-40087991089.000000,-21819355504.000000,-49533731939.000000,-146135655040.000000,-63201860680.000000,-7531078126.000000,,,,-7531078126.000000,-7531078126.000000,-70732938806.000000,1285455678.000000,,1285455678.000000,,,,1285455678.000000,-69447483128.000000,,,,,-68945205939.000000,-69447483128.000000,-69447483128.000000,,-69447483128.000000,-68945205939.000000,-68945205939.000000,,-68945205939.000000
12M 2017,198690664862.000000,198690664862.000000,,,,,198690664862.000000,-236861221170.000000,-171414542868.000000,-20137525993.000000,,-30045640761.000000,,-15263511548.000000,,-236861221170.000000,-38170556308.000000,4623361046.000000,,,,4623361046.000000,4623361046.000000,-33547195262.000000,17154677012.000000,,-2382144678.000000,19536821690.000000,,,17154677012.000000,-16392518250.000000,,,,,-16586385142.000000,-16392518250.000000,-16392518250.000000,,-16392518250.000000,-16586385142.000000,-16586385142.000000,,-16586385142.000000
12M 2018,257437549951.000000,257437549951.000000,,,,,257437549951.000000,-295384622340.000000,-246559849692.000000,-18918073530.000000,,-24708679565.000000,,-5198019553.000000,,-295384622340.000000,-37947072389.000000,992957114.000000,,,,992957114.000000,992957114.000000,-36954115275.000000,66293750.000000,,66293750.000000,,,,66293750.000000,-36887821525.000000,,,,,-36721686025.000000,-36887821525.000000,-34710104948.000000,-2177716577.000000,-36887821525.000000,-36721686025.000000,-34553788056.000000,-2167897969.000000,-36721686025.000000
12M 2019,42286984239.000000,42286984239.000000,,,,,42286984239.000000,-87220441357.000000,-54315208841.000000,-7942558971.000000,,-19288335403.000000,,-5674338142.000000,,-87220441357.000000,-44933457118.000000,-76849460093.000000,,,,-76849460093.000000,-76849460093.000000,-121782917211.000000,134564310.000000,,134564310.000000,,,,134564310.000000,-121648352901.000000,,,,,-121648352901.000000,-121648352901.000000,-118886029911.000000,-2762322990.000000,-121648352901.000000,-121648352901.000000,-118886029911.000000,-2762322990.000000,-121648352901.000000
12M 2020,,,,,,,,-10428421170.000000,,,,-5204017398.000000,,-5224403772.000000,,-10428421170.000000,-10428421170.000000,67393520141.000000,,,,67393520141.000000,67393520141.000000,56965098971.000000,-459341310.000000,,-459341310.000000,,,,-459341310.000000,56505757661.000000,,,,,56419686911.000000,56505757661.000000,53145868760.000000,3359888901.000000,56505757661.000000,56419686911.000000,53064876184.000000,3354810727.000000,56419686911.000000
12M 2021,5430087738.000000,5430087738.000000,,,,,5430087738.000000,-15433584052.000000,-4899582065.000000,,-10534001987.000000,,,,,-15433584052.000000,-10003496314.000000,-19398317718.000000,97238347.000000,-6760604185.000000,,-12734951880.000000,-19398317718.000000,-29401814032.000000,27052026917.000000,,3503189320.000000,,23584303597.000000,-35466000.000000,27052026917.000000,-2349787115.000000,,,,,-2781764187.000000,-2349787115.000000,-2309199066.000000,-40588049.000000,-2349787115.000000,-2781764187.000000,-2741176138.000000,-40588049.000000,-2781764187.000000
12M 2022,29267884881.000000,29267884881.000000,,,,,29267884881.000000,-26804111768.000000,-13680582648.000000,,-13123529120.000000,,,,,-26804111768.000000,2463773113.000000,-16258441178.000000,149426882.000000,-6670740588.000000,,-9737127472.000000,-16258441178.000000,-13794668065.000000,10782083366.000000,,2063969380.000000,,8767176153.000000,-49062167.000000,10782083366.000000,-3012584699.000000,,,,,-2597226233.000000,-3012584699.000000,-3027396312.000000,14811613.000000,-3012584699.000000,-2597226233.000000,-2612037846.000000,14811613.000000,-2597226233.000000
12M 2023,47510725613.000000,47510725613.000000,,,,,47510725613.000000,-33015626923.000000,-18585949585.000000,,-14429677338.000000,,,,,-33015626923.000000,14495098690.000000,-18786937739.000000,658332027.000000,-6967147660.000000,,-12478122106.000000,-18786937739.000000,-4291839049.000000,2263748620.000000,,2313073620.000000,,,-49325000.000000,2263748620.000000,-2028090429.000000,,,,,-1742099586.000000,-2028090429.000000,-2020722446.000000,-7367983.000000,-2028090429.000000,-1742099586.000000,-1734731603.000000,-7367983.000000,-1742099586.000000
12M 2024,50001782171.000000,50001782171.000000,,,,,50001782171.000000,-36592478009.000000,-19896615937.000000,,-16695862072.000000,,,,,-36592478009.000000,13409304162.000000,-3956101876.000000,371679896.000000,-6761690143.000000,,2433908371.000000,-3956101876.000000,9453202286.000000,-3708491920.000000,-2661202280.000000,-966440640.000000,,,-80849000.000000,-3708491920.000000,5744710366.000000,,,,,5907537408.000000,5744710366.000000,5620217207.000000,124493159.000000,5744710366.000000,5907537408.000000,5783044249.000000,124493159.000000,5907537408.000000
