Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Penyusutan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,1664601000000.000000,-353306000000.000000,1311295000000.000000,-717531000000.000000,-142309000000.000000,-294201000000.000000,-271207000000.000000,-9814000000.000000,-717531000000.000000,593764000000.000000,-106487000000.000000,-120803000000.000000,24332000000.000000,-10016000000.000000,,-106487000000.000000,487277000000.000000,-125108000000.000000,362169000000.000000,,,362169000000.000000,,,,362169000000.000000,362169000000.000000,362169000000.000000,,362169000000.000000,362169000000.000000,362169000000.000000,,362169000000.000000
12M 2014,2135958000000.000000,-474410000000.000000,1661548000000.000000,-824293000000.000000,-144334000000.000000,-286084000000.000000,-377240000000.000000,-16635000000.000000,-824293000000.000000,837255000000.000000,-81351000000.000000,-55728000000.000000,17605000000.000000,-43228000000.000000,,-81351000000.000000,755904000000.000000,-198017000000.000000,557887000000.000000,,,557887000000.000000,,,,557887000000.000000,557887000000.000000,557707000000.000000,180000000.000000,557887000000.000000,557887000000.000000,557707000000.000000,180000000.000000,557887000000.000000
12M 2015,2564315000000.000000,-569879000000.000000,1994436000000.000000,-1059676000000.000000,-169549000000.000000,-374382000000.000000,-491720000000.000000,-24025000000.000000,-1059676000000.000000,934760000000.000000,-78359000000.000000,-72984000000.000000,15492000000.000000,-20867000000.000000,,-78359000000.000000,856401000000.000000,-216729000000.000000,639672000000.000000,,,639672000000.000000,-6413000000.000000,-6413000000.000000,-6413000000.000000,633259000000.000000,639672000000.000000,639525000000.000000,147000000.000000,639672000000.000000,633259000000.000000,633112000000.000000,147000000.000000,633259000000.000000
12M 2016,2954161000000.000000,-637174000000.000000,2316987000000.000000,-1195236000000.000000,-183359000000.000000,-413075000000.000000,-576884000000.000000,-21918000000.000000,-1195236000000.000000,1121751000000.000000,-32688000000.000000,-45657000000.000000,12969000000.000000,,,-32688000000.000000,1089063000000.000000,-270499000000.000000,818564000000.000000,,,818564000000.000000,-8640000000.000000,-8640000000.000000,-8640000000.000000,809924000000.000000,818564000000.000000,818563000000.000000,1000000.000000,818564000000.000000,809924000000.000000,809923000000.000000,1000000.000000,809924000000.000000
12M 2017,3399060000000.000000,-706558000000.000000,2692502000000.000000,-1335564000000.000000,-215212000000.000000,-481347000000.000000,-611400000000.000000,-27605000000.000000,-1335564000000.000000,1356938000000.000000,-17517000000.000000,-42884000000.000000,25367000000.000000,,,-17517000000.000000,1339421000000.000000,-332143000000.000000,1007278000000.000000,,,1007278000000.000000,5645000000.000000,5645000000.000000,5645000000.000000,1012923000000.000000,1007278000000.000000,1007277000000.000000,1000000.000000,1007278000000.000000,1012923000000.000000,1012922000000.000000,1000000.000000,1012923000000.000000
12M 2018,3728364000000.000000,-774797000000.000000,2953567000000.000000,-1809274000000.000000,-222697000000.000000,-869579000000.000000,-684013000000.000000,-32985000000.000000,-1809274000000.000000,1144293000000.000000,-23797000000.000000,-59597000000.000000,35800000000.000000,,,-23797000000.000000,1120496000000.000000,-331578000000.000000,788918000000.000000,,,788918000000.000000,15079000000.000000,,15079000000.000000,803997000000.000000,788918000000.000000,788918000000.000000,,788918000000.000000,803997000000.000000,803997000000.000000,,803997000000.000000
12M 2019,3755262000000.000000,-747703000000.000000,3007559000000.000000,-1616384000000.000000,-301334000000.000000,-528656000000.000000,-734712000000.000000,-51682000000.000000,-1616384000000.000000,1391175000000.000000,-150868000000.000000,-59241000000.000000,18998000000.000000,,-110625000000.000000,-150868000000.000000,1240307000000.000000,-345776000000.000000,894531000000.000000,,,894531000000.000000,-5783000000.000000,,-5783000000.000000,888748000000.000000,894531000000.000000,894531000000.000000,,894531000000.000000,888748000000.000000,888748000000.000000,,888748000000.000000
12M 2020,4047964000000.000000,-868743000000.000000,3179221000000.000000,-1805473000000.000000,-364242000000.000000,-505765000000.000000,-884572000000.000000,-50894000000.000000,-1805473000000.000000,1373748000000.000000,-127119000000.000000,-142168000000.000000,15049000000.000000,,,-127119000000.000000,1246629000000.000000,-304922000000.000000,941707000000.000000,,,941707000000.000000,17709000000.000000,,17709000000.000000,959416000000.000000,941707000000.000000,941706000000.000000,1000000.000000,941707000000.000000,959416000000.000000,959415000000.000000,1000000.000000,959416000000.000000
12M 2021,4464900000000.000000,-963317000000.000000,3501583000000.000000,-2161913000000.000000,-354028000000.000000,-656976000000.000000,-1108442000000.000000,-42467000000.000000,-2161913000000.000000,1339670000000.000000,-190793000000.000000,-203990000000.000000,13197000000.000000,,,-190793000000.000000,1148877000000.000000,-263558000000.000000,885319000000.000000,,,885319000000.000000,23896000000.000000,,23896000000.000000,909215000000.000000,885319000000.000000,885318000000.000000,1000000.000000,885319000000.000000,909215000000.000000,909214000000.000000,1000000.000000,909215000000.000000
12M 2022,4370781000000.000000,-995927000000.000000,3374854000000.000000,-2762792000000.000000,-400574000000.000000,-864798000000.000000,-1427165000000.000000,-70255000000.000000,-2762792000000.000000,612062000000.000000,-282032000000.000000,-286925000000.000000,4893000000.000000,,,-282032000000.000000,330030000000.000000,-89312000000.000000,240718000000.000000,,,240718000000.000000,9173000000.000000,,9173000000.000000,249891000000.000000,240718000000.000000,240717000000.000000,1000000.000000,240718000000.000000,249891000000.000000,249890000000.000000,1000000.000000,249891000000.000000
