Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Others,Total Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,370020000000.000000,108893000000.000000,92968000000.000000,15925000000.000000,108893000000.000000,83466000000.000000,562379000000.000000,,1051000000.000000,,,1051000000.000000,11595000000.000000,35898000000.000000,2295036000000.000000,36792000000.000000,282453000000.000000,2662825000000.000000,3225204000000.000000,,,460438000000.000000,,,109521000000.000000,69232000000.000000,178753000000.000000,2025000000.000000,,,2025000000.000000,118727000000.000000,,30871000000.000000,30871000000.000000,,81393000000.000000,,,81393000000.000000,48669000000.000000,460438000000.000000,245698000000.000000,,195065000000.000000,,,195065000000.000000,,,50633000000.000000,245698000000.000000,706136000000.000000,,304265000000.000000,1431054000000.000000,783749000000.000000,,,783749000000.000000,,,2519068000000.000000,3225204000000.000000,3042649384.000000
12M 2014,,,358658000000.000000,176842000000.000000,147938000000.000000,28904000000.000000,176842000000.000000,39406000000.000000,574906000000.000000,,1202000000.000000,,,1202000000.000000,20867000000.000000,33380000000.000000,2693597000000.000000,56794000000.000000,361259000000.000000,3167099000000.000000,3742005000000.000000,,,551365000000.000000,,,94049000000.000000,18697000000.000000,112746000000.000000,,427000000.000000,1184000000.000000,1611000000.000000,169668000000.000000,,84610000000.000000,84610000000.000000,,90651000000.000000,,,90651000000.000000,92079000000.000000,551365000000.000000,155882000000.000000,,91274000000.000000,,,91274000000.000000,,,64608000000.000000,155882000000.000000,707247000000.000000,,304265000000.000000,1431054000000.000000,1299438000000.000000,,,1299438000000.000000,1000000.000000,,3034758000000.000000,3742005000000.000000,3042649384.000000
12M 2015,,,325429000000.000000,242072000000.000000,191961000000.000000,50111000000.000000,242072000000.000000,37283000000.000000,604784000000.000000,,1341000000.000000,,,1341000000.000000,,37404000000.000000,3492811000000.000000,66802000000.000000,234974000000.000000,3833332000000.000000,4438116000000.000000,,,647828000000.000000,,,167800000000.000000,9404000000.000000,177204000000.000000,,688000000.000000,581000000.000000,1269000000.000000,287793000000.000000,,26917000000.000000,26917000000.000000,,69832000000.000000,,,69832000000.000000,84813000000.000000,647828000000.000000,122965000000.000000,,31383000000.000000,,,31383000000.000000,,,91582000000.000000,122965000000.000000,770793000000.000000,,304265000000.000000,1431054000000.000000,1931856000000.000000,,,1931856000000.000000,148000000.000000,,3667323000000.000000,4438116000000.000000,3042649384.000000
12M 2016,,,546680000000.000000,324402000000.000000,241163000000.000000,83239000000.000000,324402000000.000000,36071000000.000000,907153000000.000000,,3854000000.000000,,,3854000000.000000,,36569000000.000000,3807397000000.000000,72814000000.000000,227249000000.000000,4147883000000.000000,5055036000000.000000,,,850763000000.000000,,,196445000000.000000,36492000000.000000,232937000000.000000,,505000000.000000,,505000000.000000,407624000000.000000,,61051000000.000000,61051000000.000000,,30566000000.000000,18308000000.000000,3673000000.000000,52547000000.000000,96099000000.000000,850763000000.000000,241193000000.000000,,,130307000000.000000,8135000000.000000,138442000000.000000,,,102751000000.000000,241193000000.000000,1091956000000.000000,,304265000000.000000,1431054000000.000000,2613988000000.000000,,,2613988000000.000000,1000000.000000,-386228000000.000000,3963080000000.000000,5055036000000.000000,3042649384.000000
12M 2017,,,765948000000.000000,398927000000.000000,278032000000.000000,120895000000.000000,398927000000.000000,68749000000.000000,1233624000000.000000,,3896000000.000000,,,3896000000.000000,,33702000000.000000,4117430000000.000000,82475000000.000000,295099000000.000000,4532602000000.000000,5766226000000.000000,,,1015729000000.000000,,,302521000000.000000,11908000000.000000,314429000000.000000,,98135000000.000000,52226000000.000000,150361000000.000000,375088000000.000000,,47135000000.000000,47135000000.000000,,,37113000000.000000,3673000000.000000,40786000000.000000,87930000000.000000,1015729000000.000000,226310000000.000000,,,94280000000.000000,4462000000.000000,98742000000.000000,,,127568000000.000000,226310000000.000000,1242039000000.000000,,304265000000.000000,1431054000000.000000,3190508000000.000000,,,3190508000000.000000,2000000.000000,-401642000000.000000,4524187000000.000000,5766226000000.000000,3042649384.000000
12M 2018,,,599901000000.000000,407651000000.000000,285805000000.000000,121846000000.000000,407651000000.000000,69920000000.000000,1077472000000.000000,,11961000000.000000,,,11961000000.000000,,53043000000.000000,4568443000000.000000,91684000000.000000,221008000000.000000,4946139000000.000000,6023611000000.000000,,,1095579000000.000000,,,472617000000.000000,93652000000.000000,566269000000.000000,,999000000.000000,,999000000.000000,419104000000.000000,,15659000000.000000,15659000000.000000,,,42936000000.000000,3673000000.000000,46609000000.000000,46939000000.000000,1095579000000.000000,176933000000.000000,,,57837000000.000000,789000000.000000,58626000000.000000,,,118307000000.000000,176933000000.000000,1272512000000.000000,,304265000000.000000,1431054000000.000000,3641048000000.000000,,,3641048000000.000000,2000000.000000,-625270000000.000000,4751099000000.000000,6023611000000.000000,3042649384.000000
12M 2019,,,298209000000.000000,512945000000.000000,390530000000.000000,122415000000.000000,512945000000.000000,87410000000.000000,898564000000.000000,,11699000000.000000,,,11699000000.000000,,69229000000.000000,4993913000000.000000,102482000000.000000,577087000000.000000,5754410000000.000000,6652974000000.000000,,,1413016000000.000000,400000000000.000000,,554587000000.000000,56033000000.000000,610620000000.000000,,1525000000.000000,,1525000000.000000,220902000000.000000,,52860000000.000000,52860000000.000000,,,71332000000.000000,1198000000.000000,72530000000.000000,54579000000.000000,1413016000000.000000,583543000000.000000,,,19840000000.000000,307000000.000000,20147000000.000000,400000000000.000000,,163396000000.000000,583543000000.000000,1996559000000.000000,,286320000000.000000,1341144000000.000000,3134037000000.000000,,,3134037000000.000000,2000000.000000,-105088000000.000000,4656415000000.000000,6652974000000.000000,2863195484.000000
12M 2020,,,359642000000.000000,287651000000.000000,284070000000.000000,3581000000.000000,287651000000.000000,127145000000.000000,774438000000.000000,,11513000000.000000,,,11513000000.000000,,96039000000.000000,5641224000000.000000,114389000000.000000,1162200000000.000000,7025365000000.000000,7799803000000.000000,,,2818011000000.000000,1500000000000.000000,,660630000000.000000,127107000000.000000,787737000000.000000,,2988000000.000000,,2988000000.000000,236642000000.000000,143728000000.000000,,143728000000.000000,,,93859000000.000000,,93859000000.000000,53057000000.000000,2818011000000.000000,359078000000.000000,,,165940000000.000000,,165940000000.000000,,28000000.000000,193110000000.000000,359078000000.000000,3177089000000.000000,,286320000000.000000,1341144000000.000000,3405506000000.000000,,,3405506000000.000000,3000000.000000,-410259000000.000000,4622714000000.000000,7799803000000.000000,2863195484.000000
12M 2021,,,270796000000.000000,443197000000.000000,395739000000.000000,47458000000.000000,443197000000.000000,146655000000.000000,860648000000.000000,,11488000000.000000,,,11488000000.000000,,94129000000.000000,6769630000000.000000,133020000000.000000,1877979000000.000000,8886246000000.000000,9746894000000.000000,,,1964255000000.000000,496600000000.000000,,480032000000.000000,133748000000.000000,613780000000.000000,,4273000000.000000,,4273000000.000000,190747000000.000000,125788000000.000000,,125788000000.000000,,306635000000.000000,162257000000.000000,,468892000000.000000,64175000000.000000,1964255000000.000000,2533297000000.000000,,2175824000000.000000,204198000000.000000,,2380022000000.000000,,,153275000000.000000,2533297000000.000000,4497552000000.000000,,286320000000.000000,1341144000000.000000,4032133000000.000000,,,4032133000000.000000,4000000.000000,-410259000000.000000,5249342000000.000000,9746894000000.000000,2863195484.000000
12M 2022,,,155344000000.000000,579875000000.000000,577982000000.000000,1893000000.000000,579875000000.000000,159847000000.000000,895066000000.000000,,11488000000.000000,11488000000.000000,,11488000000.000000,,105486000000.000000,8009003000000.000000,168636000000.000000,2455115000000.000000,10749728000000.000000,11644794000000.000000,,,4648427000000.000000,3074375000000.000000,,858109000000.000000,2233000000.000000,860342000000.000000,,7226000000.000000,,7226000000.000000,154770000000.000000,30776000000.000000,,30776000000.000000,,121933000000.000000,266003000000.000000,,387936000000.000000,133002000000.000000,4648427000000.000000,2028327000000.000000,,1818862000000.000000,64386000000.000000,,1883248000000.000000,,,145079000000.000000,2028327000000.000000,6676754000000.000000,,286320000000.000000,1341144000000.000000,3750830000000.000000,,,3750830000000.000000,5000000.000000,-410259000000.000000,4968040000000.000000,11644794000000.000000,2863195484.000000
