Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,"Pembayaran Kepada Kontraktor, Pemasok, Karyawan Dan Lain-Lain",Pembayaran Untuk Pembelian Tanah,Pembayaran Pajak Penghasilan,Pembayaran Pajak Final,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pendapatan Bunga,Penjualan Aset Tetap,Perolehan Aset Hak Guna,Penambahan Properti Investasi,Pembayaran Utang Atas Properti Investasi,Perolehan Aset Tetap,Pembayaran Utang Atas Perolehan Aset Tetap,Pembayaran Investasi Dalam Ventura Bersama,Arus Kas Untuk Akuisisi Entitas Anak Setelah Dikurangi Saldo Kas Yang Diperoleh,Pembayaran Uang Muka Untuk Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Saham,Penerimaan Dari Penawaran Umum Perdana Saham,Penerimaan Utang Bank Jangka Pendek,Pembayaran Untuk Liabilitas Sewa,Pembayaran Dividen,Pembayaran Dividen Oleh Entitas Anak Yang Menjadi Bagian Kepentingan Nonpengendali,Pembayaran Bunga,Biaya Emisi Penerbitan Saham Perdana,Pembayaran Utang Pihak Berelasi Non-Usaha,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Efek Penyesuaian Proforma Atas Transaksi Restrukturisasi Entitas Sepengendali,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2012,841074999000.000000,1340026656900.000000,-330582662780.000000,-100824170820.000000,-67544824300.000000,,841074999000.000000,-2119591219238.000000,34820085851.000000,100000000.000000,,,,-12347506650.000000,,,-2142163798439.000000,,-2119591219238.000000,1615168990118.000000,2167830000000.000000,,,,,,-20394480689.000000,,-532266529193.000000,1615168990118.000000,336652769880.000000,919497767811.000000,-25666201561.000000,1254977525.000000,1231739313655.000000
12M 2013,1077118791873.000000,1667221412409.000000,-356413886160.000000,-145109710000.000000,-88579024376.000000,,1077118791873.000000,21272375108.000000,35915069569.000000,468800000.000000,,,,-15111494461.000000,,,,,21272375108.000000,-1111350788564.000000,,,,,,,-20400916588.000000,,-1090949871976.000000,-1111350788564.000000,-12959621583.000000,1231739313655.000000,,66098604705.000000,1284878296777.000000
12M 2014,775547547660.000000,1306315828157.000000,-375280999006.000000,-95114410000.000000,-60372871491.000000,,775547547660.000000,-66811526830.000000,25664542565.000000,284600000.000000,,-4155186248.000000,,-88605483147.000000,,,,,-66811526830.000000,-611049749039.000000,,,,,,,-19877722208.000000,,-591172026831.000000,-611049749039.000000,97686271791.000000,1284878296777.000000,,-1562823843.000000,1381001744725.000000
12M 2015,968185982330.000000,2587549145729.000000,-675442350541.000000,-786262234924.000000,-10497420770.000000,-147161157164.000000,968185982330.000000,-40408720976.000000,19362427444.000000,,,-9065280000.000000,,-50705868420.000000,,,,,-40408720976.000000,-1245201676029.000000,1012160331000.000000,,,,-1578377333200.000000,,-13582402666.000000,-34353522486.000000,-631048748677.000000,-1245201676029.000000,-317424414675.000000,1381001744725.000000,,111028733303.000000,1174606063353.000000
12M 2016,698272546656.000000,1266784241143.000000,-462283875525.000000,-52872571944.000000,-39982358607.000000,-13372888411.000000,698272546656.000000,-63901608983.000000,9227401852.000000,,,-6819765000.000000,,-66309245835.000000,,,,,-63901608983.000000,-530179222100.000000,,,,,-530179222100.000000,,,,,-530179222100.000000,104191715573.000000,1174606073353.000000,,-59693618749.000000,1219104170177.000000
12M 2017,755193226091.000000,1532043632289.000000,-672774642357.000000,-58353582960.000000,-26491914290.000000,-19230266591.000000,755193226091.000000,-140940263647.000000,23956718126.000000,,,-2516860000.000000,-1930235000.000000,-15712415413.000000,-17337471360.000000,-127400000000.000000,,,-140940263647.000000,-1036259388650.000000,,,,,-1036259388650.000000,,,,,-1036259388650.000000,-422006426206.000000,1219104170177.000000,,-11718523758.000000,785379220213.000000
12M 2018,340732528431.000000,1082700324294.000000,-668464348289.000000,-31967560795.000000,-30982124024.000000,-10553762755.000000,340732528431.000000,-78553785483.000000,16505761276.000000,382920500.000000,,-33198225000.000000,,-13244242259.000000,,-49000000000.000000,,,-78553785483.000000,-313658792150.000000,,,,,-313287722150.000000,-371070000.000000,,,,-313658792150.000000,-51480049202.000000,785379220213.000000,,11030161879.000000,744929332890.000000
12M 2019,1948653166175.000000,2556342847451.000000,-510504392086.000000,-8209122000.000000,-18649405078.000000,-70326762112.000000,1948653166175.000000,-77707755.000000,58237102408.000000,,,-41537561250.000000,,-16777248913.000000,,,,,-77707755.000000,-2024906566200.000000,,,,,-2024320666200.000000,-585900000.000000,,,,-2024906566200.000000,-76331107780.000000,744929332880.000000,,-1732782177.000000,666865442923.000000
12M 2020,2897585281405.000000,3810611840651.000000,-659847664532.000000,-175940199000.000000,-12744070915.000000,-64494624799.000000,2897585281405.000000,25279510755.000000,28855766473.000000,90000000.000000,,,,-3666255718.000000,,,,,25279510755.000000,-2218592901480.000000,,,,-720290880.000000,-2217113110600.000000,-759500000.000000,,,,-2218592901480.000000,704271890680.000000,666865442923.000000,,4220077843.000000,1375357411446.000000
12M 2021,122905385625.000000,1092305803852.000000,-889775090814.000000,-42862537500.000000,-12433936773.000000,-24328853140.000000,122905385625.000000,-6302067480.000000,38697335550.000000,,,-4470000000.000000,,-40529403030.000000,,,,,-6302067480.000000,-893111696230.000000,,,,-784790880.000000,-891665055350.000000,-661850000.000000,,,,-893111696230.000000,-776508378085.000000,1375357411446.000000,,88765086.000000,598937798447.000000
12M 2022,1270130626473.000000,2271393843143.000000,-864843617192.000000,-55362320000.000000,-21478182200.000000,-59579097278.000000,1270130626473.000000,-262213153930.000000,22178842356.000000,1128300000.000000,,-20704245080.000000,,-91356051206.000000,,-173460000000.000000,,,-262213153930.000000,-845077875450.000000,,,,-578011200.000000,-843466944250.000000,-1032920000.000000,,,,-845077875450.000000,162839597093.000000,598937798447.000000,,1379069332.000000,763156464872.000000
12M 2023,1341862408505.000000,2353354621623.000000,-906974164265.000000,-36282716000.000000,-21887659783.000000,-46347673070.000000,1341862408505.000000,-15875444359.000000,38073955380.000000,,,-7274142647.000000,,-46651039512.000000,-24217580.000000,,,,-15875444359.000000,-1061893425400.000000,,,,-578011200.000000,-1060358444200.000000,-956970000.000000,,,,-1061893425400.000000,264093538746.000000,763156464872.000000,,-566541033.000000,1026683462585.000000
12M 2024,748391940068.000000,2167559716436.000000,-1157505944758.000000,-173575477000.000000,-42693935128.000000,-45392419482.000000,748391940068.000000,-515787859329.000000,72332191838.000000,1096350000.000000,-506835000.000000,-18886756667.000000,-1196855606.000000,-65635649211.000000,-6872669475.000000,-496117635208.000000,,,-515787859329.000000,498977138800.000000,,,500000000000.000000,-578011200.000000,,-444850000.000000,,,,498977138800.000000,731581219539.000000,1026683462585.000000,,1207500605.000000,1759472182729.000000
