Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Final,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Laba Dari Ventura Bersama,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Proforma Laba Bersih Dari Transaksi Restrukturisasi Entitas Sepengendali,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,1350581042477.000000,-883381981604.000000,467199060873.000000,-96962898578.000000,-45690704884.000000,-51272193694.000000,,-96962898578.000000,370236162295.000000,41881947608.000000,34820085851.000000,3487088480.000000,,,-2730627743.000000,6305401020.000000,41881947608.000000,412118109903.000000,-67901288607.000000,,,-67901288607.000000,344216821296.000000,15500986210.000000,359717807506.000000,,,,359717807506.000000,359717807506.000000,359598781976.000000,119025530.000000,359717807506.000000,359717807506.000000,359598781976.000000,119025530.000000,359717807506.000000
12M 2013,1826491722006.000000,-828973145064.000000,997518576942.000000,-74946566324.000000,-21587925067.000000,-53358641257.000000,,-74946566324.000000,922572010618.000000,114163173336.000000,35915069569.000000,66394230914.000000,,,-3671431148.000000,15525304001.000000,114163173336.000000,1036735183954.000000,-95284649920.000000,,,-95284649920.000000,941450534034.000000,,941450534034.000000,,,,941450534034.000000,941450534034.000000,941304227518.000000,146306516.000000,941450534034.000000,941450534034.000000,941304227518.000000,146306516.000000,941450534034.000000
12M 2014,1538253685991.000000,-462047015882.000000,1076206670109.000000,-72884060957.000000,-13872979179.000000,-59011081778.000000,,-72884060957.000000,1003322609152.000000,44076119410.000000,25664542565.000000,-3900360451.000000,,,-4049847592.000000,26361784888.000000,44076119410.000000,1047398728562.000000,-82831315513.000000,,,-82831315513.000000,964567413049.000000,,964567413049.000000,,,,964567413049.000000,964567413049.000000,964112888998.000000,454524051.000000,964567413049.000000,964567413049.000000,964112888998.000000,454524051.000000,964567413049.000000
12M 2015,2285853817278.000000,-836804004001.000000,1449049813277.000000,-264594882659.000000,-86688941283.000000,-63587049823.000000,-114318891553.000000,-264594882659.000000,1184454930618.000000,196242387216.000000,19362427444.000000,135068438623.000000,,,-1459666063.000000,43271187212.000000,196242387216.000000,1380697317834.000000,-12489082500.000000,-12489082500.000000,,-12489082500.000000,1368208235334.000000,,1368208235334.000000,-2416119753.000000,-2416119753.000000,-2416119753.000000,1365792115581.000000,1368208235334.000000,1367928454823.000000,279780511.000000,1368208235334.000000,1365792115581.000000,1365511551143.000000,280564438.000000,1365792115581.000000
12M 2016,1593793682966.000000,-697941651438.000000,895852031528.000000,-171725943771.000000,-34352238299.000000,-71561296397.000000,-65812409075.000000,-171725943771.000000,724126087757.000000,51235930024.000000,9811891161.000000,-27400045513.000000,,,,68824084376.000000,51235930024.000000,775362017781.000000,-17813681000.000000,-17813681000.000000,,-17813681000.000000,757548336781.000000,,757548336781.000000,417903274.000000,417903274.000000,417903274.000000,757966240055.000000,757548336781.000000,757238221682.000000,310115099.000000,757548336781.000000,757966240055.000000,757656267335.000000,309972720.000000,757966240055.000000
12M 2017,1336390680684.000000,-521538142529.000000,814852538155.000000,-190784405379.000000,-47127975069.000000,-106563235403.000000,-37093194907.000000,-190784405379.000000,624068132776.000000,46175554043.000000,23720248849.000000,1614504126.000000,,-261871581.000000,,21102672649.000000,46175554043.000000,670243686819.000000,-13124051000.000000,-13124051000.000000,,-13124051000.000000,657119635819.000000,,657119635819.000000,-3407328151.000000,-3407328151.000000,-3407328151.000000,653712307668.000000,657119635819.000000,656718024626.000000,401611193.000000,657119635819.000000,653712307668.000000,653311858533.000000,400449135.000000,653712307668.000000
12M 2018,1036229521794.000000,-455409447543.000000,580820074251.000000,-165391292937.000000,-22002264173.000000,-117154977853.000000,-26234050911.000000,-165391292937.000000,415428781314.000000,98947297874.000000,19326705767.000000,11030537873.000000,,-4237415029.000000,,72827469263.000000,98947297874.000000,514376079188.000000,-18011108750.000000,-18011108750.000000,,-18011108750.000000,496364970438.000000,,496364970438.000000,-40354735.000000,-40354735.000000,-40354735.000000,496324615703.000000,496364970438.000000,496250204093.000000,114766345.000000,496364970438.000000,496324615703.000000,496209111604.000000,115504099.000000,496324615703.000000
12M 2019,2650255153377.000000,-1167154497552.000000,1483100655825.000000,-249338475222.000000,-81721933589.000000,-112912182537.000000,-54704359096.000000,-249338475222.000000,1233762180603.000000,116580835940.000000,58464257039.000000,-1733532672.000000,,-5735903977.000000,,65586015550.000000,116580835940.000000,1350343016543.000000,-14922097250.000000,-14922097250.000000,,-14922097250.000000,1335420919293.000000,,1335420919293.000000,-3278193314.000000,-3278193314.000000,-3278193314.000000,1332142725979.000000,1335420919293.000000,1334935791773.000000,485127520.000000,1335420919293.000000,1332142725979.000000,1331659602606.000000,483123373.000000,1332142725979.000000
12M 2020,2629300300189.000000,-1014089942110.000000,1615210358079.000000,-293435759324.000000,-91700978178.000000,-140385472767.000000,-61349308379.000000,-293435759324.000000,1321774598755.000000,39525408135.000000,71375082444.000000,4217814243.000000,90000000.000000,-4974740168.000000,-90731255855.000000,59548507471.000000,39525408135.000000,1361300006890.000000,-12724622240.000000,-12724622240.000000,,-12724622240.000000,1348575384650.000000,,1348575384650.000000,10251125067.000000,10251125067.000000,10251125067.000000,1358826509717.000000,1348575384650.000000,1347650476293.000000,924908357.000000,1348575384650.000000,1358826509717.000000,1357899053395.000000,927456322.000000,1358826509717.000000
12M 2021,1440736819516.000000,-594202910549.000000,846533908967.000000,-181305280370.000000,-42732905271.000000,-103276675592.000000,-35295699507.000000,-181305280370.000000,665228628597.000000,65669519842.000000,38186817033.000000,88765086.000000,,4009858653.000000,-56849041733.000000,80233120803.000000,65669519842.000000,730898148439.000000,-16039729640.000000,-16039729640.000000,,-16039729640.000000,714858418799.000000,,714858418799.000000,584516437.000000,584516437.000000,584516437.000000,715442935236.000000,714858418799.000000,714740525315.000000,117893484.000000,714858418799.000000,715442935236.000000,715323867415.000000,119067821.000000,715442935236.000000
12M 2022,1932425763139.000000,-557280849866.000000,1375144913273.000000,-198425409759.000000,-35785277861.000000,-119099686264.000000,-43540445634.000000,-198425409759.000000,1176719503514.000000,62112637164.000000,22520743338.000000,1379069332.000000,1064175001.000000,-912498543.000000,-53582814312.000000,91643962348.000000,62112637164.000000,1238832140678.000000,-20335753680.000000,-20335753680.000000,,-20335753680.000000,1218496386998.000000,,1218496386998.000000,-520782343.000000,-520782343.000000,-520782343.000000,1217975604655.000000,1218496386998.000000,1217292383240.000000,1204003758.000000,1218496386998.000000,1217975604655.000000,1216771623116.000000,1203981539.000000,1217975604655.000000
12M 2023,1921421675246.000000,-595603659307.000000,1325818015939.000000,-247605192255.000000,-69331246541.000000,-126779170566.000000,-51494775148.000000,-247605192255.000000,1078212823684.000000,164894859629.000000,38179072399.000000,-566541033.000000,,2251624666.000000,-26620388552.000000,151651092149.000000,164894859629.000000,1243107683313.000000,-32215436880.000000,-32215436880.000000,,-32215436880.000000,1210892246433.000000,,1210892246433.000000,6168278078.000000,6168278078.000000,6168278078.000000,1217060524511.000000,1210892246433.000000,1209797586358.000000,1094660075.000000,1210892246433.000000,1217060524511.000000,1215964498705.000000,1096025806.000000,1217060524511.000000
12M 2024,2032677883645.000000,-617203067966.000000,1415474815679.000000,-273517816535.000000,-83524692285.000000,-138149109709.000000,-51844014541.000000,-273517816535.000000,1141956999144.000000,231826485574.000000,74780910806.000000,1207500605.000000,335990625.000000,12394760437.000000,-38476836785.000000,181584159886.000000,231826485574.000000,1373783484718.000000,-39152674220.000000,-39152674220.000000,,-39152674220.000000,1334630810498.000000,,1334630810498.000000,-78035238.000000,-78035238.000000,-78035238.000000,1334552775260.000000,1334630810498.000000,1333657486567.000000,973323931.000000,1334630810498.000000,1334552775260.000000,1333579338583.000000,973436677.000000,1334552775260.000000
