Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2012,0.00,1034.43,0.00,1034.43,,,,"(1,232 B)","1,340 B"
12M 2013,0.00,125.14,0.00,125.14,,,,"(1,285 B)","1,902 B"
12M 2014,0.00,147.37,0.00,147.37,,,,"(1,381 B)","2,757 B"
12M 2015,1.45,148.50,1.45,148.50,,,,"(1,175 B)","3,666 B"
12M 2016,1.50,153.22,1.50,153.22,,,,"(1,219 B)","3,318 B"
12M 2017,1.18,145.28,1.18,145.28,,,,(785 B),"3,098 B"
12M 2018,1.07,149.07,1.07,149.07,,,,(745 B),"3,288 B"
12M 2019,2.20,134.70,2.20,134.70,,,,(667 B),"2,929 B"
12M 2020,2.15,114.62,2.15,114.62,,,,"(1,375 B)","2,575 B"
12M 2021,1.72,110.96,1.72,110.96,,,,(599 B),"2,465 B"
12M 2022,1.34,118.71,1.34,118.71,,,,(763 B),"3,009 B"
12M 2023,1.34,121.94,1.34,121.94,,,,"(1,027 B)","3,614 B"
12M 2024,1.00,149.60,1.00,149.60,500 B,,500 B,"(1,259 B)","5,087 B"
