Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Persediaan,Investasi Pada Entitas Pengendalian Bersama,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Properti Investasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pihak Berelasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Lain-Lain,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pihak Berelasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,1231739313655.000000,,,,,,1808910745976.000000,139832216004.000000,3180482275635.000000,,4866168468948.000000,,,,,,,34807039945.000000,,4900975508893.000000,8081457784528.000000,,,1840185004054.000000,,,65458127890.000000,24865835413.000000,,684988272047.000000,684988272047.000000,1320997091.000000,1063551771613.000000,1840185004054.000000,1751914452450.000000,,1743722625419.000000,1743722625419.000000,8191827031.000000,1751914452450.000000,3592099456504.000000,,4337830000000.000000,-116095325931.000000,265451185308.000000,,,265451185308.000000,2172468647.000000,4489358328024.000000,8081457784528.000000,4337830000.000000
12M 2013,,,1284878296777.000000,,,,,,1779913679123.000000,111730197397.000000,3176522173297.000000,,4443861411370.000000,,,,,,,52409524689.000000,,4496270936059.000000,7672793109356.000000,,,1274706732932.000000,,,56228430048.000000,14630880153.000000,,342291027013.000000,342291027013.000000,1320171751.000000,860236223967.000000,1274706732932.000000,967277514366.000000,,956815442035.000000,956815442035.000000,10462072331.000000,967277514366.000000,2241984247298.000000,,4337830000000.000000,-116095325931.000000,1206755412826.000000,,,1206755412826.000000,2318775163.000000,5430808862058.000000,7672793109356.000000,43378300000.000000
12M 2014,,,1381001744725.000000,,,,,,2236255615857.000000,49517791443.000000,3666775152025.000000,,3792416350499.000000,,,,,,9984539680.000000,133650892504.000000,,3936051782683.000000,7602826934708.000000,,,909292546429.000000,,,36518321966.000000,5130952525.000000,,307169144927.000000,307169144927.000000,1320171751.000000,559153955260.000000,909292546429.000000,298158113172.000000,,286212762285.000000,286212762285.000000,11945350887.000000,298158113172.000000,1207450659601.000000,,4337830000000.000000,-116095325931.000000,2170868301824.000000,,,2170868301824.000000,2773299214.000000,6395376275107.000000,7602826934708.000000,43378300000.000000
12M 2015,,,1174606073353.000000,,,,,,2427525773529.000000,893042950402.000000,4495174797284.000000,,3309626714161.000000,,,,,,18957104430.000000,183362392664.000000,,3511946211255.000000,8007121008539.000000,,,829395337308.000000,,53561943325.000000,8116126583.000000,5276204713.000000,,,,2899027866.000000,759542034821.000000,829395337308.000000,17127805220.000000,,,,17127805220.000000,17127805220.000000,846523142528.000000,,4819811110000.000000,379730372583.000000,1958002519767.000000,,,1958002519767.000000,3053863652.000000,7160597866002.000000,8007121008530.000000,48198111100.000000
12M 2016,,,1219104170177.000000,,,,,,2379892055470.000000,114840616399.000000,3713836842046.000000,,3754844566005.000000,,,,,,29796307373.000000,305374219849.000000,,4090015093227.000000,7803851935273.000000,,,395408905579.000000,,39345000729.000000,24360649339.000000,17961929131.000000,,,,3788659581.000000,309952666799.000000,395408905579.000000,20058145737.000000,,,,20058145737.000000,20058145737.000000,415467051316.000000,,4819811110000.000000,379730372583.000000,2185479565002.000000,2000000000.000000,2183479565002.000000,2185479565002.000000,3363836372.000000,7388384883957.000000,7803851935273.000000,48198111100.000000
12M 2017,,,785379220213.000000,49817759399.000000,40730778000.000000,9086981399.000000,49817759399.000000,,2601936751011.000000,98693902981.000000,3535827633604.000000,,3517092475949.000000,52454260769.000000,14827027937.000000,,14827027937.000000,14827027937.000000,31238597230.000000,319501561830.000000,,3935113923715.000000,7470941557319.000000,,,437801866027.000000,,18364007763.000000,59870626480.000000,18998589164.000000,,,,8161780241.000000,332406862379.000000,437801866027.000000,27301888317.000000,,,,27301888317.000000,27301888317.000000,465103754344.000000,,4819811110000.000000,379730372583.000000,1802532034885.000000,4000000000.000000,1798532034885.000000,1802532034885.000000,3764285507.000000,7005837802975.000000,7470941557319.000000,48198111100.000000
12M 2018,,,744929332880.000000,82748289307.000000,67081080000.000000,15667209307.000000,82748289307.000000,,2679078099404.000000,60864269603.000000,3567619991194.000000,,3411460615786.000000,97186135722.000000,,,,,110963849570.000000,312802843100.000000,,3932413444178.000000,7500033435372.000000,,,279406145584.000000,,2099451051.000000,37546489412.000000,6571685149.000000,,,,4515145743.000000,228673374229.000000,279406145584.000000,32123663260.000000,,,,32123663260.000000,32123663260.000000,311529808844.000000,,4819811110000.000000,379730372583.000000,1985453424339.000000,6000000000.000000,1979453424339.000000,1985453424339.000000,3508719606.000000,7188503626528.000000,7500033435372.000000,48198111100.000000
12M 2019,,,666865442923.000000,1090422216000.000000,1090422216000.000000,,1090422216000.000000,,2175572634012.000000,76325158936.000000,4009185451871.000000,,3053975555082.000000,91448672038.000000,,,,,152731422007.000000,309629928622.000000,,3607785577749.000000,7616971029620.000000,,,1080280696768.000000,,31092709407.000000,51514581127.000000,41191651516.000000,,,,7801448571.000000,948680306147.000000,1080280696768.000000,40950546545.000000,,,,40950546545.000000,40950546545.000000,1121231243313.000000,,4819811110000.000000,379730372583.000000,1292792360745.000000,8000000000.000000,1284792360745.000000,1292792360745.000000,3405942979.000000,6495739786307.000000,7616971029620.000000,48198111100.000000
12M 2020,,,1375357411446.000000,39220875000.000000,39220875000.000000,,39220875000.000000,,2079426568453.000000,247925374476.000000,3741930229375.000000,,2481639375787.000000,88168598591.000000,,,,,148517506021.000000,290465585963.000000,1511944367.000000,3010303010729.000000,6752233240104.000000,,,1166978278475.000000,,9742671501.000000,74398218394.000000,1630327457.000000,,,,47305599836.000000,1033901461287.000000,1166978278475.000000,57197810835.000000,,,,57197810835.000000,57197810835.000000,1224176089310.000000,,4819811110000.000000,379730372583.000000,324978510263.000000,10000000000.000000,314978510263.000000,324978510263.000000,3537157948.000000,5528057150794.000000,6752233240104.000000,48198111100.000000
12M 2021,,,598937798447.000000,,,,,,2282766591638.000000,283685742231.000000,3165390132316.000000,,2390109450107.000000,99145949652.000000,,,,,149616595323.000000,308791131863.000000,888344093.000000,2948551471038.000000,6113941603354.000000,,,700412191939.000000,,31346252036.000000,37634411368.000000,412743179.000000,,,,16611589015.000000,614407196341.000000,700412191939.000000,62356230735.000000,,,,62356230735.000000,62356230735.000000,762768422674.000000,,4819811110000.000000,379730372583.000000,148637322328.000000,11000000000.000000,137637322328.000000,148637322328.000000,2994375769.000000,5351173180680.000000,6113941603354.000000,48198111100.000000
