Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2021,36215902965.000000,-30325180720.000000,5890722245.000000,-10628957156.000000,-1597026959.000000,-9068712142.000000,36781945.000000,-10628957156.000000,-4738234911.000000,-1433108847.000000,-1433540972.000000,432125.000000,-1433108847.000000,-6171343758.000000,1480827784.000000,-4690515974.000000,,-4690515974.000000,-4690515974.000000,-4690515974.000000,,-4690515974.000000,-4690515974.000000,-4690515974.000000,,-4690515974.000000
12M 2022,44150213935.000000,-32303664341.000000,11846549594.000000,-7898508617.000000,-1178103298.000000,-6784164969.000000,63759650.000000,-7898508617.000000,3948040977.000000,-1371034965.000000,-1371543527.000000,508562.000000,-1371034965.000000,2577006012.000000,-524212771.000000,2052793241.000000,54346500.000000,2107139741.000000,2052793241.000000,2052793241.000000,,2052793241.000000,2107139741.000000,2107139741.000000,,2107139741.000000
12M 2023,52931736227.000000,-37002120141.000000,15929616086.000000,-10848182817.000000,-2281260602.000000,-8616532746.000000,49610531.000000,-10848182817.000000,5081433269.000000,-2178285361.000000,-2200658706.000000,22373345.000000,-2178285361.000000,2903147908.000000,-614355646.000000,2288792262.000000,31462860.000000,2320255122.000000,2288792262.000000,2288792262.000000,,2288792262.000000,2320255122.000000,2320255122.000000,,2320255122.000000
12M 2024,54702368426.000000,-40843331481.000000,13859036945.000000,-11229875052.000000,-2465907070.000000,-8817216174.000000,53248192.000000,-11229875052.000000,2629161893.000000,-1457733229.000000,-1489814891.000000,32081662.000000,-1457733229.000000,1171428664.000000,-271670969.000000,899757695.000000,129797460.000000,1029555155.000000,899757695.000000,899757695.000000,,899757695.000000,1029555155.000000,1029555155.000000,,1029555155.000000
