Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk Beban Usahan Dan Operasi Lainnya,Penerimaan Penghasilan Keuangan,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembiayaan Konsumen,Tambahan Modal Disetor,Penerimaan Setoran Modal Melalui Pelaksanaan Waran,Penerimaan Hasil Penerbitan Saham,Penerimaan Pelunasan Hasil Penerbitan Saham Baru,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,,,,,,,,,,,,,,,,,,,,,,
12M 2021,1967909946.000000,35906739746.000000,-26351292266.000000,-6301805715.000000,432125.000000,-1286163944.000000,1967909946.000000,-3125166046.000000,-365339358.000000,-2759826688.000000,-3125166046.000000,1124412235.000000,-653100000.000000,-1916059197.000000,3693571432.000000,,,,1124412235.000000,-32843865.000000,67565381.000000,34721516.000000
12M 2022,7568440915.000000,40939398942.000000,-29437252126.000000,-2664906391.000000,508562.000000,-1269308072.000000,7568440915.000000,-5382457103.000000,-3261069573.000000,-2121387530.000000,-5382457103.000000,-1646867345.000000,-678100000.000000,-1855910203.000000,887142858.000000,,,,-1646867345.000000,539116467.000000,34721516.000000,573837983.000000
12M 2023,-26767823321.000000,51085348649.000000,-68093068353.000000,-7651973684.000000,22373345.000000,-2130503278.000000,-26767823321.000000,-7413929125.000000,-2596033848.000000,-4817895277.000000,-7413929125.000000,40128400003.000000,-574999999.000000,-5952469258.000000,43575835560.000000,,3080033700.000000,,40128400003.000000,5946647557.000000,573837983.000000,6520485540.000000
12M 2024,8343774627.000000,44850001259.000000,-25251990444.000000,-9840371920.000000,32081662.000000,-1445945930.000000,8343774627.000000,-5733556385.000000,-3961285142.000000,-1772271243.000000,-5733556385.000000,-4881342152.000000,-440000000.000000,-6363950952.000000,1867664260.000000,54944540.000000,,,-4881342152.000000,-2271123910.000000,6520485540.000000,4249361630.000000
