Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2021,0.28,0.23,5.75,13.24,0.0,0.0,5.74,0.43,12.24
12M 2022,0.4,0.32,2.44,7.59,0.0,0.0,2.34,0.32,6.59
12M 2023,1.85,1.5,0.16,1.41,0.0,0.0,0.04,0.11,0.41
12M 2024,3.17,2.56,0.04,1.16,0.0,0.0,-0.03,0.04,0.16
