Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.00 B,268643.72,0.00,0.00,10.02 B,2.13%,3.96%,30.72%,2.25
12M 2020,0.00 B,488769.06,0.00,0.00,11.68 B,3.35%,5.95%,18.72%,4.93
12M 2021,0.00 B,786363.60,0.00,0.00,15.12 B,5.22%,7.89%,20.12%,8.01
12M 2022,0.00 B,19382.03,0.00,0.00,19.28 B,9.20%,16.42%,21.33%,11.36
12M 2023,0.32 B,26.58,7.60,0.42,16.98 B,3.27%,4.92%,9.75%,5.98
12M 2024,0.32 B,44.25,1.27,0.09,25.98 B,4.18%,6.02%,9.60%,4.31
