Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Beban Operasional Lainnya,Pembayaran Beban Bunga Dan Keuangan,Pembayaran Dividen,Pembayaran Pajak Penghasilan,Adjusment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal,Penerimaan Atas Agio Saham Sehubungan Dengan Penawaran Umum Saham Perdana,Pembayaran Emisi Saham,Penambahan Piutang Pihak Berelasi,Kenaikan Piutang Pihak Berelasi,Penerimaan Kepada Pihak Berelasi,Pembayaran Utang Lain-Lain Dari Pihak Berelasi,Penerimaan Piutang Lain-Lain Dari Pihak Berelasi,Pembayaran Liabilitas Sewa Kepada Pihak Berelasi,Pembayaran Dividen,Penerimaan Dari Penawaran Saham Perdana,Pembayaran Utang Pembelian Aset Tetap,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Adjusment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,10881287235.000000,117796170181.000000,-11823906318.000000,-83047984679.000000,-7294885835.000000,-3499763211.000000,,-1248342903.000000,,10881287235.000000,-3546243614.000000,487280000.000000,-4033523614.000000,-3546243614.000000,-7210744350.000000,,,,,,,,,,,,-1155263319.000000,16909160778.000000,-22964641809.000000,,-7210744350.000000,124299271.000000,4862631076.000000,4986930347.000000
12M 2020,4195517268.000000,96681161432.000000,-13895802600.000000,-68886084467.000000,-6024470325.000000,-2131566867.000000,,-1547719905.000000,,4195517268.000000,-583243347.000000,,-583243347.000000,-583243347.000000,-2080578666.000000,,,,,,,,,,,,-1349990663.000000,742993409.000000,-1473581412.000000,,-2080578666.000000,1531695255.000000,4986930347.000000,6518625602.000000
12M 2021,17871228931.000000,114422195549.000000,-12524231692.000000,-77171662717.000000,-3221181426.000000,-1658489940.000000,,-1975400843.000000,,17871228931.000000,-3760095189.000000,850000000.000000,-4610095189.000000,-3760095189.000000,-8998837741.000000,,,,,,,,,-850000000.000000,,,,5083031580.000000,-13231869321.000000,,-8998837741.000000,5112296001.000000,6518625602.000000,11630921603.000000
12M 2022,-10193398509.000000,131074294278.000000,-15679133737.000000,-113658842603.000000,-6675583411.000000,-1468998810.000000,,-3785134226.000000,,-10193398509.000000,-2308878905.000000,138904980.000000,-2447783885.000000,-2308878905.000000,4371788710.000000,,,,8603908084.000000,-14123883698.000000,1000000000.000000,-1000000000.000000,,,,,-1445420231.000000,12049371811.000000,-712187256.000000,,4371788710.000000,-8130488704.000000,11630921603.000000,3500432899.000000
12M 2023,-86337413322.000000,142658771448.000000,-17251590418.000000,-200178606705.000000,-4917902277.000000,-2202627194.000000,,-4445458176.000000,,-86337413322.000000,-3853915074.000000,,-3853915074.000000,-3853915074.000000,96257276732.000000,,,,171139918.000000,-17468840178.000000,,,,-848581951.000000,,96000000000.000000,-1032043359.000000,19904156513.000000,-468554211.000000,,96257276732.000000,6065948336.000000,3500432900.000000,9566381236.000000
12M 2024,34006639006.000000,202822502187.000000,-21937987522.000000,-126676227661.000000,-10672605551.000000,-4904430631.000000,,-4624611816.000000,,34006639006.000000,-1811293130.000000,,-1811293130.000000,-1811293130.000000,-28755761672.000000,,,,-20186826102.000000,-11985792167.000000,,-31478434.000000,,,,5878663364.000000,-2032634596.000000,,-397693737.000000,,-28755761672.000000,3439584204.000000,9566381236.000000,13005965440.000000
