Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Adjustment,Total Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,105718446504.000000,-76766284157.000000,28952162347.000000,-21079182296.000000,-923616413.000000,-20155565883.000000,,-21079182296.000000,7872980051.000000,-2446840049.000000,-3499763211.000000,1052923162.000000,-2446840049.000000,5426140002.000000,-1381837356.000000,-1643866816.000000,262029460.000000,,-1381837356.000000,-2432440326.000000,1611862320.000000,-590035161.000000,1260233542.000000,1611862320.000000,1611862320.000000,,1611862320.000000,1260233542.000000,1260233542.000000,,1260233542.000000
12M 2020,101614423752.000000,-69098106006.000000,32516317746.000000,-21998585619.000000,-459921503.000000,-21538664116.000000,,-21998585619.000000,10517732127.000000,-143318662.000000,-2131566867.000000,1988248205.000000,-143318662.000000,10374413465.000000,-1403847021.000000,-1669130601.000000,265283580.000000,,-1403847021.000000,-6037952089.000000,2932614355.000000,-367488938.000000,2771515819.000000,2932614355.000000,2932614355.000000,,2932614355.000000,2771515819.000000,2771515819.000000,,2771515819.000000
12M 2021,119333594612.000000,-87147222243.000000,32186372369.000000,-18903427582.000000,-515122405.000000,-18388305177.000000,,-18903427582.000000,13282944787.000000,-892838635.000000,-1658489940.000000,765651305.000000,-892838635.000000,12390106152.000000,-2335771299.000000,-2298098412.000000,-37672887.000000,,-2335771299.000000,-5336153273.000000,4718181580.000000,398431577.000000,5086285578.000000,4718181580.000000,4718181580.000000,,4718181580.000000,5086285578.000000,5086285578.000000,,5086285578.000000
12M 2022,136036226335.000000,-93917746416.000000,42118479919.000000,-25426232689.000000,-1757039472.000000,-24093169194.000000,423975977.000000,-25426232689.000000,16692247230.000000,-1468998810.000000,-1468998810.000000,,-1468998810.000000,15223248420.000000,-3743269893.000000,-3743269893.000000,,,-3743269893.000000,,11479978527.000000,,10170769722.000000,11479978527.000000,11479978527.000000,,11479978527.000000,10170769722.000000,10170769722.000000,,10170769722.000000
12M 2023,152990933708.000000,-102339182049.000000,50651751659.000000,-37318863312.000000,-2593184051.000000,-30997861465.000000,-3727817796.000000,-37318863312.000000,13332888347.000000,-2229651815.000000,-2229651815.000000,,-2229651815.000000,11103236532.000000,-2697695665.000000,-2697695665.000000,,,-2697695665.000000,,8405540867.000000,,8977869586.000000,8405540867.000000,8405540867.000000,,8405540867.000000,8977869586.000000,8977869586.000000,,8977869586.000000
12M 2024,192300097186.000000,-124392180085.000000,67907917101.000000,-46810623358.000000,-3421201320.000000,-41670467016.000000,-1718955022.000000,-46810623358.000000,21097293743.000000,-4895468375.000000,-4895468375.000000,,-4895468375.000000,16201825368.000000,-2210707269.000000,-2210707269.000000,,,-2210707269.000000,,13991118099.000000,,13550704204.000000,13991118099.000000,13991118099.000000,,13991118099.000000,13550704204.000000,13550704204.000000,,13550704204.000000
