Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Beban Akrual,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Pihak Berelasi,Utang Lembaga Keuangan Lain,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Lembaga Keuangan Lain,Utang Pembiayaan Konsumen,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2016,,,5221719000.000000,,5598512000.000000,295773000.000000,1365180000.000000,7832125000.000000,20313309000.000000,,769576000.000000,321683864000.000000,493800000.000000,6943473000.000000,329890713000.000000,350204022000.000000,,,80637688000.000000,,11763334000.000000,,2184331000.000000,3711493000.000000,,10097983000.000000,52752525000.000000,128022000.000000,,62978530000.000000,80637688000.000000,188107700000.000000,,21205763000.000000,50417000.000000,,166359394000.000000,,187615574000.000000,,492126000.000000,188107700000.000000,268745388000.000000,,33396405000.000000,,19761224000.000000,,19761224000.000000,19761224000.000000,28301005000.000000,81458634000.000000,350204022000.000000,333964046.000000
12M 2017,,,5161024000.000000,619278000.000000,6401860000.000000,171029000.000000,700778000.000000,1234682000.000000,14288651000.000000,,671526000.000000,308048513000.000000,,9442392000.000000,318162431000.000000,332451082000.000000,,,47435699000.000000,,2293652000.000000,,1033108000.000000,1952265000.000000,,18648507000.000000,23383812000.000000,124355000.000000,,42156674000.000000,47435699000.000000,138250043000.000000,,9486379000.000000,119437000.000000,,128014268000.000000,,137620084000.000000,,629959000.000000,138250043000.000000,185685742000.000000,,81699706000.000000,21481930000.000000,18332764000.000000,,18332764000.000000,18332764000.000000,25250940000.000000,146765340000.000000,332451082000.000000,816997051.000000
12M 2018,,,5112747000.000000,,6191244000.000000,135654000.000000,1265136000.000000,2622478000.000000,15327259000.000000,,488796000.000000,296996065000.000000,,,297484861000.000000,312812120000.000000,,,47527952000.000000,5968809000.000000,2163793000.000000,,434536000.000000,218837000.000000,,9486379000.000000,29092329000.000000,163269000.000000,,38741977000.000000,47527952000.000000,118403399000.000000,,,337684000.000000,,117334675000.000000,,117672359000.000000,,731040000.000000,118403399000.000000,165931351000.000000,,81699706000.000000,21481930000.000000,21396060000.000000,,21396060000.000000,21396060000.000000,22303073000.000000,146880769000.000000,312812120000.000000,816997051.000000
12M 2019,,,3066104000.000000,,7189493000.000000,3766765000.000000,618293000.000000,615039000.000000,15255694000.000000,,390849000.000000,259394840000.000000,,,259785689000.000000,275041383000.000000,,,72637664000.000000,5992019000.000000,994092000.000000,77000000.000000,,320376000.000000,,,65099772000.000000,154405000.000000,,65254177000.000000,72637664000.000000,55474151000.000000,,,181190000.000000,,54348910000.000000,,54530100000.000000,,944051000.000000,55474151000.000000,128111815000.000000,,81699706000.000000,21481930000.000000,27036768000.000000,,,27036768000.000000,16711164000.000000,146929568000.000000,275041383000.000000,816997051.000000
12M 2020,,,7299690000.000000,,7513524000.000000,1093133000.000000,656548000.000000,647362000.000000,17210257000.000000,,61211000.000000,238604324000.000000,,2232104000.000000,240897639000.000000,258107896000.000000,,,70154823000.000000,5924841000.000000,807300000.000000,,,295187000.000000,,,62826734000.000000,105765000.000000,194996000.000000,63127495000.000000,70154823000.000000,43472866000.000000,,,75425000.000000,,41771661000.000000,700046000.000000,42547132000.000000,,925734000.000000,43472866000.000000,113627689000.000000,,81699706000.000000,21481930000.000000,27031774000.000000,,,27031774000.000000,14266797000.000000,144480207000.000000,258107896000.000000,816997051.000000
12M 2021,,,4469911000.000000,,7666284000.000000,90787000.000000,533236000.000000,2830904000.000000,15591122000.000000,,,217995122000.000000,,4793022000.000000,222788144000.000000,238379266000.000000,,,60853519000.000000,,853689000.000000,,85166000.000000,318604000.000000,,1203137000.000000,57784624000.000000,173174000.000000,435125000.000000,59596060000.000000,60853519000.000000,33327510000.000000,,3542846000.000000,200943000.000000,,27508479000.000000,989598000.000000,32241866000.000000,39210000.000000,1046434000.000000,33327510000.000000,94181029000.000000,,81699706000.000000,21481930000.000000,29536732000.000000,,,29536732000.000000,11479869000.000000,144198237000.000000,238379266000.000000,816997051.000000
12M 2022,,,5870576000.000000,,5357847000.000000,102091000.000000,565959000.000000,2174781000.000000,14071254000.000000,,1624399000.000000,183665482000.000000,,1706274000.000000,186996155000.000000,201067409000.000000,,,58423982000.000000,,429311000.000000,,75000000.000000,40397000.000000,,1208597000.000000,56100620000.000000,96293000.000000,473764000.000000,57879274000.000000,58423982000.000000,18283085000.000000,,2334249000.000000,104650000.000000,,14273427000.000000,515834000.000000,17228160000.000000,,1054925000.000000,18283085000.000000,76707067000.000000,,81699706000.000000,21481930000.000000,18624224000.000000,,,18624224000.000000,2554482000.000000,124360342000.000000,201067409000.000000,816997053.000000
12M 2023,,,6038292000.000000,,3842728000.000000,121000000.000000,529184000.000000,1378815000.000000,11910019000.000000,,2360805000.000000,163748487000.000000,,1954140000.000000,168063432000.000000,179973451000.000000,,,52137788000.000000,,1630362000.000000,,375000000.000000,28942000.000000,,1214726000.000000,48214385000.000000,104650000.000000,569723000.000000,50103484000.000000,52137788000.000000,6968059000.000000,,1119523000.000000,,,4609987000.000000,,5729510000.000000,,1238549000.000000,6968059000.000000,59105847000.000000,,81699706000.000000,21481930000.000000,15274682000.000000,,,15274682000.000000,2411286000.000000,120867604000.000000,179973451000.000000,816997053.000000
12M 2024,,,3153457000.000000,,5063831000.000000,50000000.000000,621982000.000000,2796795000.000000,11686065000.000000,,3057257000.000000,144410652000.000000,,1449627000.000000,148917536000.000000,160603601000.000000,,,41637795000.000000,,1434182000.000000,,75000000.000000,36337000.000000,,1119523000.000000,38637567000.000000,165853000.000000,169333000.000000,40092276000.000000,41637795000.000000,1721358000.000000,,,,184696000.000000,,172889000.000000,357585000.000000,,1363773000.000000,1721358000.000000,43359153000.000000,,81699706000.000000,21481930000.000000,11913638000.000000,,,11913638000.000000,2149174000.000000,117244448000.000000,160603601000.000000,816997053.000000
