Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Untuk Operasional,Pembayaran Pajak,Pembayaran Beban Keuangan,Penerimaan Pajak (Restitusi),Penerimaan Jasa Giro Dan Pendapatan Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pelepasan Aset Tetap,Deposito Berjangka,Penempatan Bank Garansi Deposito,Penerimaan Dari Kas Yang Dibatasi Penggunaannya,Pembayaran Untuk Kas Yang Di Batasi Penggunannya,Pengembalian Jaminan,Investasi Jangka Pendek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan (Pengurangan) Utang Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Penambahan Modal Disetor Dari Ipo,Pembayaran Lembaga Keuangan Lainnya,Pembayaran Utang Sewa Pembiayaan,Pembayaran Untuk Liabilitas Sewa,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Deposito Berjangka Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,25402441000.000000,63242144000.000000,-13819112000.000000,-6049110000.000000,-12355467000.000000,-6065561000.000000,-7792279000.000000,8214399000.000000,27427000.000000,25402441000.000000,-44619577000.000000,-45279253000.000000,,,,,,659676000.000000,,-44619577000.000000,22201700000.000000,30705752000.000000,-39604102000.000000,,-203696000.000000,,,31303746000.000000,,,22201700000.000000,2984564000.000000,2237155000.000000,,5221719000.000000
12M 2017,22905160000.000000,68308628000.000000,-19375128000.000000,-7340273000.000000,-10255983000.000000,-1569634000.000000,-10026985000.000000,3046463000.000000,118072000.000000,22905160000.000000,-7521162000.000000,-8253762000.000000,238800000.000000,,,,,493800000.000000,,-7521162000.000000,-21444693000.000000,-36257219000.000000,-31456619000.000000,55991930000.000000,65352000.000000,,,,-9168859000.000000,-619278000.000000,-21444693000.000000,-6060695000.000000,5221719000.000000,,-838976000.000000
12M 2018,18317757000.000000,58826888000.000000,-6304726000.000000,-7607198000.000000,-18013345000.000000,-2111824000.000000,-7220459000.000000,721985000.000000,26436000.000000,18317757000.000000,-575365000.000000,-1337644000.000000,143000000.000000,,,,,,619279000.000000,-575365000.000000,-17759478000.000000,,-4971077000.000000,,-139892000.000000,,,,-12648509000.000000,,-17759478000.000000,-17086000.000000,-838976000.000000,,-856062000.000000
12M 2019,27713606000.000000,48201696000.000000,-7513327000.000000,-522857000.000000,-3176886000.000000,-1517822000.000000,-7769696000.000000,,12498000.000000,27713606000.000000,2521850000.000000,-118150000.000000,2640000000.000000,,,,,,,2521850000.000000,-32305309000.000000,,-22653572000.000000,,-165358000.000000,,,,-9486379000.000000,,-32305309000.000000,-2069853000.000000,-856062000.000000,,-2925915000.000000
12M 2020,17153741000.000000,38486011000.000000,-6794463000.000000,-355092000.000000,-12113170000.000000,-1442298000.000000,-696586000.000000,,69339000.000000,17153741000.000000,-178250000.000000,-303750000.000000,165500000.000000,,,,-40000000.000000,,,-178250000.000000,-12674727000.000000,,-12253655000.000000,,-154405000.000000,,-266667000.000000,,,,-12674727000.000000,4300764000.000000,-2925915000.000000,,1374849000.000000
12M 2021,20235864000.000000,41812525000.000000,-7290137000.000000,-8503749000.000000,-3874519000.000000,-1233045000.000000,-790844000.000000,,115633000.000000,20235864000.000000,-2996618000.000000,-6700000.000000,,,,,-2989918000.000000,,,-2996618000.000000,-14144184000.000000,,-18302945000.000000,,-207222000.000000,,-380000000.000000,4900000000.000000,-154017000.000000,,-14144184000.000000,3095062000.000000,1374849000.000000,,4469911000.000000
12M 2022,24162663000.000000,42379097000.000000,-6774110000.000000,-8696750000.000000,-3486333000.000000,-756500000.000000,-608318000.000000,2016726000.000000,88851000.000000,24162663000.000000,1366629000.000000,-81533000.000000,,,,3029918000.000000,-1581756000.000000,,,1366629000.000000,-24128627000.000000,,-22317191000.000000,,-173174000.000000,,-435125000.000000,,-1203137000.000000,,-24128627000.000000,1400665000.000000,4469911000.000000,,5870576000.000000
12M 2023,17489083000.000000,29470182000.000000,-2681478000.000000,-5761263000.000000,-3072168000.000000,-554806000.000000,-375070000.000000,412706000.000000,50980000.000000,17489083000.000000,498626000.000000,-284019000.000000,63063000.000000,,,1581756000.000000,-862174000.000000,,,498626000.000000,-17819993000.000000,800000000.000000,-16721307000.000000,,-96293000.000000,,-593796000.000000,,-1208597000.000000,,-17819993000.000000,167716000.000000,5870576000.000000,,6038292000.000000
12M 2024,16435470000.000000,31541954000.000000,-5103585000.000000,-6030290000.000000,-4016795000.000000,-549988000.000000,-223458000.000000,770488000.000000,47144000.000000,16435470000.000000,-705915000.000000,-226807000.000000,114396000.000000,,,,-593504000.000000,,,-705915000.000000,-18614390000.000000,2020000000.000000,-18448404000.000000,,-256182000.000000,,-715078000.000000,,-1214726000.000000,,-18614390000.000000,-2884835000.000000,6038292000.000000,,3153457000.000000
