Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Bank Jangka Pendek,Beban Akrual,Utang Pajak,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,1052003034.000000,5985524357.000000,5985524357.000000,,5985524357.000000,196351294.000000,196351294.000000,,196351294.000000,2793854501.000000,10027733186.000000,,3458486270.000000,1213920231.000000,6961754759.000000,11634161260.000000,21661894446.000000,,,46631594517.000000,,2135033493.000000,2135033493.000000,,926411351.000000,37670440017.000000,38596851368.000000,,1181145391.000000,4623642339.000000,94921926.000000,46631594517.000000,5206642181.000000,5206642181.000000,5206642181.000000,51838236698.000000,,2500000000.000000,136400000.000000,-19717441141.000000,,,-19717441141.000000,,-13095301111.000000,-30176342252.000000,21661894446.000000,1000.000000
12M 2020,,,1386092320.000000,14054464963.000000,14054464963.000000,,14054464963.000000,283250114.000000,206421722.000000,76828392.000000,283250114.000000,7659418339.000000,23383225736.000000,,5688717268.000000,1434869271.000000,16223024614.000000,23346611153.000000,46729836889.000000,,,68091966948.000000,,3845362926.000000,3845362926.000000,,2350738918.000000,49230208483.000000,51580947401.000000,,3382545630.000000,6935570773.000000,2347540218.000000,68091966948.000000,12213844276.000000,12213844276.000000,12213844276.000000,80305811224.000000,,2500000000.000000,136400000.000000,-29842590949.000000,,,-29842590949.000000,,-6369783386.000000,-33575974335.000000,46729836889.000000,1000.000000
12M 2021,,,10096566661.000000,13410244022.000000,13410244022.000000,,13410244022.000000,394170340.000000,318135928.000000,76034412.000000,394170340.000000,31327297370.000000,55228278393.000000,,3132396147.000000,2218981145.000000,12583049822.000000,17934427114.000000,73162705507.000000,,,100507254627.000000,,12853445571.000000,12853445571.000000,,2660684250.000000,67692818448.000000,70353502698.000000,,6710235109.000000,8377266522.000000,2212804727.000000,100507254627.000000,12536445654.000000,12536445654.000000,12536445654.000000,113043700281.000000,,2500000000.000000,136400000.000000,-27145728448.000000,,,-27145728448.000000,,-15371666326.000000,-39880994774.000000,73162705507.000000,1000.000000
12M 2022,,,15123973273.000000,32579504493.000000,32579504493.000000,,32579504493.000000,602157809.000000,464581609.000000,137576200.000000,602157809.000000,33749961527.000000,82055597102.000000,,3560848768.000000,4870608541.000000,79539333421.000000,87970790730.000000,170026387832.000000,,,188560241100.000000,,9326389057.000000,9326389057.000000,,3076397535.000000,147089596956.000000,150165994491.000000,9952226431.000000,7008085210.000000,8705831886.000000,3401714025.000000,188560241100.000000,19208559325.000000,19208559325.000000,19208559325.000000,207768800425.000000,,2500000000.000000,136400000.000000,-26438290376.000000,,,-26438290376.000000,,-13940522217.000000,-37742412593.000000,170026387832.000000,1000.000000
12M 2023,,,49913901136.000000,29319377494.000000,29319377494.000000,,29319377494.000000,406139960.000000,406139960.000000,,406139960.000000,93223646021.000000,172863064611.000000,,6266146885.000000,10197015329.000000,20584364040.000000,37047526254.000000,209910590865.000000,,,56534134081.000000,,24671253487.000000,24671253487.000000,,970338429.000000,,970338429.000000,10000000000.000000,9395790626.000000,5102697431.000000,6394054108.000000,56534134081.000000,57658008812.000000,57658008812.000000,57658008812.000000,114192142893.000000,,161239367550.000000,-3199583564.000000,-62109594432.000000,,,-62109594432.000000,,-211741582.000000,95718447972.000000,209910590865.000000,6449574702.000000
12M 2024,,,11184876257.000000,48670069816.000000,48670069816.000000,,48670069816.000000,7561225607.000000,768262186.000000,6792963421.000000,7561225607.000000,121217789281.000000,188633960961.000000,,15208162040.000000,11835901164.000000,50916990378.000000,77961053582.000000,266595014543.000000,,,91726519723.000000,,43046767588.000000,43046767588.000000,,2393345109.000000,,2393345109.000000,10000000000.000000,13464598624.000000,13619748691.000000,9202059711.000000,91726519723.000000,77844056368.000000,77844056368.000000,77844056368.000000,169570576091.000000,,161239721700.000000,-3194271314.000000,-61349654786.000000,,,-61349654786.000000,,328642852.000000,97024438452.000000,266595014543.000000,6449588868.000000
