Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Others,Total Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,73519176313.000000,-55101769939.000000,18417406374.000000,-39046118650.000000,-36975679196.000000,-2070439454.000000,-39046118650.000000,-20628712276.000000,2956895735.000000,3333465859.000000,-376570124.000000,2956895735.000000,-17671816541.000000,2285384714.000000,,2285384714.000000,2285384714.000000,-15386431827.000000,,-15386431827.000000,-15386431827.000000,195544993.000000,-15190886834.000000,-15386431827.000000,-15386431827.000000,,-15386431827.000000,-15190886834.000000,-15190886834.000000,,-15190886834.000000
12M 2021,118316460489.000000,-65225293019.000000,53091167470.000000,-57988905887.000000,-55257751706.000000,-2731154181.000000,-57988905887.000000,-4897738417.000000,557520175.000000,1020026512.000000,-462506337.000000,557520175.000000,-4340218242.000000,-2569565703.000000,,-2569565703.000000,-2569565703.000000,-6909783945.000000,,-6909783945.000000,-6909783945.000000,-46958063.000000,-6956742008.000000,-6909783945.000000,-6909783945.000000,,-6909783945.000000,-6956742008.000000,-6956742008.000000,,-6956742008.000000
12M 2022,187020275669.000000,-115984518527.000000,71035757142.000000,-80080424500.000000,-75687667820.000000,-4392756680.000000,-80080424500.000000,-9044667358.000000,164267115.000000,1594145291.000000,-1429878176.000000,164267115.000000,-8880400243.000000,-1974085029.000000,-2461988178.000000,487903149.000000,-1974085029.000000,-10854485272.000000,,-10854485272.000000,-10854485272.000000,210779144.000000,-10643706128.000000,-10854485272.000000,-10854485272.000000,,-10854485272.000000,-10643706128.000000,-10643706128.000000,,-10643706128.000000
12M 2023,208757468625.000000,-153388207633.000000,55369260992.000000,-91650515593.000000,-94664764143.000000,3014248550.000000,-91650515593.000000,-36281254601.000000,-2073280090.000000,559713736.000000,-2632993826.000000,-2073280090.000000,-38354534691.000000,2683230635.000000,,2683230635.000000,2683230635.000000,-35671304056.000000,,-35671304056.000000,-35671304056.000000,-1591137682.000000,-37262441738.000000,-35671304056.000000,-35671304056.000000,,-35671304056.000000,-37262441738.000000,-37262441738.000000,,-37262441738.000000
12M 2024,325129145258.000000,-207341722522.000000,117787422736.000000,-118222460448.000000,-117234157530.000000,-988302918.000000,-118222460448.000000,-435037712.000000,-2693882930.000000,258041329.000000,-2951924259.000000,-2693882930.000000,-3128920642.000000,3888860288.000000,-5335196020.000000,9224056308.000000,3888860288.000000,759939646.000000,,759939646.000000,759939646.000000,540384434.000000,1300324080.000000,759939646.000000,759939646.000000,,759939646.000000,1300324080.000000,1300324080.000000,,1300324080.000000
