Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Pembayaran Bunga Atas Liabilitas Sewa,Pembayaran Bunga Atas Utang Pembiayaan Konsumen,Pembayaran Pajak Penghasilan - Neto,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Akuisisi Entitas Anak,Penerimaan Dari Penjualan Aset Tetap,Perolehan Aset Tetap,Pelepasan Aset Tetap,Kenaikan Uang Muka Investasi Pada Entitas Anak,Perolehan Aset Takberwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor Dari Penawaran Umum Perdana,Tambahan Modal Disetor Dari Pelaksanaan Waran,Penerimaan Dari Penjualan Saham Waran,Kenaikan Utang Lain-Lain - Pihak Berelasi,Utang Lain-Lain - Pihak Berelasi,Penerimaan,Pembayaran,Total Utang Lain-Lain - Pihak Berelasi,Utang Bank Jangka Pendek,Penerimaan,Pembayaran,Total Utang Bank Jangka Pendek,Pembayaran Biaya Emisi Saham,Pembayaran Pokok Liabilitas Sewa,Pembayaran Pokok Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kas Neto Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Perubahan Mata Uang Asing Pada Kas Dan Bank,Total Kas Dan Setara Kas Awal Periode,Kas Dan Setra Kas Akhir Periode
12M 2020,-14943921824.000000,65171467398.000000,-38670450974.000000,-44162967599.000000,3333465859.000000,-376570124.000000,,-238866384.000000,,,-14943921824.000000,-2636616738.000000,,,-875851319.000000,,,-1760765419.000000,-2636616738.000000,17902541690.000000,,,,,,25792822999.000000,-4999437856.000000,20793385143.000000,,,,,,-2890843453.000000,,17902541690.000000,322003128.000000,1052003034.000000,12086158.000000,1052003034.000000,1386092320.000000
12M 2021,-7052256417.000000,114823196572.000000,-51876609167.000000,-70171892848.000000,1020026512.000000,-462506340.000000,,-286103448.000000,,-98367698.000000,-7052256417.000000,-1610113116.000000,,,-1610113116.000000,,,,-1610113116.000000,17378073928.000000,,,,,,30698680700.000000,-10745908653.000000,19952772047.000000,,,,,,-2574698119.000000,,17378073928.000000,8715704395.000000,1386092320.000000,-5230054.000000,1386092320.000000,10096566661.000000
12M 2022,-8797095740.000000,162933452102.000000,-81392643792.000000,-88312380705.000000,1594145291.000000,-1429888376.000000,,-190020401.000000,,-1999759859.000000,-8797095740.000000,-69252853461.000000,,,-3627363115.000000,,-65625490346.000000,,-69252853461.000000,82967091365.000000,,,,,,120009392643.000000,-44832416362.000000,75176976281.000000,,9952226431.000000,,9952226431.000000,,-2162111347.000000,,82967091365.000000,4917142164.000000,10096566661.000000,110264448.000000,10096566661.000000,15123973273.000000
12M 2023,-47094031609.000000,170790272330.000000,-70736150532.000000,-143049235668.000000,559713736.000000,-2581939824.000000,,-894206193.000000,-51054002.000000,-1131431456.000000,-47094031609.000000,-23044904482.000000,-12118505956.000000,,-6287058546.000000,,,-4639339980.000000,-23044904482.000000,105001712533.000000,100873480000.000000,,,,,16124121076.000000,,16124121076.000000,,34321424963.000000,-34273651394.000000,47773569.000000,-8683549304.000000,-3020456810.000000,-339655998.000000,105001712533.000000,34862776442.000000,15123973273.000000,-72848579.000000,15123973273.000000,49913901136.000000
12M 2024,-11551542248.000000,271058942436.000000,-69017676807.000000,-207909831048.000000,258041329.000000,-980121430.000000,,-1914015184.000000,-57787645.000000,-2989093899.000000,-11551542248.000000,-16681398185.000000,,11271150.000000,-4865293117.000000,,,-11827376218.000000,-16681398185.000000,-10517193338.000000,,,5666400.000000,,,,-6046789984.000000,-6046789984.000000,,20000000000.000000,-20000000000.000000,,,-4374245398.000000,-101824356.000000,-10517193338.000000,-38750133771.000000,49913901136.000000,21108892.000000,49913901136.000000,11184876257.000000
