Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,500000000.000000,-300000000.000000,200000000.000000,-10000000.000000,,-10000000.000000,,-10000000.000000,190000000.000000,,,,,,190000000.000000,-23750000.000000,166250000.000000,,166250000.000000,166250000.000000,166250000.000000,,,166250000.000000,166250000.000000,166250000.000000,,,166250000.000000
12M 2017,14490258430.000000,-3964985461.000000,10525272969.000000,-9908312594.000000,-1722390978.000000,-6861639447.000000,-1324282169.000000,-9908312594.000000,616960375.000000,-20658554814.000000,,-21622595746.000000,964040932.000000,-20658554814.000000,-20041594439.000000,,-20041594439.000000,,-20041594439.000000,-20041594439.000000,-17375466410.000000,-2666128029.000000,,-20041594439.000000,-20041594439.000000,-17375466410.000000,-2666128029.000000,,-20041594439.000000
12M 2018,16297795249.000000,-3807414930.000000,12490380319.000000,-6409814536.000000,-543800435.000000,-5518070204.000000,-347943897.000000,-6409814536.000000,6080565783.000000,-5822859000.000000,4969162864.000000,-12606174196.000000,1814152332.000000,-5822859000.000000,257706783.000000,,257706783.000000,,257706783.000000,257706783.000000,2839936728.000000,-2582229945.000000,,257706783.000000,257706783.000000,2839936728.000000,-2582229945.000000,,257706783.000000
12M 2019,13356862757.000000,-2874235697.000000,10482627060.000000,-6392485312.000000,-319713640.000000,-6072771672.000000,,-6392485312.000000,4090141748.000000,-4638871363.000000,4294925657.000000,-8915685020.000000,-18112000.000000,-4638871363.000000,-548729615.000000,,-548729615.000000,,-548729615.000000,-548729615.000000,-392327104.000000,-156402511.000000,,-548729615.000000,-548729615.000000,-392327104.000000,-156402511.000000,,-548729615.000000
12M 2020,658372961.000000,-373401629.000000,284971332.000000,-4626892655.000000,-277847767.000000,-4153564167.000000,-195480721.000000,-4626892655.000000,-4341921323.000000,-2185130162.000000,3129881295.000000,-5379626223.000000,64614766.000000,-2185130162.000000,-6527051485.000000,,-6527051485.000000,,-6527051485.000000,-6527051485.000000,-6526588791.000000,-462694.000000,,-6527051485.000000,-6527051485.000000,-6526588791.000000,-462694.000000,,-6527051485.000000
12M 2021,4235194746.000000,-1128415371.000000,3106779375.000000,-4046443165.000000,-293674731.000000,-3504925671.000000,-247842763.000000,-4046443165.000000,-939663790.000000,-3993480995.000000,2260927176.000000,-6254408171.000000,,-3993480995.000000,-4933144785.000000,,-4933144785.000000,,-4933144785.000000,-4933144785.000000,-4932986198.000000,-158587.000000,,-4933144785.000000,-4933144785.000000,-4932986198.000000,-158587.000000,,-4933144785.000000
12M 2022,14258055710.000000,-2803763623.000000,11454292087.000000,-5859733179.000000,-387904072.000000,-5001083129.000000,-470745978.000000,-5859733179.000000,5594558908.000000,-5873837798.000000,790272798.000000,-6664110596.000000,,-5873837798.000000,-279278890.000000,,-279278890.000000,,-279278890.000000,-279278890.000000,-279511033.000000,232143.000000,,-279278890.000000,-279278890.000000,-279511033.000000,232143.000000,,-279278890.000000
12M 2023,14921808997.000000,-2747784544.000000,12174024453.000000,-5185191910.000000,-480629914.000000,-3844274845.000000,-860287151.000000,-5185191910.000000,6988832543.000000,-648599402.000000,708458679.000000,-1357058081.000000,,-648599402.000000,6340233141.000000,,6340233141.000000,727068.000000,6340960209.000000,6340233341.000000,6339741800.000000,491541.000000,,6340233341.000000,6340960409.000000,6340468868.000000,491541.000000,,6340960409.000000
12M 2024,15465485838.000000,-2920990757.000000,12544495081.000000,-5262946437.000000,-522051684.000000,-3678126521.000000,-1062768232.000000,-5262946437.000000,7281548644.000000,521091508.000000,676470736.000000,-155379228.000000,,521091508.000000,7802640152.000000,-39391235.000000,7763248917.000000,-2071118.000000,7761177799.000000,7763248917.000000,7762908490.000000,340427.000000,,7763248917.000000,7761177799.000000,7760837372.000000,340427.000000,,7761177799.000000
