Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pengembalian Uang Muka Penjualan,Penerimaan Bunga,Pembayaran Beban Bunga,Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Pembayaran Uang Muka Pembelian,Pengembalian Uang Muka Pembelian,Perolehan Tanah Untuk Dikembangkan,Pelepasan Entitas Anak,Akuisisi Entitas Anak Setelah Dikurangi Kas Dan Bank Entitas Anak Yang Diakuisisi,Penempatan Investasi Jangka Pendek,Pencairan Investasi Jangka Pendek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Hasil Penawaran Umum Perdana Saham,Penerimaan Setoran Modal Dan Tambahan Modal Disetor,Penerimaan Piutang Pihak Berelasi,Pembayaran Utang Entitas Anak Yang Diakuisisi,Setoran Modal Oleh Nonpengendali Pada Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2016,138459185.000000,500000000.000000,-361540815.000000,,,,,138459185.000000,-549574454266.000000,,,,,-475869676800.000000,,-73704777466.000000,,,-549574454266.000000,630320217615.000000,,,,800000000000.000000,,-169679787385.000000,5000.000000,630320217615.000000,80884222534.000000,407500000.000000,81291722534.000000
12M 2017,-20997272667.000000,15151443609.000000,-11794670885.000000,,955793439.000000,-25247651330.000000,-62187500.000000,-20997272667.000000,-477793202721.000000,-326800000000.000000,-993202721.000000,,,,,,-150000000000.000000,,-477793202721.000000,420806322640.000000,132678427989.000000,-11872105349.000000,300000000000.000000,,,,,420806322640.000000,-77984152748.000000,81291722534.000000,3307569786.000000
12M 2018,-19814935526.000000,15720661537.000000,-26518883135.000000,,4969162864.000000,-12606174196.000000,-1379702596.000000,-19814935526.000000,-25039452100.000000,-59302453700.000000,-14639539991.000000,,,,-854209659.000000,-243248750.000000,,50000000000.000000,-25039452100.000000,47774482242.000000,,-22167316539.000000,,411135060.000000,100020000000.000000,-30489336279.000000,,47774482242.000000,2920094616.000000,3307569786.000000,6227664402.000000
12M 2019,4015541496.000000,13482051508.000000,-4834196749.000000,,4294925657.000000,-8915685020.000000,-11553900.000000,4015541496.000000,24981138700.000000,2453700.000000,-21315000.000000,,,,,,,25000000000.000000,24981138700.000000,-24994563600.000000,,-24996000000.000000,,1436400.000000,,,,-24994563600.000000,4002116596.000000,6227664402.000000,10229780998.000000
12M 2020,2401170154.000000,10981129348.000000,-3969010933.000000,-3915062891.000000,3129881295.000000,-3825766665.000000,,2401170154.000000,-3370430002.000000,-3359480002.000000,-10950000.000000,,,,,,,,-3370430002.000000,-8332000000.000000,,-8332000000.000000,,,,,,-8332000000.000000,-9301259848.000000,10229780998.000000,928521150.000000
12M 2021,5272385364.000000,13199130163.000000,-4707512222.000000,,2260927176.000000,-5480159753.000000,,5272385364.000000,76261700000.000000,-320400000.000000,-1738300000.000000,,3320400000.000000,,,,,75000000000.000000,76261700000.000000,-5685000000.000000,,-5685000000.000000,,,,,,-5685000000.000000,75849085364.000000,928521150.000000,76777606514.000000
12M 2022,22979290134.000000,36383098240.000000,-7529970308.000000,,790272798.000000,-6664110596.000000,,22979290134.000000,-1381092770.000000,-23000000.000000,-1358092770.000000,,,,,,,,-1381092770.000000,-25004727273.000000,,-25004727273.000000,,,,,,-25004727273.000000,-3406529909.000000,76777606514.000000,73371076605.000000
12M 2023,13237579315.000000,19756965615.000000,-5870787098.000000,,708458879.000000,-1357058081.000000,,13237579315.000000,-23629850.000000,-19851850.000000,-3778000.000000,,,,,,,,-23629850.000000,-15152272727.000000,,-15152272727.000000,,,,,,-15152272727.000000,-1938323262.000000,73371076605.000000,71432753343.000000
12M 2024,-3343599972.000000,2563475497.000000,-6428166977.000000,,676470736.000000,-155379228.000000,,-3343599972.000000,-56105527200.000000,10400000.000000,-115927200.000000,,,-56000000000.000000,,,,,-56105527200.000000,55979600000.000000,,,,,55979600000.000000,,,55979600000.000000,-3469527172.000000,71432753343.000000,67963226171.000000
