Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2016,,,81291722534.000000,,112417417.000000,,,112417417.000000,63869530.000000,,,63869530.000000,277912259.000000,109966927783.000000,191712849523.000000,,175288144329.000000,,47841113689.000000,475869676800.000000,698998934818.000000,890711784341.000000,,,29668356088.000000,261174186.000000,,,261174186.000000,10682294747.000000,,,10682294747.000000,,636874988.000000,,11920562730.000000,11920562730.000000,6167449437.000000,29668356088.000000,62134850063.000000,,62114308809.000000,62114308809.000000,20541254.000000,62134850063.000000,91803206151.000000,,800100000000.000000,,435312500.000000,,,435312500.000000,-1626734310.000000,798908578190.000000,890711784341.000000,800100000.000000
12M 2017,,,3307569786.000000,150000000000.000000,409370242.000000,,,409370242.000000,530177418.000000,,,530177418.000000,289459904.000000,846970045.000000,155383547395.000000,,184718637531.000000,,47841113689.000000,912315676800.000000,1144875428020.000000,1300258975415.000000,,,69150734207.000000,8046882285.000000,,,8046882285.000000,13365577772.000000,,,13365577772.000000,,628734010.000000,,42667235724.000000,42667235724.000000,4442304416.000000,69150734207.000000,152241257457.000000,,152173958455.000000,152173958455.000000,67299002.000000,152241257457.000000,221391991664.000000,,1100100000000.000000,,-16940153910.000000,,,-16940153910.000000,-4292862339.000000,1078866983751.000000,1300258975415.000000,11001000000.000000
12M 2018,,,6227664402.000000,100000000000.000000,310517446.000000,,,310517446.000000,778485518.000000,,,778485518.000000,45370000.000000,914944199.000000,108276981565.000000,,48522938369.000000,,42446687084.000000,968962130500.000000,1059931755953.000000,1168208737518.000000,,,30129016827.000000,348365949.000000,,,348365949.000000,,,,,,754397192.000000,,24996000000.000000,24996000000.000000,4030253686.000000,30129016827.000000,54174000000.000000,,54174000000.000000,54174000000.000000,,54174000000.000000,84303016827.000000,,1100491564200.000000,19570860.000000,-14100217182.000000,,,-14100217182.000000,-2505197187.000000,1083905720691.000000,1168208737518.000000,11004915642.000000
12M 2019,,,10229780998.000000,75000000000.000000,188989931.000000,,,188989931.000000,239600997.000000,,,239600997.000000,16733792.000000,1063924423.000000,86739030141.000000,,47183660324.000000,,42446687084.000000,966901276800.000000,1056531624208.000000,1143270654349.000000,,,24485226873.000000,941205805.000000,,,941205805.000000,,,,,,763106146.000000,,18747000000.000000,18747000000.000000,4033914922.000000,24485226873.000000,35427000000.000000,,35427000000.000000,35427000000.000000,,35427000000.000000,59912226873.000000,,1100492932200.000000,19639260.000000,-14492544286.000000,,,-14492544286.000000,-2661599698.000000,1083358427476.000000,1143270654349.000000,11004929322.000000
12M 2020,,,928521150.000000,75000000000.000000,38454943.000000,,,38454943.000000,183188097.000000,,,183188097.000000,12343127.000000,829568328.000000,76992075645.000000,,45808448556.000000,,42446687084.000000,970260756802.000000,1058515892442.000000,1135507968087.000000,,,58676592096.000000,148823448.000000,,,148823448.000000,206236333.000000,,,206236333.000000,1553859558.000000,753451358.000000,,45842000000.000000,45842000000.000000,10172221399.000000,58676592096.000000,,,,,,,58676592096.000000,,1100492932200.000000,19639260.000000,-21019133077.000000,,,-21019133077.000000,-2662062392.000000,1076831375991.000000,1135507968087.000000,11004929322.000000
12M 2021,,,76777606514.000000,,6409755.000000,,,6409755.000000,55979600000.000000,,,55979600000.000000,22368274.000000,792616496.000000,133578601039.000000,,47074316024.000000,,42446687084.000000,910752612802.000000,1000273615910.000000,1133852216949.000000,,,46801713016.000000,6500000.000000,,,6500000.000000,,,,,2328107976.000000,358266139.000000,,25004727273.000000,25004727273.000000,19104111628.000000,46801713016.000000,15152272727.000000,,15152272727.000000,15152272727.000000,,15152272727.000000,61953985743.000000,,1100492932200.000000,19639260.000000,-25952119275.000000,,,-25952119275.000000,-2662220979.000000,1071898231206.000000,1133852216949.000000,11004929322.000000
12M 2022,,,73371076605.000000,,46678400.000000,,,46678400.000000,55979600000.000000,,,55979600000.000000,111623586.000000,970338216.000000,130479316807.000000,,42446687084.000000,,47969802977.000000,908631539602.000000,999048029663.000000,1129527346470.000000,,,57903215704.000000,42890691.000000,,,42890691.000000,,4596617.000000,,4596617.000000,804203742.000000,629829124.000000,,15152272727.000000,15152272727.000000,41269422803.000000,57903215704.000000,5178450.000000,,,,5178450.000000,5178450.000000,57908394154.000000,,1100492932200.000000,19639260.000000,-26231630308.000000,,,-26231630308.000000,-2661988836.000000,1071618952316.000000,1129527346470.000000,11004929322.000000
12M 2023,,,71432753343.000000,,525396376.000000,,,525396376.000000,55979600000.000000,,,55979600000.000000,115779893.000000,1077103596.000000,129130633208.000000,,42446687084.000000,,47455128918.000000,906805660397.000000,996707476399.000000,1125838109607.000000,,,47866928261.000000,36714653.000000,,,36714653.000000,,,,,619101404.000000,627814807.000000,,,,46583297397.000000,47866928261.000000,11268621.000000,,,,11268621.000000,11268621.000000,47878196882.000000,,1100492932200.000000,19639260.000000,-19891161440.000000,,,-19891161440.000000,-2661497295.000000,1077959912725.000000,1125838109607.000000,11004929322.000000
12M 2024,,,67963226171.000000,,56103738.000000,,,56103738.000000,,,,,98154701.000000,1139693596.000000,69257178206.000000,,42446687084.000000,5293273.000000,47079847142.000000,960892165615.000000,1050423993114.000000,1119681171320.000000,,,33936020464.000000,26631689.000000,,,26631689.000000,,,,,616769442.000000,80624915.000000,,,,33211994418.000000,33936020464.000000,24060332.000000,,,,24060332.000000,24060332.000000,33960080796.000000,,1100492932200.000000,19639260.000000,-12130324068.000000,,,-12130324068.000000,-2661156868.000000,1085721090524.000000,1119681171320.000000,11004929322.000000
