Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Others,Total Beban Usaha,Laba Usaha,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,229955620274.000000,-131803081918.000000,98152538356.000000,-79200625989.000000,-10542835720.000000,-55017316257.000000,-23811182236.000000,5573680668.000000,3767767234.000000,829260322.000000,-79200625989.000000,18951912367.000000,18951912367.000000,-6758442357.000000,-300279365.000000,,-6458162992.000000,-6758442357.000000,12193470010.000000,-490489240.000000,11702980770.000000,28187474.000000,11731168244.000000,11702980770.000000,16103208288.000000,-4400227518.000000,11702980770.000000,11731168244.000000,16123886785.000000,-4392718541.000000,11731168244.000000
12M 2018,251190687395.000000,-140777186771.000000,110413500624.000000,-13613389786.000000,-12438072133.000000,-72909417350.000000,-21970413929.000000,91281190732.000000,8342901965.000000,-5919579071.000000,-13613389786.000000,96800110838.000000,96800110838.000000,-5271032973.000000,-308847352.000000,,-4962185621.000000,-5271032973.000000,91529077865.000000,,91529077865.000000,149756418.000000,91678834283.000000,91529077865.000000,90654706011.000000,874371854.000000,91529077865.000000,91678834283.000000,90830194610.000000,848639673.000000,91678834283.000000
12M 2019,258598010674.000000,-133384514795.000000,125213495879.000000,-112592619947.000000,-20816598801.000000,-75742371256.000000,-19723324314.000000,6516342587.000000,10697386294.000000,-13524054457.000000,-112592619947.000000,12620875932.000000,12620875932.000000,-5902644257.000000,-151758628.000000,,-5750885629.000000,-5902644257.000000,6718231675.000000,,6718231675.000000,2211394.000000,6720443069.000000,6718231675.000000,13480975852.000000,-6762744177.000000,6718231675.000000,6720443069.000000,13480475136.000000,-6760032067.000000,6720443069.000000
12M 2020,155372926625.000000,-101477828798.000000,53895097827.000000,-89792129027.000000,-12957670912.000000,-66430523301.000000,-23962910972.000000,7723571535.000000,4903930411.000000,931474212.000000,-89792129027.000000,-35897031200.000000,-35897031200.000000,-3249726947.000000,-155650030.000000,,-3094076917.000000,-3249726947.000000,-39146758147.000000,,-39146758147.000000,-184689743.000000,-39331447890.000000,-39146758147.000000,-23795249297.000000,-15351508850.000000,-39146758147.000000,-39331447890.000000,-23969245720.000000,-15362202170.000000,-39331447890.000000
12M 2021,249103324854.000000,-144231471722.000000,104871853132.000000,-57569486501.000000,-15400817247.000000,-79168319837.000000,-17563055455.000000,7543382239.000000,3519383720.000000,43499940079.000000,-57569486501.000000,47302366631.000000,47302366631.000000,-6336886306.000000,-133196669.000000,,-6203689637.000000,-6336886306.000000,40965480325.000000,,40965480325.000000,579659682.000000,41545140007.000000,40965480325.000000,50676668370.000000,-9711188045.000000,40965480325.000000,41545140007.000000,51249837984.000000,-9704697977.000000,41545140007.000000
12M 2022,319782354630.000000,-157960363039.000000,161821991591.000000,-117066573117.000000,-26652630785.000000,-92237751013.000000,-13325555528.000000,8471738030.000000,11941509988.000000,-5263883809.000000,-117066573117.000000,44755418474.000000,44755418474.000000,-8909658748.000000,-134305759.000000,,-8775352989.000000,-8909658748.000000,35845759726.000000,,35845759726.000000,972630074.000000,36818389800.000000,35845759726.000000,36920938320.000000,-1075178594.000000,35845759726.000000,36818389800.000000,37877588985.000000,-1059199185.000000,36818389800.000000
12M 2023,279072020902.000000,-135025222018.000000,144046798884.000000,-122354015575.000000,-26066910384.000000,-98432535121.000000,-18607212698.000000,10389594593.000000,9442077572.000000,920970463.000000,-122354015575.000000,21692783309.000000,21692783309.000000,-6902059791.000000,-955878859.000000,,-5946180932.000000,-6902059791.000000,14790723518.000000,,14790723518.000000,266976632.000000,15057700150.000000,14790723518.000000,13013574787.000000,1777148731.000000,14790723518.000000,15057700150.000000,13250029224.000000,1807670926.000000,15057700150.000000
12M 2024,365587667602.000000,-179070549491.000000,186517118111.000000,-140198175035.000000,-25143517623.000000,-114712065795.000000,-19287140380.000000,23914178663.000000,12875646402.000000,-17845276302.000000,-140198175035.000000,46318943076.000000,46318943076.000000,-11512232797.000000,-2482334971.000000,,-9029897826.000000,-11512232797.000000,34806710279.000000,,34806710279.000000,81622304.000000,34888332583.000000,34806710279.000000,37349059658.000000,-2542349379.000000,34806710279.000000,34888332583.000000,37402779740.000000,-2514447157.000000,34888332583.000000
