Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2017,(156 B),(55 B),(212 B),-337387.06
12M 2018,(141 B),(49 B),(190 B),-19.14
12M 2019,(12 B),(75 B),(87 B),-8.76
12M 2020,(103 B),(28 B),(131 B),-13.19
12M 2021,(73 B),(35 B),(108 B),-9.91
12M 2022,31 B,(34 B),(2 B),-0.22
12M 2023,(30 B),(54 B),(84 B),-7.64
12M 2024,29 B,(23 B),6 B,0.52
