Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Aset Real Estat,Others,Total Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Persediaan,Aset Real Estat,Total Persediaan,Properti Investasi,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,101160959950.000000,3575113986.000000,,,3575113986.000000,12974688117.000000,12974688117.000000,,12974688117.000000,556401733396.000000,543746409005.000000,12655324391.000000,556401733396.000000,33269583625.000000,707382079074.000000,,,211042461597.000000,118041046666.000000,118041046666.000000,118041046666.000000,109629343760.000000,490552391832.000000,9540064838.000000,134320038067.000000,1073125346760.000000,1780507425834.000000,,,81072181361.000000,5710919943.000000,6912590339.000000,,,6912590339.000000,,,13233012848.000000,13233012848.000000,3117583718.000000,3089386994.000000,20373461539.000000,28635225980.000000,81072181361.000000,248672653946.000000,204651377682.000000,44021276264.000000,248672653946.000000,329744835307.000000,,627650000000.000000,218005368627.000000,222038824876.000000,,,222038824876.000000,144728283796.000000,238340113228.000000,1450762590527.000000,1780507425834.000000,627650.000000
12M 2018,,,269560883477.000000,13332843619.000000,,,13332843619.000000,443063287.000000,443063287.000000,,443063287.000000,763641522279.000000,750251676069.000000,13389846210.000000,763641522279.000000,45199063830.000000,1092177376492.000000,,,237824812399.000000,156819096666.000000,156819096666.000000,156819096666.000000,130983955199.000000,507859278429.000000,8100974404.000000,229632422568.000000,1271220539665.000000,2363397916157.000000,,,304727195906.000000,85675513355.000000,11913845788.000000,,,11913845788.000000,,,102168065636.000000,102168065636.000000,3377083881.000000,6706750945.000000,30123461538.000000,64762474763.000000,304727195906.000000,195804362074.000000,174831876687.000000,20972485387.000000,195804362074.000000,500531557980.000000,,995000000000.000000,309557642129.000000,312869019486.000000,,,312869019486.000000,224039707097.000000,21399989465.000000,1862866358177.000000,2363397916157.000000,9950000000.000000
12M 2019,,,191492005788.000000,10742977992.000000,,,10742977992.000000,2098806431.000000,2098806431.000000,,2098806431.000000,800889682534.000000,796796146403.000000,4093536131.000000,800889682534.000000,48262436909.000000,1053485909654.000000,,,227320231965.000000,206998228569.000000,206998228569.000000,206998228569.000000,135277852411.000000,546342524101.000000,6754591968.000000,185242641523.000000,1307936070537.000000,2361421980191.000000,,,263098800326.000000,84982053310.000000,15834243876.000000,,,15834243876.000000,,,64876954096.000000,64876954096.000000,3944170964.000000,8053078580.000000,14507461538.000000,70900837962.000000,263098800326.000000,215231628619.000000,191367326122.000000,23864302497.000000,215231628619.000000,478330428945.000000,,995000000000.000000,309557642129.000000,326349494622.000000,1000000000.000000,325349494622.000000,326349494622.000000,230762530046.000000,21421884449.000000,1883091551246.000000,2361421980191.000000,9950000000.000000
12M 2020,,,86893436986.000000,3378310529.000000,,,3378310529.000000,1823633893.000000,1823633893.000000,,1823633893.000000,954312999321.000000,951133817228.000000,3179182093.000000,954312999321.000000,22200843586.000000,1068609224315.000000,,13500000000.000000,206289959249.000000,208106838150.000000,208106838150.000000,208106838150.000000,156957359536.000000,507764208287.000000,5676760588.000000,195110611925.000000,1293405737735.000000,2362014962050.000000,,,306664655767.000000,86468126453.000000,18924347016.000000,,,18924347016.000000,,,42163263616.000000,42163263616.000000,3430977162.000000,6867062735.000000,21653663005.000000,127157215780.000000,306664655767.000000,217677249110.000000,181111220809.000000,36566028301.000000,217677249110.000000,524341904877.000000,,995000000000.000000,309557642129.000000,277962653568.000000,2000000000.000000,275962653568.000000,277962653568.000000,233713604213.000000,21439157263.000000,1837673057173.000000,2362014962050.000000,9950000000.000000
12M 2021,,,331983367036.000000,4687557179.000000,,,4687557179.000000,1251299791.000000,1251299791.000000,,1251299791.000000,927183798165.000000,924271502864.000000,2912295301.000000,927183798165.000000,24293242884.000000,1289399265055.000000,,13500000000.000000,212858341488.000000,232681192966.000000,232681192966.000000,232681192966.000000,209542667555.000000,466637434299.000000,4204738486.000000,217728705149.000000,1357153079943.000000,2646552344998.000000,,,151015221172.000000,,16071970964.000000,,,16071970964.000000,,,23443890591.000000,23443890591.000000,5238158756.000000,4670463720.000000,21600000000.000000,79990737141.000000,151015221172.000000,229738539179.000000,186815364583.000000,42923174596.000000,229738539179.000000,380753760351.000000,,1094500000000.000000,568073092129.000000,329212491552.000000,4000000000.000000,325212491552.000000,329212491552.000000,252403759820.000000,21609241146.000000,2265798584647.000000,2646552344998.000000,10945000000.000000
12M 2022,,,284517902936.000000,14789301619.000000,,,14789301619.000000,1029384648.000000,1029384648.000000,,1029384648.000000,993322740881.000000,989599532852.000000,3723208029.000000,993322740881.000000,10108470649.000000,1303767800733.000000,,,241330079518.000000,380291325097.000000,380291325097.000000,380291325097.000000,248865666069.000000,438379778423.000000,2831131472.000000,96695168690.000000,1408393149269.000000,2712160950002.000000,,,120632658595.000000,,35927937105.000000,,,35927937105.000000,,,3355593354.000000,3355593354.000000,7742687057.000000,5096968294.000000,16000000000.000000,52509472785.000000,120632658595.000000,290112177611.000000,214000000000.000000,76112177611.000000,290112177611.000000,410744836206.000000,,1094500000000.000000,567896856655.000000,367090080537.000000,4200000000.000000,362890080537.000000,367090080537.000000,252701916694.000000,19227259910.000000,2301416113796.000000,2712160950002.000000,10945000000.000000
12M 2023,,,240425270385.000000,23059936056.000000,,,23059936056.000000,7901640800.000000,7901640800.000000,,7901640800.000000,1051212363045.000000,1044789613745.000000,6422749300.000000,1051212363045.000000,13424027102.000000,1336023237388.000000,,,577649535053.000000,489992240297.000000,489992240297.000000,489992240297.000000,291994955804.000000,431000265755.000000,6235279949.000000,77809028820.000000,1874681305678.000000,3210704543066.000000,,,449272988572.000000,294698805085.000000,37818409038.000000,,,37818409038.000000,,,5149800027.000000,5149800027.000000,5338856421.000000,6559405497.000000,32000000000.000000,67707712504.000000,449272988572.000000,323433013429.000000,203910000000.000000,119523013429.000000,323433013429.000000,772706002001.000000,,1094500000000.000000,567896856655.000000,380340109761.000000,6200000000.000000,374140109761.000000,380340109761.000000,374643813409.000000,20617761240.000000,2437998541065.000000,3210704543066.000000,10945000000.000000
12M 2024,,,258277639668.000000,12209257370.000000,,,12209257370.000000,2718005154.000000,2718005154.000000,,2718005154.000000,1083062183819.000000,1078923874124.000000,4138309695.000000,1083062183819.000000,130558299369.000000,1486825385380.000000,,,608413713717.000000,580238895234.000000,580238895234.000000,580238895234.000000,282725231849.000000,412386692905.000000,5372945331.000000,46102648120.000000,1935240127156.000000,3422065512536.000000,,,478215943536.000000,344749646431.000000,31490423177.000000,,,31490423177.000000,,,10922616046.000000,10922616046.000000,6115338050.000000,7725739511.000000,39802930216.000000,37409250105.000000,478215943536.000000,335854743283.000000,184154319784.000000,151700423499.000000,335854743283.000000,814070686819.000000,,1094500000000.000000,567896856655.000000,417742889501.000000,8200000000.000000,409542889501.000000,417742889501.000000,507408004300.000000,20447075261.000000,2607994825717.000000,3422065512536.000000,10945000000.000000
