Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,1410000000.000000,-299860929.000000,1110139071.000000,-934606988.000000,-934606988.000000,-934606988.000000,175532083.000000,-158712852.000000,,,,-158712852.000000,-158712852.000000,16819231.000000,36108580.000000,-61029710.000000,97138290.000000,36108580.000000,10206628.000000,63134439.000000,44849466.000000,107983905.000000,63134439.000000,81956624.000000,-18822185.000000,63134439.000000,107983905.000000,124563617.000000,-16579712.000000,107983905.000000
12M 2021,171699749892.000000,-119748744499.000000,51951005393.000000,-15997082739.000000,-15997082739.000000,-15997082739.000000,35953922654.000000,-709773899.000000,,,,-709773899.000000,-709773899.000000,35244148755.000000,-7921161227.000000,-8323756650.000000,402595423.000000,-7921161227.000000,,27322987528.000000,19098003.000000,27342085531.000000,27322987528.000000,25981096843.000000,1341890685.000000,27322987528.000000,27342085531.000000,25997830708.000000,1344254823.000000,27342085531.000000
12M 2022,692738180652.000000,-525069660590.000000,167668520062.000000,-40513784857.000000,-40513784857.000000,-40513784857.000000,127154735205.000000,-7918013351.000000,-14915041497.000000,256730926.000000,6740749569.000000,-452349.000000,-7918013351.000000,119236721854.000000,-28339440265.000000,-28068120520.000000,-271319745.000000,-28339440265.000000,,90897281589.000000,49305414.000000,90946587003.000000,90897281589.000000,89854004428.000000,1043277161.000000,90897281589.000000,90946587003.000000,89903205527.000000,1043381476.000000,90946587003.000000
12M 2023,679086842095.000000,-586162620727.000000,92924221368.000000,-28856377129.000000,-28856377129.000000,-28856377129.000000,64067844239.000000,-13049638539.000000,-14806677663.000000,1647885979.000000,109840334.000000,-687189.000000,-13049638539.000000,51018205700.000000,-12400871745.000000,-13925465180.000000,1524593435.000000,-12400871745.000000,,38617333955.000000,68199262.000000,38685533217.000000,38617333955.000000,38292992494.000000,324341461.000000,38617333955.000000,38685533217.000000,38360595435.000000,324937782.000000,38685533217.000000
12M 2024,486157840521.000000,-405061564481.000000,81096276040.000000,-26666452518.000000,-26666452518.000000,-26666452518.000000,54429823522.000000,-10084926058.000000,-15096640069.000000,541607295.000000,4385984234.000000,84122482.000000,-10084926058.000000,44344897464.000000,-10896647044.000000,-9454566440.000000,-1442080604.000000,-10896647044.000000,,33448250420.000000,296431740.000000,33744682160.000000,33448250420.000000,33154107541.000000,294142879.000000,33448250420.000000,33744682160.000000,33448201800.000000,296480360.000000,33744682160.000000
