Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Eksplorasi Dan Evaluasi,Properti Pertambangan,Deposito Berjangka,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Bank,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,1011503127.000000,,1387800000.000000,1387800000.000000,,1387800000.000000,,,,,,,2399303127.000000,,676558311.000000,47214960169.000000,,,271725470.000000,1684530606.000000,49847774556.000000,52247077683.000000,,,49119047358.000000,,,,,177382488.000000,58782292.000000,,,48489837278.000000,48489837278.000000,,,393045300.000000,,393045300.000000,,49119047358.000000,1649333302.000000,,1344243386.000000,,1344243386.000000,,305089916.000000,1649333302.000000,50768380660.000000,,2000000000.000000,-609697537.000000,81956624.000000,,81956624.000000,81956624.000000,-36169056.000000,42606993.000000,1478697024.000000,52247077684.000000,2000.000000
12M 2021,,,11181839135.000000,,8810585316.000000,8810585316.000000,,8810585316.000000,,,,,34848942529.000000,2217274260.000000,57058641240.000000,,82441336259.000000,,54109010137.000000,,668934275.000000,3313981280.000000,140533261951.000000,197591903191.000000,,,95924054403.000000,,9529406366.000000,,9529406366.000000,7465848432.000000,3351036221.000000,,30956328834.000000,,30956328834.000000,,,419368271.000000,7736834876.000000,8156203147.000000,36465231403.000000,95924054403.000000,22359566233.000000,,924875115.000000,18263165124.000000,19188040239.000000,,3171525994.000000,22359566233.000000,118283620636.000000,,50000000000.000000,-609697537.000000,26063053467.000000,,26063053467.000000,26063053467.000000,3795585767.000000,59340858.000000,79308282555.000000,197591903191.000000,5000000000.000000
12M 2022,,,48363712715.000000,50000000000.000000,,,,,,,,,156842271004.000000,76178176132.000000,331384159851.000000,,135240486989.000000,,76487248796.000000,15242639479.000000,383707875.000000,44434435947.000000,271788519086.000000,603172678937.000000,,,274717757156.000000,,41466099457.000000,2581712764.000000,44047812221.000000,28912180893.000000,7480915926.000000,,3338125000.000000,,3338125000.000000,119508129910.000000,,22226176674.000000,8632132404.000000,30858309078.000000,40572284128.000000,274717757156.000000,39200052223.000000,,23347596716.000000,9643698678.000000,32991295394.000000,,6208756829.000000,39200052223.000000,313917809379.000000,,62500000000.000000,108205469437.000000,115917057895.000000,,115917057895.000000,115917057895.000000,2523800269.000000,108541957.000000,289254869558.000000,603172678937.000000,6250000000.000000
12M 2023,,,26076357761.000000,40000000000.000000,96913782918.000000,96913782918.000000,,96913782918.000000,93397217.000000,93397217.000000,,93397217.000000,129246214446.000000,83955283247.000000,376285035589.000000,,144442173668.000000,,87217241040.000000,15242639509.000000,1889166744.000000,22493070646.000000,271284291607.000000,647569327196.000000,,,307280562575.000000,,95628245317.000000,5584392787.000000,101212638104.000000,48113036824.000000,4600694760.000000,,3749450000.000000,,3749450000.000000,119508129910.000000,,21486921803.000000,8609691174.000000,30096612977.000000,,307280562575.000000,12348361843.000000,,2149222047.000000,1056448734.000000,3205670781.000000,,9142691062.000000,12348361843.000000,319628924418.000000,,62500000000.000000,108205469437.000000,154210050389.000000,,154210050389.000000,154210050389.000000,2848738052.000000,176144898.000000,327940402776.000000,647569327194.000000,6250000000.000000
12M 2024,,,9318951678.000000,,127333651761.000000,127333651761.000000,,127333651761.000000,,,,,163318365223.000000,40964345896.000000,340935314558.000000,,126705195546.000000,,324593095728.000000,15242639508.000000,363477188.000000,,466904407970.000000,807839722528.000000,,,436371247351.000000,,174434130500.000000,5347192787.000000,179781323287.000000,32836828682.000000,3957741908.000000,,,19421559598.000000,19421559598.000000,130000000000.000000,,,,,70373793876.000000,436371247351.000000,9783390242.000000,,,,,,9783390242.000000,9783390242.000000,446154637593.000000,,62500000000.000000,108205469437.000000,187364157930.000000,,187364157930.000000,187364157930.000000,3145218412.000000,470239156.000000,361685084935.000000,807839722528.000000,6250000000.000000
