Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok,Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan Operasional Lainnya,Pembayaran Beban Keuangan,Penerimaan Bunga,Pembayaran Security Deposit,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penempatan Jaminan Reklamasi,Perolehan Properti Pertambangan,Penjualan Aset Tetap,Penempatan Deposito Yang Dibatasi Penggunaannya,Pembayaran Utang Atas Perolehan Aset Tetap,Penempatan Investais Jangka Pendek,Akuisisi Entitas Anak Setelah Dikurangi Kas Dan Bank Entitas Anak Yang Diakuisisi,Penambahan Aset Eksplorasi Dan Evaluasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal,Penawaran Umum Perdana,Penerimaan Peningkatan Setoran Modal Entitas Anak,Pembayaran Uang Muka Biaya Emisi Saham,Pembayaran Liabilitas Sewa,Pembelian Saham Entitas Anak Dari Kepentingan Nonpengendali,Penerimaan Utang Bank,Jangka Panjang,Jangka Pendek,Total Penerimaan Utang Bank,Pembayaran Utang Bank,Jangka Panjang,Jangka Pendek,Total Pembayaran Utang Bank,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,-999881174.000000,22200000.000000,,,-399351394.000000,-399351394.000000,-600529780.000000,,,,-22200000.000000,-999881174.000000,-4585721435.000000,-28071000.000000,,,,,,,-236679213.000000,-4320971222.000000,-4585721435.000000,6597105736.000000,,,,,,,,,,,,,,,6597105736.000000,,6597105736.000000,1011503127.000000,,1011503127.000000
12M 2021,43925173578.000000,200742195979.000000,,-138413961021.000000,-2173108872.000000,-140587069893.000000,-13620700089.000000,,,,-2609252419.000000,43925173578.000000,-59701916968.000000,-52314428868.000000,,,,,,,,-7387488100.000000,-59701916968.000000,25947079396.000000,48000000000.000000,,2487500000.000000,-2050583326.000000,,,26000000000.000000,,,26000000000.000000,,,,,,-48489837278.000000,25947079396.000000,10170336006.000000,1011503127.000000,11181839133.000000
12M 2022,11898718651.000000,705655818693.000000,,-546810401821.000000,-33537717869.000000,-580348119690.000000,-94611068505.000000,-11675107563.000000,256730926.000000,,-7379535210.000000,11898718651.000000,-183152729493.000000,-63841732841.000000,,-23183524339.000000,,-15242639479.000000,-30884832834.000000,-50000000000.000000,,,-183152729493.000000,208435884422.000000,,122050583326.000000,1000000000.000000,,-24398659896.000000,-2000000000.000000,,,119508129910.000000,119508129910.000000,,-7724168918.000000,,-7724168918.000000,,,208435884422.000000,37181873580.000000,11181839135.000000,48363712715.000000
12M 2023,-3746983118.000000,543487525960.000000,,-499258888921.000000,-6949335450.000000,-506208224371.000000,-3765893527.000000,-14419459309.000000,1647885979.000000,,-24488817850.000000,-3746983118.000000,-9934416423.000000,-9204424179.000000,,-10729992244.000000,,10000000000.000000,,,,,-9934416423.000000,-8605955413.000000,,,,,3735761.000000,,,,,,,-8609691174.000000,,-8609691174.000000,,,-8605955413.000000,-22287354954.000000,48363712715.000000,26076357761.000000
12M 2024,185153082998.000000,526111765554.000000,,-321440113653.000000,-7733101902.000000,-329173215555.000000,-2061779780.000000,-12986933049.000000,541607295.000000,,2721638533.000000,185153082998.000000,-198521635011.000000,-514759784.000000,,-238006875227.000000,,40000000000.000000,,,,,-198521635011.000000,-3388854070.000000,,,,,-23636143850.000000,,,,10491870090.000000,10491870090.000000,,-9666139908.000000,,-9666139908.000000,,19421559598.000000,-3388854070.000000,-16757406083.000000,26076357761.000000,9318951678.000000
