Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2020,(1 B),(4 B),(5 B),-2674461.70
12M 2021,44 B,(60 B),(16 B),-3.16
12M 2022,12 B,(64 B),(52 B),-8.31
12M 2023,(4 B),(9 B),(13 B),-2.07
12M 2024,185 B,(1 B),185 B,29.54
