Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,40978.31,0.00,0.00,0.71 B,0.16%,5.41%,11.22%,
12M 2021,5.00 B,5.20,0.00,0.00,38.30 B,13.15%,34.41%,68.62%,
12M 2022,6.25 B,14.38,10.15,1.32,161.22 B,14.90%,31.34%,59.12%,8.53
12M 2023,6.25 B,6.13,8.16,0.46,98.73 B,5.91%,11.78%,19.16%,4.33
12M 2024,6.25 B,5.30,8.68,0.59,95.81 B,4.10%,9.25%,15.29%,3.61
