Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Others,Total Pajak Kini,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,110985816177.000000,-70407478498.000000,40578337679.000000,-15442882739.000000,-3060925256.000000,-12381957483.000000,-15442882739.000000,25135454940.000000,-15341244456.000000,,-18059902833.000000,2718658377.000000,-15341244456.000000,9794210484.000000,-5668819660.000000,,-5498567660.000000,-170252000.000000,-5668819660.000000,-5668819660.000000,4125390824.000000,,4125390824.000000,4125390824.000000,4141518080.000000,-16127256.000000,4125390824.000000,4125390824.000000,4141518080.000000,-16127256.000000,4125390824.000000
12M 2014,56857478199.000000,-20905540080.000000,35951938119.000000,-17302049171.000000,-2327992951.000000,-14974056220.000000,-17302049171.000000,18649888948.000000,-14071682695.000000,,-18016734516.000000,3945051821.000000,-14071682695.000000,4578206253.000000,-2851109580.000000,,-2834930830.000000,-16178750.000000,-2851109580.000000,-2851109580.000000,1727096673.000000,,1727096673.000000,1727096673.000000,2002500091.000000,-275403418.000000,1727096673.000000,1727096673.000000,2002500091.000000,-275403418.000000,1727096673.000000
12M 2015,111805752819.000000,-63658545876.000000,48147206943.000000,-22502955412.000000,-3593048996.000000,-18909906416.000000,-22502955412.000000,25644251531.000000,-23756602898.000000,7549778151.000000,-25734823128.000000,-5571557921.000000,-23756602898.000000,1887648633.000000,-7143125.000000,-7143125.000000,,,-7143125.000000,-7143125.000000,1880505508.000000,333647134.000000,2214152642.000000,1880505508.000000,4757374582.000000,-2876869074.000000,1880505508.000000,2214152642.000000,5081513823.000000,-2867361181.000000,2214152642.000000
12M 2016,50762079330.000000,-25345878628.000000,25416200702.000000,-17397021922.000000,-1155110364.000000,-16241911558.000000,-17397021922.000000,8019178780.000000,-5144066802.000000,5406597712.000000,-20696291780.000000,10145627266.000000,-5144066802.000000,2875111978.000000,,,,,,,2875111978.000000,297334603.000000,3172446581.000000,2875111978.000000,3763175432.000000,-888063454.000000,2875111978.000000,3172446581.000000,4045926116.000000,-873479535.000000,3172446581.000000
12M 2017,51301768863.000000,-22836605603.000000,28465163260.000000,-8478834038.000000,-80089845.000000,-8398744193.000000,-8478834038.000000,19986329222.000000,-18709850938.000000,4124518292.000000,-21769405804.000000,-1064963426.000000,-18709850938.000000,1276478284.000000,,,,,,,1276478284.000000,-168777373.000000,1107700911.000000,1276478284.000000,374105597.000000,902372687.000000,1276478284.000000,1107700911.000000,204399036.000000,903301875.000000,1107700911.000000
12M 2018,24645898975.000000,-8535992978.000000,16109905997.000000,-8419984818.000000,-149158392.000000,-8270826426.000000,-8419984818.000000,7689921179.000000,-6737803728.000000,2083642724.000000,-11775482076.000000,2954035624.000000,-6737803728.000000,952117451.000000,,,,,,,952117451.000000,178101491.000000,1130218942.000000,952117451.000000,502255145.000000,449862306.000000,952117451.000000,1130218942.000000,681014378.000000,449204564.000000,1130218942.000000
12M 2019,22636357600.000000,-9190407400.000000,13445950200.000000,-8690889319.000000,-9038750.000000,-8681850569.000000,-8690889319.000000,4755060881.000000,-3692896696.000000,131815044.000000,-3834802125.000000,10090385.000000,-3692896696.000000,1062164185.000000,,,,,,,1062164185.000000,-25357240.000000,1036806945.000000,1062164185.000000,644543459.000000,417620726.000000,1062164185.000000,1036806945.000000,619083073.000000,417723872.000000,1036806945.000000
12M 2020,8918828413.000000,-2628522000.000000,6290306413.000000,-7795779452.000000,,-7795779452.000000,-7795779452.000000,-1505473039.000000,-11042522372.000000,41736758.000000,-1844426610.000000,-9239832520.000000,-11042522372.000000,-12547995411.000000,,,,,,,-12547995411.000000,15588279.000000,-12532407132.000000,-12547995411.000000,-12665512779.000000,117517368.000000,-12547995411.000000,-12532407132.000000,-12649617684.000000,117210552.000000,-12532407132.000000
12M 2021,47807714524.000000,-19550581232.000000,28257133292.000000,-5760577457.000000,,-5760577457.000000,-5760577457.000000,22496555835.000000,-1066357944.000000,16734154.000000,-15920999.000000,-1067171099.000000,-1066357944.000000,21430197891.000000,,,,,,,21430197891.000000,63153797.000000,21493351688.000000,21430197891.000000,20508337099.000000,921860792.000000,21430197891.000000,21493351688.000000,20571490896.000000,921860792.000000,21493351688.000000
12M 2022,2727272000.000000,-1117854000.000000,1609418000.000000,-5211767850.000000,,-5211767850.000000,-5211767850.000000,-3602349850.000000,531792937.000000,501383088.000000,-13361872.000000,43771721.000000,531792937.000000,-3070556913.000000,,,,,,,-3070556913.000000,23220810.000000,-3047336103.000000,-3070556913.000000,-3106671557.000000,36114644.000000,-3070556913.000000,-3047336103.000000,-3083450747.000000,36114644.000000,-3047336103.000000
12M 2023,3545453600.000000,-1453210200.000000,2092243400.000000,-5031425019.000000,,-5031425019.000000,-5031425019.000000,-2939181619.000000,315149456.000000,410787564.000000,-7520088.000000,-88118020.000000,315149456.000000,-2624032163.000000,,,,,,,-2624032163.000000,5673507.000000,-2618358656.000000,-2624032163.000000,-2677123127.000000,53090964.000000,-2624032163.000000,-2618358656.000000,-2671449620.000000,53090964.000000,-2618358656.000000
12M 2024,3833180796.000000,-1571143797.000000,2262036999.000000,-4516826028.000000,,-4516826028.000000,-4516826028.000000,-2254789029.000000,260426224.000000,367104686.000000,-10848941.000000,-95829521.000000,260426224.000000,-1994362805.000000,,,,,,,-1994362805.000000,38359547.000000,-1956003258.000000,-1994362805.000000,-2061206459.000000,66843654.000000,-1994362805.000000,-1956003258.000000,-2022846912.000000,66843654.000000,-1956003258.000000
