Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,0.00,101.83,0.00,100.78,215 B,9 B,224 B,196 B,(239 B)
12M 2014,4.34,102.41,4.36,101.78,207 B,4 B,211 B,8 B,(7 B)
12M 2015,5.44,102.93,5.47,102.30,178 B,,178 B,56 B,14 B
12M 2016,6.32,103.65,6.36,103.02,150 B,,150 B,33 B,(28 B)
12M 2017,7.52,103.67,7.57,103.05,159 B,,159 B,37 B,(7 B)
12M 2018,8.48,103.74,8.52,103.34,54 B,,54 B,44 B,(15 B)
12M 2019,4.05,103.80,4.06,103.41,53 B,,53 B,42 B,(27 B)
12M 2020,0.49,102.55,0.49,102.15,,,,(3 B),(33 B)
12M 2021,0.48,104.59,0.48,104.19,,,,(3 B),13 B
12M 2022,0.48,104.28,0.48,103.89,,,,(4 B),10 B
12M 2023,0.07,104.02,0.07,103.62,,,,(3 B),7 B
12M 2024,0.12,103.82,0.12,103.42,,,,(3 B),4 B
