Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Karyawan Dan Operasional Lainnya,Pembayaran Kepada Pemasok,Penerimaan (Pembayaran) Lainnya,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Penjualan Aset Tetap,Pembayaran Uang Muka,Pembayaran Uang Muka Pembelian Tanah,Penerimaan Hasil Divestasi Entitas Anak,Penambahan Piutang Lain - Lain,Penempatan Deposito Berjangka,Pencairan Deposito Berjangka,Penambahan Tanah Untuk Dikembangkan,Perolehan Tanah,Pembayaran Dividen Entitas Anak Kepada Kepentingan Non Pengendali,Perolehan Aset Tetap,Akuisisi Entitas Anak Baru,Pembayaran Akuisisi Saham Entitas Anak Setelah Dikurangi Kas Yang Diterima,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Hasil Penawaran Umum Perdana Saham,Penerimaan Setoran Modal,Penerimaan Setoran Modal Dari Kepentingan Non Pengendali,Pembayaran Biaya Emisi Saham,Penerimaan Hasil Divestasi Entitas Anak,Penerimaan Utang Bank,Kenaikan Bersih Piutang Lain-Lain,Penerimaan Dari Pendirian Entitas Anak,Kenaikan Utang Lain - Lain Dari Pihak Ketiga,Penerimaan Dari Piutang Lain-Lain Pihak Ketiga,Pembayaran Utang Bank,Pembayaran Kepada Pihak Berelasi,Penerimaan Dari Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Entitas Anak Yang Dijual,Kas Dan Setara Kas Akhir Periode
12M 2013,-2931437065.000000,78376866481.000000,-21129826699.000000,-22781478780.000000,1626643997.000000,-36976029979.000000,-2047612085.000000,-2931437065.000000,-17597922931.000000,,,,,,,,-7631113237.000000,,,-2468793692.000000,,-7498016002.000000,-17597922931.000000,26879292056.000000,,,,,,173085000000.000000,,,,,-169902099627.000000,-40885373581.000000,64581765264.000000,26879292056.000000,6349932060.000000,21683529218.000000,,28033461278.000000
12M 2014,16867270695.000000,78696567050.000000,-17872716997.000000,-5346971413.000000,3592521107.000000,-36645148997.000000,-5556980055.000000,16867270695.000000,-177493758210.000000,172000000.000000,-161100000000.000000,,,,,,-16414989891.000000,,,-150768319.000000,,,-177493758210.000000,335341427001.000000,424000000000.000000,,,-9107675226.000000,,201516901521.000000,,,,,-214808497362.000000,-90500000000.000000,24240698068.000000,335341427001.000000,174714939486.000000,28033461278.000000,,202748400764.000000
12M 2015,76300414556.000000,149333299507.000000,-26683612493.000000,-21979571573.000000,7522189642.000000,-29173742751.000000,-2718147776.000000,76300414556.000000,-94219442684.000000,-2905097074.000000,-75375000000.000000,,,,,,-16103345610.000000,,,164000000.000000,,,-94219442684.000000,-62520680336.000000,,3701520000.000000,,,,110969930301.000000,,,,,-140464723812.000000,-36727406825.000000,,-62520680336.000000,-80439708464.000000,202748400764.000000,,122308692300.000000
12M 2016,33788504817.000000,84005571441.000000,-18163511035.000000,-11608379844.000000,5414276447.000000,-24092744976.000000,-1766707216.000000,33788504817.000000,-51516476421.000000,-347049935.000000,-56060000000.000000,,8169997500.000000,,,,-3694423986.000000,,,415000000.000000,,,-51516476421.000000,14883139021.000000,,5466743100.000000,,,,,,3000000.000000,15635344525.000000,,-6221948604.000000,,,14883139021.000000,-2844832583.000000,122308692300.000000,-2886867514.000000,116576992203.000000
12M 2017,18048610683.000000,47403275011.000000,-7678621011.000000,-665781744.000000,4116119353.000000,-24836028398.000000,-290352528.000000,18048610683.000000,-22375075190.000000,30000000.000000,-21220908715.000000,,,,,,-1174376475.000000,,,-9790000.000000,,,-22375075190.000000,9822985908.000000,,409186400.000000,,,,9413799508.000000,,,,,,,,9822985908.000000,5496521401.000000,116576992203.000000,,122073513604.000000
12M 2018,-5250051228.000000,34882316099.000000,-24447405524.000000,-603867038.000000,2149264642.000000,-17230359407.000000,,-5250051228.000000,-1029435176.000000,50000000.000000,,,495000000.000000,,,,-1502535176.000000,,,-21000000.000000,-50900000.000000,,-1029435176.000000,-105704478646.000000,,,100000.000000,,,226713783257.000000,,,,,-332418361903.000000,,,-105704478646.000000,-111983965050.000000,122073513604.000000,-59000000.000000,10030548554.000000
12M 2019,10362679443.000000,24436053619.000000,-6090720429.000000,,131815044.000000,-8114468791.000000,,10362679443.000000,-9270861055.000000,,,-8250000000.000000,,,,,-1020861055.000000,,,,,,-9270861055.000000,-459093465.000000,,,,,,129117566558.000000,,,,,-129576660023.000000,,,-459093465.000000,632724923.000000,10030548554.000000,,10663273477.000000
12M 2020,33172508052.000000,45807482800.000000,-7872184896.000000,,41736758.000000,-4804526610.000000,,33172508052.000000,2643189848.000000,,,-1700000000.000000,4950000000.000000,,,,-416810152.000000,,-190000000.000000,,,,2643189848.000000,-41361198549.000000,,,,,,,,,,11722584730.000000,-53083783279.000000,,,-41361198549.000000,-5545500649.000000,10663273477.000000,-2117351906.000000,3000420922.000000
12M 2021,18493658920.000000,26444500000.000000,-7951654235.000000,,16734154.000000,-15920999.000000,,18493658920.000000,-18807251831.000000,,,-400000000.000000,,,-17500000000.000000,,-907251831.000000,,,,,,-18807251831.000000,2814699.000000,,,,,,,,,,2814699.000000,,,,2814699.000000,-310778212.000000,3000420922.000000,,2689642710.000000
12M 2022,-3973359917.000000,3177271920.000000,-7638653053.000000,,501383088.000000,-13361872.000000,,-3973359917.000000,4482370100.000000,110000000.000000,,-75000000.000000,,,5000000000.000000,,-552629900.000000,,,,,,4482370100.000000,510147107.000000,,,,,,,,,,510147107.000000,,,,510147107.000000,1019157290.000000,2689642710.000000,,3708800000.000000
