Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Beban Akrual,Utang Pajak,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,3018544461.000000,59082770.000000,,10163360681.000000,2216861677.000000,15457849589.000000,,6183856753.000000,7589500.000000,50663126.000000,,6242109379.000000,21699958968.000000,,,19855167583.000000,2346663110.000000,597452461.000000,482672602.000000,,8795041526.000000,8795041526.000000,,,107142857.000000,52119438.000000,159262295.000000,7474075589.000000,19855167583.000000,700232517.000000,,410714286.000000,86865729.000000,497580015.000000,202652502.000000,700232517.000000,20555400100.000000,,600000000.000000,,548556295.000000,,548556295.000000,548556295.000000,,-3997427.000000,1144558868.000000,21699958968.000000,1000000000.000000
12M 2020,,,7823870237.000000,576343867.000000,26047500.000000,12844307541.000000,10537786865.000000,31808356010.000000,,5632024534.000000,141979438.000000,69877878.000000,,5843881850.000000,37652237860.000000,,,25080846246.000000,2249980819.000000,,437535710.000000,,713713948.000000,713713948.000000,,,107142857.000000,52119437.000000,159262294.000000,21520353475.000000,25080846246.000000,628310005.000000,,303571429.000000,34746292.000000,338317721.000000,289992284.000000,628310005.000000,25709156251.000000,,10000000000.000000,,1930349034.000000,,1930349034.000000,1930349034.000000,5000000.000000,7732575.000000,11943081609.000000,37652237860.000000,1300000000.000000
12M 2021,,,5851200386.000000,2000934864.000000,50000000.000000,31874742722.000000,11169793780.000000,50946671752.000000,,6832471100.000000,1429370343.000000,67866487.000000,105000000.000000,8434707930.000000,59381379682.000000,,,18365240827.000000,1184686396.000000,39900971.000000,442201794.000000,,1299424052.000000,1299424052.000000,,,107142857.000000,14769729.000000,121912586.000000,15277115028.000000,18365240827.000000,477278170.000000,,196428572.000000,,196428572.000000,280849598.000000,477278170.000000,18842518997.000000,,13000000000.000000,23844938063.000000,3651801487.000000,120000000.000000,3531801487.000000,3651801487.000000,9464359.000000,32656776.000000,40538860685.000000,59381379682.000000,1300000000.000000
12M 2022,,,9455098677.000000,2295329970.000000,515471216.000000,42280877656.000000,21543598950.000000,76090376469.000000,,6953157664.000000,1388868583.000000,102284884.000000,212000000.000000,8656311131.000000,84746687600.000000,,,38975123600.000000,2040857445.000000,73116087.000000,2287041971.000000,,925107597.000000,925107597.000000,,,196428575.000000,,196428575.000000,33452571925.000000,38975123600.000000,437296859.000000,,,,,437296859.000000,437296859.000000,39412420459.000000,,13077349370.000000,23844938063.000000,7144431730.000000,1930349034.000000,5214082696.000000,7144431730.000000,532529512.000000,735018466.000000,45334267141.000000,84746687600.000000,1307734937.000000
12M 2023,,,16287193636.000000,1829406012.000000,1157679064.000000,55965097224.000000,24785237847.000000,100024613783.000000,,6777498780.000000,1284366823.000000,185116220.000000,2529849636.000000,10776831459.000000,110801445242.000000,,,55834992155.000000,917575040.000000,43147573.000000,3282753844.000000,,597632677.000000,597632677.000000,,,89285723.000000,914036842.000000,1003322565.000000,49990560456.000000,55834992155.000000,813802931.000000,,,,,813802931.000000,813802931.000000,56648795086.000000,,13077349370.000000,23844938063.000000,15989011585.000000,1930349034.000000,14058662551.000000,15989011585.000000,577960424.000000,663390714.000000,54152650156.000000,110801445242.000000,1307734937.000000
12M 2024,,,26320343630.000000,49260775.000000,1421235.000000,86159034216.000000,17152888517.000000,129682948373.000000,,6576176635.000000,325173403.000000,586171570.000000,17195357547.000000,24682879155.000000,154365827528.000000,,,76525896076.000000,960189175.000000,226890000.000000,6054860323.000000,,273567175.000000,273567175.000000,100000000.000000,,,2418215980.000000,2418215980.000000,66492173423.000000,76525896076.000000,13979226396.000000,,,13453099348.000000,13453099348.000000,526127048.000000,13979226396.000000,90505122472.000000,,13077349370.000000,23844938063.000000,25887091180.000000,1930349034.000000,23956742146.000000,25887091180.000000,67788560.000000,983537883.000000,63860705056.000000,154365827528.000000,1307734937.000000
