Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,18700586824.000000,-10725846670.000000,7974740154.000000,-6547819109.000000,-6547819109.000000,-6547819109.000000,1426921045.000000,-118319802.000000,18961438.000000,-209816521.000000,9376742.000000,63158539.000000,-118319802.000000,1308601243.000000,-337878593.000000,-368010039.000000,30131446.000000,,-337878593.000000,970722650.000000,-7219901.000000,963502749.000000,970722650.000000,970722650.000000,,970722650.000000,963502748.000000,963502748.000000,,963502748.000000
12M 2020,31745766127.000000,-20712421949.000000,11033344178.000000,-9031203456.000000,-9031203456.000000,-9031203456.000000,2002140722.000000,-195571939.000000,208003679.000000,-403575618.000000,,,-195571939.000000,1806568783.000000,-424776043.000000,-447299257.000000,22523214.000000,,-424776043.000000,1381792740.000000,11730001.000000,1393522741.000000,1381792739.000000,1381792739.000000,,1381792739.000000,1393522741.000000,1393522741.000000,,1393522741.000000
12M 2021,46863360737.000000,-32190201564.000000,14673159173.000000,-12906445481.000000,-12906445481.000000,-12906445481.000000,1766713692.000000,456212580.000000,587586963.000000,-131374383.000000,,,456212580.000000,2222926272.000000,-497009460.000000,-502027972.000000,5018512.000000,,-497009460.000000,1725916812.000000,24924201.000000,1750841013.000000,1725916812.000000,1721233305.000000,4683507.000000,1725916812.000000,1750841013.000000,1746157506.000000,4683507.000000,1750841013.000000
12M 2022,64670126720.000000,-38965458661.000000,25704668059.000000,-21591250146.000000,-21591250146.000000,-21591250146.000000,4113417913.000000,49114970.000000,515682744.000000,-466567774.000000,,,49114970.000000,4162532883.000000,-746837487.000000,-761193010.000000,14355523.000000,,-746837487.000000,3415695396.000000,-71132010.000000,3344563386.000000,3415695396.000000,3492630243.000000,-76934847.000000,3415695396.000000,3344563386.000000,3421498233.000000,-76934847.000000,3344563386.000000
12M 2023,80742024721.000000,-42925845539.000000,37816179182.000000,-27316098173.000000,-27316098173.000000,-27316098173.000000,10500081009.000000,1022325091.000000,1645178252.000000,-622853161.000000,,,1022325091.000000,11522406100.000000,-2653861667.000000,-2696037627.000000,62628637.000000,-20452677.000000,-2653861667.000000,8868544433.000000,-71627752.000000,8796916681.000000,8868544433.000000,8844579855.000000,23964578.000000,8868544433.000000,8796916681.000000,8772952103.000000,23964578.000000,8796916681.000000
12M 2024,120118076634.000000,-61678000888.000000,58440075746.000000,-38990960769.000000,-38990960769.000000,-38990960769.000000,19449114977.000000,-819760634.000000,493718823.000000,-1313479457.000000,,,-819760634.000000,18629354343.000000,-3425552331.000000,-3876269892.000000,491366093.000000,-40648532.000000,-3425552331.000000,15203802012.000000,320192636.000000,15523994648.000000,15203802012.000000,15129019343.000000,74782669.000000,15203802012.000000,15523994648.000000,15449166512.000000,74828136.000000,15523994648.000000
