Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Usaha,Pembayaran Kepada Karyawan,Pembayaran Bunga,Penerimaan Lainnya,Pembayaran Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pelepasan Aset Tetap,Penambahan Aset Tidak Berwujud,Perolehan Aset Hak Guna Usaha,Perolehan Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Pembelian Kepemilikan Non-Pengendali,Penerimaan Utang Bank,Penerimaan (Pembayaran) Utang Bank,Penerimaan (Pembayaran) Utang Lain-Lain,Pembayaran Utang Sewa Pembiayaan,Penerimaan (Pembayaran) Piutang Lain-Lain,Agio Waran,Tambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,3310332904.000000,23461581034.000000,-14242157283.000000,-2271637406.000000,-3451041790.000000,-186411651.000000,,,3310332904.000000,-4540277855.000000,-4540277855.000000,,,,,-4540277855.000000,2605589982.000000,,,,-481683661.000000,3139393080.000000,-52119437.000000,,,,2605589982.000000,1375645031.000000,1642899429.000000,3018544460.000000
12M 2020,3935850940.000000,45274782915.000000,-31856113180.000000,-3976280001.000000,-5017658990.000000,-69050124.000000,,-419829680.000000,3935850940.000000,-291056391.000000,-143077391.000000,,-147979000.000000,,,-291056391.000000,1160531228.000000,,,,-107142857.000000,-8080206477.000000,-52119438.000000,,,9400000000.000000,1160531228.000000,4805325777.000000,3018544461.000000,7823870238.000000
12M 2021,-25702950495.000000,39195531293.000000,-53018271999.000000,-5478605256.000000,-6884090270.000000,-42114707.000000,524600444.000000,,-25702950495.000000,-3497176167.000000,-2132912007.000000,,-1364264160.000000,,,-3497176167.000000,27227456811.000000,,,,-107142857.000000,561757605.000000,-72096000.000000,,,26844938063.000000,27227456811.000000,-1972669851.000000,7823870237.000000,5851200386.000000
12M 2022,5201096676.000000,82339188510.000000,-56939387067.000000,-10013177470.000000,-9934667961.000000,-12731479.000000,-238127857.000000,,5201096676.000000,-1486341201.000000,-1416341201.000000,,-70000000.000000,,,-1486341201.000000,-110857184.000000,,,,-107142854.000000,-374316455.000000,-14769729.000000,-465471216.000000,773493700.000000,77349370.000000,-110857184.000000,3603898291.000000,5851200386.000000,9455098677.000000
12M 2023,10993390868.000000,97745937211.000000,-59979274536.000000,-10977092837.000000,-13224695868.000000,-109402066.000000,-2462081036.000000,,10993390868.000000,-3998507131.000000,-1466078475.000000,140000000.000000,,-1039737056.000000,-1632691600.000000,-3998507131.000000,-162788778.000000,,,,-107142852.000000,-327474920.000000,914036842.000000,-642207848.000000,,,-162788778.000000,6832094959.000000,9455098677.000000,16287193636.000000
12M 2024,18383957822.000000,138399834838.000000,-74629129121.000000,-27077575286.000000,-17188379516.000000,-354004628.000000,-766788465.000000,,18383957822.000000,-1839276235.000000,-1466900660.000000,,,,-372375575.000000,-1839276235.000000,-6511531593.000000,-5230939748.000000,-585000000.000000,100000000.000000,-89285723.000000,-324065502.000000,-1538498449.000000,1156257829.000000,,,-6511531593.000000,10033149994.000000,16287193636.000000,26320343630.000000
