Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,1.00 B,0.97,0.00,0.00,,4.47%,84.81%,154.70%,6.80
12M 2020,1.30 B,1.06,0.00,0.00,,3.67%,11.57%,27.78%,4.96
12M 2021,1.30 B,1.32,72.73,2.66,,2.90%,4.25%,6.59%,13.45
12M 2022,1.31 B,2.67,21.35,1.15,,4.12%,7.80%,9.48%,8.82
12M 2023,1.31 B,6.76,8.88,0.97,,7.98%,16.51%,20.85%,16.86
12M 2024,1.31 B,11.57,7.43,0.94,,9.80%,23.72%,29.29%,14.81
