Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kepada Pemasok, Karyawan Dan Pihak Ketiga Lainnya",Pembayaran Pajak,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Pinjaman Dari Pihak Berelasi,Penempatan Atas Aset Keuangan Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal,Penerimaan Dari Penerbitan Saham Baru,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Utang Lain-Lain Non Bank,Pembayaran Utang Lain-Lain Nonbank,Pembayaran Utang Lembaga Keuangan Nonbank,Penerimaan Utang Lembaga Keuangan Nonbank,Pembayaran Utang Sewa,Penerimaan Kembali (Pembayaran) Pinjaman Kepada Pemegang Saham,Penerimaan (Pembayaran) Pinjaman Dari Pihak Berelasi,Penempatan Jaminan,Peneriman Kembali Jaminan,Pembayaran Uang Muka Pinjaman,Pembayaran Dividen Pada Pemegang Saham,Pembayaran Biaya Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,42945781952.000000,556764779145.000000,-510207292829.000000,-1989862096.000000,-1621842268.000000,42945781952.000000,-396605532401.000000,-309514866893.000000,-87090665508.000000,,,-396605532401.000000,354646100956.000000,150000000000.000000,,167620013163.000000,-7107035893.000000,209452170000.000000,-240505575088.000000,,,-524202692.000000,78058619396.000000,,-38238557556.000000,38816669626.000000,-2926000000.000000,,,354646100956.000000,986350507.000000,2200996650.000000,3187347157.000000
12M 2020,42456806018.000000,1124498980579.000000,-1064735555117.000000,-2456925113.000000,-14849694331.000000,42456806018.000000,-377744695728.000000,-270285984520.000000,-107458711208.000000,,,-377744695728.000000,351174434830.000000,6576881069.000000,,146405546112.000000,-11948236200.000000,177340172109.000000,-94452170000.000000,,,-29124189431.000000,182202232482.000000,,-62560768867.000000,38238557556.000000,,,-1503590000.000000,351174434830.000000,15886545120.000000,3187347157.000000,19073892277.000000
12M 2021,166109869572.000000,2967614111503.000000,-2719505057831.000000,-31008196915.000000,-50990987185.000000,166109869572.000000,-713422459143.000000,-424964212899.000000,-279581651450.000000,-8876594794.000000,,-713422459143.000000,604778972183.000000,,349411770000.000000,444666523030.000000,-111486475636.000000,99750000000.000000,-277303026229.000000,,,-20102837197.000000,80941547923.000000,,,45762646867.000000,,,-6861176575.000000,604778972183.000000,57466382612.000000,19073892277.000000,76540274889.000000
12M 2022,117209466020.000000,2502340903868.000000,-2292915429482.000000,-7376738837.000000,-84839269529.000000,117209466020.000000,-536790782595.000000,-515603510322.000000,-6622642439.000000,-14564629834.000000,,-536790782595.000000,333643018336.000000,,,291298333917.000000,-126533287757.000000,7627218000.000000,-37145880.000000,-49750000000.000000,5000000000.000000,-30638735672.000000,289806631374.000000,3020000000.000000,,-35185948000.000000,,-20964047646.000000,,333643018336.000000,-72189270693.000000,76540274889.000000,4351004196.000000
12M 2023,1931912494.000000,392466568070.000000,-361076279654.000000,-1101282324.000000,-28357093598.000000,1931912494.000000,-16808066447.000000,-6657524793.000000,-11087924320.000000,937382666.000000,,-16808066447.000000,12150642740.000000,,,,-18293458290.000000,32731122624.000000,-85494435941.000000,-5000000000.000000,,-424834274.000000,32349965496.000000,,,56282283125.000000,,,,12150642740.000000,-2725511213.000000,4351004196.000000,1625492983.000000
12M 2024,-10329684565.000000,390965618257.000000,-395062040128.000000,-1084337635.000000,-5148925059.000000,-10329684565.000000,-2923095378.000000,-2923095378.000000,,,,-2923095378.000000,12805556394.000000,,,,-988000000.000000,7511923694.000000,,,,-623221478.000000,2638828154.000000,,,4266026024.000000,,,,12805556394.000000,-447223549.000000,1625492983.000000,1178269434.000000
