Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Bank Jangka Pendek,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pemegang Saham,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,3187347157.000000,37135010403.000000,6871265086.000000,30263745317.000000,37135010403.000000,501994118.000000,39051277579.000000,278096435739.000000,357972064996.000000,,502833241795.000000,452135661.000000,2926000000.000000,506211377456.000000,864183442452.000000,,,231608182240.000000,,,58725942149.000000,58725942149.000000,12892964107.000000,,,,,,11586869317.000000,,,3950236667.000000,3950236667.000000,144452170000.000000,231608182240.000000,332073070234.000000,,147620013163.000000,6423627978.000000,154043641141.000000,111220886449.000000,66808542644.000000,332073070234.000000,563681252474.000000,,250000000000.000000,,45487386525.000000,,45487386525.000000,45487386525.000000,4690646317.000000,324157136.000000,300502189978.000000,864183442452.000000,250000.000000
12M 2020,,,19073892277.000000,62421285648.000000,6098311628.000000,56322974020.000000,62421285648.000000,,83633164507.000000,302399557797.000000,467527900229.000000,,948422452510.000000,544027469.000000,,948966479979.000000,1416494380208.000000,,,443048018339.000000,,831571629.000000,67489619115.000000,68321190744.000000,49940907427.000000,,,,,4694555256.000000,30346631139.000000,,44557918439.000000,17846643225.000000,62404561664.000000,227340172109.000000,443048018339.000000,296505778821.000000,,194736307986.000000,32942800801.000000,227679108787.000000,,68826670034.000000,296505778821.000000,739553797160.000000,,550000000000.000000,,118455635841.000000,,118455635841.000000,118455635841.000000,5171648848.000000,3313298360.000000,676940583049.000000,1416494380209.000000,11000000000.000000
12M 2021,,,76540274889.000000,184980752969.000000,3719612215.000000,181261140754.000000,184980752969.000000,,160892160733.000000,479027553931.000000,901440742522.000000,,1402426957649.000000,699013539.000000,8876594794.000000,1412002565982.000000,2313443308504.000000,,,522409127577.000000,,1730252680.000000,156363225270.000000,158093477950.000000,99898122958.000000,,,,,5417476742.000000,59252573274.000000,,62568081950.000000,22392248823.000000,84960330773.000000,114787145880.000000,522409127577.000000,562322842468.000000,,461586474148.000000,16394909435.000000,477981383583.000000,80941547923.000000,3399910962.000000,562322842468.000000,1084731970045.000000,,647058825000.000000,243988178425.000000,327716138352.000000,5000000000.000000,322716138352.000000,327716138352.000000,5395809210.000000,4552387472.000000,1228711338459.000000,2313443308504.000000,12941176500.000000
12M 2022,,,4351004196.000000,125379861819.000000,5755304227.000000,119624557592.000000,125379861819.000000,,124935683808.000000,150772913246.000000,405439463069.000000,,2277533287761.000000,4157983642.000000,23441224628.000000,2305132496031.000000,2710571959100.000000,,,718407710160.000000,,450083442.000000,126219622994.000000,126669706436.000000,255039831746.000000,7627218000.000000,,,7627218000.000000,9290242462.000000,92097852438.000000,,136156625129.000000,21526233949.000000,157682859078.000000,70000000000.000000,718407710160.000000,794460421780.000000,,393454667989.000000,22577347599.000000,416032015588.000000,370748179297.000000,7680226895.000000,794460421780.000000,1512868131940.000000,,647058825000.000000,243403428427.000000,298147602111.000000,10000000000.000000,288147602111.000000,298147602111.000000,4719443685.000000,4374527937.000000,1197703827160.000000,2710571959100.000000,12941176500.000000
12M 2023,,,1625492983.000000,78850830988.000000,3557712073.000000,75293118915.000000,78850830988.000000,,29097074491.000000,105208107529.000000,214781505991.000000,,2226153742112.000000,4377328252.000000,23503841962.000000,2254034912326.000000,2468816418317.000000,,,377212307664.000000,,951304691.000000,63296078215.000000,64247382906.000000,55433040000.000000,17126059316.000000,,,17126059316.000000,54991392792.000000,91430781677.000000,,26005464732.000000,2978186241.000000,28983650973.000000,65000000000.000000,377212307664.000000,1114247502958.000000,,664712094242.000000,37342776769.000000,702054871011.000000,403098144793.000000,9094487154.000000,1114247502958.000000,1491459810622.000000,,647058825000.000000,243228722542.000000,78140137579.000000,10000000000.000000,68140137579.000000,78140137579.000000,4057646915.000000,4871275659.000000,977356607695.000000,2468816418317.000000,12941176500.000000
12M 2024,,,1178269434.000000,58740530595.000000,2024151072.000000,56716379523.000000,58740530595.000000,,2809142429.000000,85696663830.000000,148424606288.000000,,2183364060530.000000,37531746505.000000,23503841962.000000,2244399648997.000000,2392824255285.000000,,,425319156395.000000,,1277595949.000000,50333419214.000000,51611015163.000000,55433040000.000000,48741191575.000000,,,48741191575.000000,79029696800.000000,91646934686.000000,,26005464732.000000,7851813439.000000,33857278171.000000,65000000000.000000,425319156395.000000,1109753323081.000000,,663721981339.000000,31532876736.000000,695254858075.000000,405736972947.000000,8761492059.000000,1109753323081.000000,1535072479476.000000,,647058825000.000000,243228722542.000000,-42390216200.000000,10000000000.000000,-52390216200.000000,-42390216200.000000,3713544462.000000,6140900004.000000,857751775808.000000,2392824255284.000000,12941176500.000000
