Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2019,43 B,(397 B),(354 B),-1414639.00
12M 2020,42 B,(378 B),(335 B),-30.48
12M 2021,166 B,(705 B),(538 B),-41.61
12M 2022,117 B,(522 B),(405 B),-31.30
12M 2023,2 B,(18 B),(16 B),-1.22
12M 2024,(10 B),(3 B),(13 B),-1.02
