Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Pendapatan Bunga,Beban Keuangan,Keuntungan Atas Penjualan Entitas Anak,Beban Operasional Lainnya,Pendapatan Komisi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Penyesuaian Proforma,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,1401541455000.000000,-1482755666000.000000,-81214211000.000000,-138167364000.000000,-16669935000.000000,-121497429000.000000,,-138167364000.000000,-219381575000.000000,-141280857000.000000,-414414000.000000,-110448683000.000000,275436000.000000,,-28393823000.000000,,,,-2299373000.000000,-141280857000.000000,-360662432000.000000,5003413000.000000,5003413000.000000,,5003413000.000000,-355659019000.000000,,,-355659019000.000000,-651776000.000000,,-651776000.000000,-651776000.000000,-356310795000.000000,-355659019000.000000,-303146046000.000000,-52512973000.000000,-355659019000.000000,-356310795000.000000,-303793780000.000000,-52517015000.000000,-356310795000.000000
12M 2016,1647106585000.000000,-1622889538000.000000,24217047000.000000,-245717593000.000000,-13163219000.000000,-232554374000.000000,,-245717593000.000000,-221500546000.000000,-285961867000.000000,12017509000.000000,10741902000.000000,269867000.000000,,-298678166000.000000,,,,-10312979000.000000,-285961867000.000000,-507462413000.000000,113894776000.000000,113894776000.000000,,113894776000.000000,-393567637000.000000,,,-393567637000.000000,-3807089000.000000,,-3807089000.000000,-3807089000.000000,-397374726000.000000,-393567637000.000000,-250141841000.000000,-143425796000.000000,-393567637000.000000,-397374726000.000000,-253954414000.000000,-143420312000.000000,-397374726000.000000
12M 2017,1293363942000.000000,-1414119927000.000000,-120755985000.000000,-283055597000.000000,-10416707000.000000,-272638890000.000000,,-283055597000.000000,-403811582000.000000,-297072948000.000000,-20361111000.000000,-1707402000.000000,256701000.000000,,-283857827000.000000,,,,8596691000.000000,-297072948000.000000,-700884530000.000000,-146164679000.000000,,-146164679000.000000,-146164679000.000000,-847049209000.000000,,,-847049209000.000000,1994803000.000000,,1994803000.000000,1994803000.000000,-845054406000.000000,-847049209000.000000,-635090687000.000000,-211958522000.000000,-847049209000.000000,-845054406000.000000,-633100137000.000000,-211954269000.000000,-845054406000.000000
12M 2018,528163920000.000000,-679967876000.000000,-151803956000.000000,-117501905000.000000,-852000.000000,-117501053000.000000,,-117501905000.000000,-269305861000.000000,-86205766000.000000,-18070373000.000000,-19263704000.000000,203309000.000000,,-276973044000.000000,223523552000.000000,,,4374494000.000000,-86205766000.000000,-355511627000.000000,125522742000.000000,,125522742000.000000,125522742000.000000,-229988885000.000000,,,-229988885000.000000,5217011000.000000,,5217011000.000000,5217011000.000000,-224771874000.000000,-229988885000.000000,-66185715000.000000,-163803170000.000000,-229988885000.000000,-224771874000.000000,-60968704000.000000,-163803170000.000000,-224771874000.000000
12M 2019,8369686000.000000,-51798306000.000000,-43428620000.000000,-13306743000.000000,-415849000.000000,-12890894000.000000,,-13306743000.000000,-56735363000.000000,-11994563000.000000,-34823000.000000,5210649000.000000,22017000.000000,,-8904090000.000000,,,,-8288316000.000000,-11994563000.000000,-68729926000.000000,3056603000.000000,,3056603000.000000,3056603000.000000,-65673323000.000000,,,-65673323000.000000,-309043000.000000,,-309043000.000000,-309043000.000000,-65982366000.000000,-65673323000.000000,-64595523000.000000,-1077800000.000000,-65673323000.000000,-65982366000.000000,-64904566000.000000,-1077800000.000000,-65982366000.000000
12M 2020,10600097000.000000,-53525678000.000000,-42925581000.000000,-14804910000.000000,-781514000.000000,-14023396000.000000,,-14804910000.000000,-57730491000.000000,-152030000.000000,4002127000.000000,-1823075000.000000,4951000.000000,,-8132019000.000000,,,,5795986000.000000,-152030000.000000,-57882521000.000000,9912533000.000000,,9912533000.000000,9912533000.000000,-47969988000.000000,,,-47969988000.000000,48849000.000000,,48849000.000000,48849000.000000,-47921139000.000000,-47969988000.000000,-47254731000.000000,-715257000.000000,-47969988000.000000,-47921139000.000000,-47205882000.000000,-715257000.000000,-47921139000.000000
12M 2021,11764292000.000000,-52658671000.000000,-40894379000.000000,-12889909000.000000,-458055000.000000,-12431854000.000000,,-12889909000.000000,-53784288000.000000,9078404000.000000,,,,,,,,,9078404000.000000,9078404000.000000,-44705884000.000000,2735549000.000000,,2735549000.000000,2735549000.000000,-41970335000.000000,,,-41970335000.000000,203360000.000000,,203360000.000000,203360000.000000,-41766975000.000000,-41970335000.000000,-41399514000.000000,-570821000.000000,-41970335000.000000,-41766975000.000000,-41196154000.000000,-570821000.000000,-41766975000.000000
12M 2022,6005743000.000000,-38514349000.000000,-32508606000.000000,-15020836000.000000,-484527000.000000,-14536309000.000000,,-15020836000.000000,-47529442000.000000,-28881227000.000000,,-13084626000.000000,,10018000.000000,-42010000.000000,,,,-15764609000.000000,-28881227000.000000,-76410669000.000000,19048225000.000000,,19048225000.000000,19048225000.000000,-57362444000.000000,,,-57362444000.000000,12160000.000000,,12160000.000000,12160000.000000,-57350284000.000000,-57362444000.000000,-57012004000.000000,-350440000.000000,-57362444000.000000,-57350284000.000000,-56999844000.000000,-350440000.000000,-57350284000.000000
12M 2023,27908000.000000,-29508584000.000000,-29480676000.000000,-10678691000.000000,,,,-10678691000.000000,-40159367000.000000,22264536000.000000,,,,,,,,,22264536000.000000,22264536000.000000,-17894831000.000000,2915043000.000000,,2915043000.000000,2915043000.000000,-14979788000.000000,,,-14979788000.000000,3656000.000000,,3656000.000000,3656000.000000,-14976132000.000000,-14979789000.000000,-14705556000.000000,-274233000.000000,-14979789000.000000,-14976133000.000000,-14701900000.000000,-274233000.000000,-14976133000.000000
12M 2024,538000.000000,-30711175000.000000,-30710637000.000000,-7485941000.000000,,,,-7485941000.000000,-38196578000.000000,8073324000.000000,,,,,,,,,8073324000.000000,8073324000.000000,-30123254000.000000,2160747000.000000,,2160747000.000000,2160747000.000000,-27962507000.000000,,,-27962507000.000000,-3476000.000000,,-3476000.000000,-3476000.000000,-27965983000.000000,-27962507000.000000,-27183361000.000000,-779146000.000000,-27962507000.000000,-27965983000.000000,-27186837000.000000,-779146000.000000,-27965983000.000000
