Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2014,(121 B),"(1,848 B)","(1,969 B)",-1284.80
12M 2015,65 B,(648 B),(583 B),-161.96
12M 2016,404 B,(39 B),365 B,101.38
12M 2017,160 B,(15 B),145 B,40.20
12M 2018,537 B,(0 B),537 B,149.02
12M 2019,(9 B),(2 B),(12 B),-3.20
12M 2020,6 B,(2 B),4 B,1.09
12M 2021,(5 B),(0 B),(5 B),-1.41
12M 2022,(2 B),(1 B),(3 B),-0.85
12M 2023,8 B,(2 B),6 B,1.72
12M 2024,(4 B),(2 B),(6 B),-1.65
