Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Sewa,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan (Pembayaran) Utang Lain-Lain,Pembayaran Kas Untuk Beban Usaha,Penurunan Aset Pajak Tangguhan,Penerimaan Dari:,Pendapatan Bunga,Pendapatan Lain-Lain,Aktivitas Operasi Lainnya,Restitusi Pajak,Total Penerimaan Dari:,Pembayaran Untuk:,Pembayaran Uang Tebusan Pengampunan Pajak,Pajak Penghasilan,Beban Keuangan,Aktivitas Operasi Lainnya,Total Pembayaran Untuk:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Properti Investasi,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Investasi Saham,Kenaikan Investasi Jangka Panjang,Kenaikan Piutang Pihak Berelasi Non-Usaha,Kenaikan Piutang Lain-Lain Jangka Panjang,Pihak Ketiga,Total Kenaikan Piutang Lain-Lain Jangka Panjang,Penurunan Piutang Lain-Lain Jangka Panjang,Pihak Ketiga,Total Penurunan Piutang Lain-Lain Jangka Panjang,Penurunan Piutang Non-Usaha,Pihak Berelasi,Total Penurunan Piutang Non-Usaha,Uang Muka Investasi,Penurunan (Penambahan) Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Penambahan (Pengurangan) Aset Lain-Lain,Penerimaan Bunga,Perolehan Efek Tersedia Untuk Dijual,Penyertaan Saham Pada Tdb,Penurunan (Penambahan) Uang Muka Pembelian Aset Tetap,Penurunan (Kenaikan) Aset Tidak Lancar Lainnya,Penurunan (Kenaikan) Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Penerimaan Dari Likuidasi Entitas Anak,Pembelian Aset Keuangan Pada Nilai Wajar Melalui Penghasilan Komprehensif Lain,Akuisisi Entitas Anak Dari Entitas Sepengendali,"Akuisisi Entitas Anak, Setelah Dikurangi Kas Yang Diperoleh",Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Hasil Penawaran Umum Perdana,Penambahan Setoran Modal Saham,Entitas Anak,Perusahaan,Kepentingan Nonpengendali,Total Penambahan Setoran Modal Saham,Tambahan Modal Disetor – Agio Saham,Penurunan Transaksi Pihal Berelasi,Hasil Pelaksanaan Waran Seri 1,Hutang Bank Jangka Panjang,Penerimaan,Pembayaran,Total Hutang Bank Jangka Panjang,Hutang Lain-Lain - Jangka Panjang,Penerimaan,Pembayaran,Total Hutang Lain-Lain - Jangka Panjang,Penurunan (Kenaikan) Piutang Lain-Lain,Kenaikan (Penurunan) Utang Lain-Lain,Pembayaran Bunga Pinjaman Bank Dan Administrasi Bank Lainnya,Penurunan (Kenaikan) Piutang Lain-Lain Jangka Panjang,Kenaikan (Penurunan) Utang Lain-Lain Jangka Panjang,Pembayaran Hutang Pembiayaan Konsumen,Penerimaan (Pembayaran) Sewa Pembiayaan,Pembayaran Dividen Tunai,Penurunan Hutang Bank Jangka Pendek,Penerimaan Hutang Bank Jangka Pendek,Bagian Pemegang Saham Nonpengendali Atas Dividen Tunai Entitas Anak,Bagian Kepentingan Non Pengendali Atas Peningkatan (Penurunan) Modal Entitas Anak,Bagian Kepentingan Non Pengendali Atas Likuidasi Saham Pada Entitas Anak,Akuisisi Entitas Anak Dari Entitas Sepengendali Oleh Pemegang Saham Nonpengendali,Penerimaan Dari Penerbitan Saham,Pembayaran Beban Emisi Saham,Penerimaan Dari Penjualan (Pembelian) Saham Treasuri,Pengampunan Pajak,Penambahan Angsuran Liabilitas Sewa Pembiayaan,Pembayaran Pokok Liabilitas Sewa,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktifitas Pendanaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Total Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2014,-121347343243.000000,1213555232916.000000,,-1141502762604.000000,-127795208444.000000,-49902049294.000000,,,,319639116.000000,,,,319639116.000000,,,-7209503689.000000,-8812691244.000000,,-16022194933.000000,-121347343243.000000,-1866858142876.000000,60000000.000000,-1847584388657.000000,,-109600000.000000,,,,,,,,,,,,,,-9318812214.000000,-9905342005.000000,,,,,,,,,,,,-1866858142876.000000,1962130964308.000000,,,,,,,,160575765147.000000,,,1663246546046.000000,-344129417350.000000,1319117128696.000000,,508761990465.000000,-26323920000.000000,482438070465.000000,,,,,,,,,,,,,,,,,,,,,,1962130964308.000000,-26074521811.000000,60729724949.000000,7676457.000000,60729724949.000000,34662879595.000000
12M 2015,64535478466.000000,1413229114324.000000,,-1293522882345.000000,-31078260348.000000,,,,,275435306.000000,,,,275435306.000000,,,-1093031582.000000,-23274896889.000000,,-24367928471.000000,64535478466.000000,-648653146806.000000,2684288179.000000,-647812345421.000000,,,,,,,,,,,,,,,,-360594764.000000,,,,,-4300000000.000000,1135505200.000000,,,,,,,-648653146806.000000,561871049351.000000,,,,,,,,,,,370834022703.000000,-26298360993.000000,344535661710.000000,,4514553302.000000,,4514553302.000000,-30741888661.000000,248681650000.000000,-5118927000.000000,,,,,,,,,,,,,,,,,,,561871049351.000000,-22246618989.000000,34662879595.000000,-4395301.000000,34662879595.000000,12411865305.000000
12M 2016,404043778000.000000,1641708221000.000000,,-1198685349000.000000,-41780610000.000000,,,,,,,,2803016000.000000,2803016000.000000,,-1500000.000000,,,,-1500000.000000,404043778000.000000,-32716942000.000000,13112434000.000000,-38928772000.000000,,,,,,,,,,,,,,,,,-6170471000.000000,269867000.000000,,,-1000000000.000000,,,,,,,,-32716942000.000000,-260040626000.000000,,,,,,,,,,,130546088000.000000,,130546088000.000000,,,,,,-213146923000.000000,-298678166000.000000,-2299648000.000000,123793707000.000000,,-255684000.000000,,,,,,,,,,,,,,,-260040626000.000000,111286210000.000000,12411866000.000000,94448000.000000,12411866000.000000,123792524000.000000
12M 2017,160125322000.000000,1408612024000.000000,,-1138110885000.000000,-111455538000.000000,,,,,,,,1079721000.000000,1079721000.000000,,,,,,,160125322000.000000,-4949779000.000000,3727418000.000000,-15332152000.000000,,,,,-450000000.000000,,,,,,,,,,,,6848254000.000000,256701000.000000,,,,,,,,,,,-4949779000.000000,-271763496000.000000,,,,,,,,,,,,-16893271000.000000,-16893271000.000000,,,,,,22159731000.000000,-290200150000.000000,,14346076000.000000,,-1175882000.000000,,,,,,,,,,,,,,,-271763496000.000000,-116587953000.000000,123792524000.000000,7858000.000000,123792524000.000000,7212429000.000000
12M 2018,536691537000.000000,548459289000.000000,,-49022683000.000000,-64870989000.000000,,,101342526000.000000,,,,,783394000.000000,783394000.000000,,,,,,,536691537000.000000,94003463000.000000,10584305000.000000,-5061000.000000,,,,,-90000000.000000,,-108518113000.000000,-108518113000.000000,,,,,,,,,215921000.000000,203309000.000000,,,,,,191613102000.000000,,,,,94003463000.000000,-630762352000.000000,,,,,,,,,,,,-44415733000.000000,-44415733000.000000,,,,,,-102058220000.000000,-276973044000.000000,,-221796355000.000000,,,,,14481000000.000000,,,,,,,,,,,,-630762352000.000000,-67352000.000000,7212429000.000000,-25961000.000000,7212429000.000000,7119116000.000000
12M 2019,-9090852000.000000,10448452000.000000,,-14800425000.000000,-4738879000.000000,,,,,,,,,,,,,,,,-9090852000.000000,112056765000.000000,508771000.000000,-2435126000.000000,,,,,5442990000.000000,,108518113000.000000,108518113000.000000,,,,,,,,,,22017000.000000,,,,,,,,,,,112056765000.000000,-109919776000.000000,,,,,,,,,,,,,,,,,,,4191000000.000000,-8904090000.000000,,-105206686000.000000,,,,,,,,,,,,,,,,,-109919776000.000000,-6953863000.000000,7119116000.000000,-702000.000000,7119116000.000000,164551000.000000
12M 2020,6013795000.000000,11371435000.000000,8962434000.000000,-5679773000.000000,-8640301000.000000,,,,,,,,,,,,,,,,6013795000.000000,10840841000.000000,6952290000.000000,-2093212000.000000,,,-9707000.000000,,-377000000.000000,,,,,,,,,,,,,,,,,6368470000.000000,,,,,,,10840841000.000000,-16210788000.000000,,,,,,,,,,,,,,,,,,,-27908650000.000000,-8117983000.000000,,19815845000.000000,,,,,,,,,,,,,,,,,-16210788000.000000,643848000.000000,164551000.000000,739000.000000,164551000.000000,809138000.000000
12M 2021,-4690455000.000000,11155597000.000000,10247658000.000000,-15065745000.000000,-11027965000.000000,,,,,,,,,,,,,,,,-4690455000.000000,2962233000.000000,3373082000.000000,-394849000.000000,,,,,-16000000.000000,,,,,,,,,,,,,,,,,,,,,,,,2962233000.000000,1395437000.000000,,,,,,,,,,,,,,,,,,,5211999000.000000,-498562000.000000,,-3318000000.000000,,,,,,,,,,,,,,,,,1395437000.000000,-332785000.000000,809138000.000000,574000.000000,809138000.000000,476927000.000000
12M 2022,-2448070000.000000,5302911000.000000,18773644000.000000,-18030083000.000000,-8494542000.000000,,,,,,,,,,,,,,,,-2448070000.000000,14931286000.000000,15564578000.000000,-622292000.000000,,,,,-11000000.000000,,,,,,,,,,,,,,,,,,,,,,,,14931286000.000000,-12251000000.000000,,,,,,,,,,,,,,,,,,,-31291000000.000000,,,19040000000.000000,,,,,,,,,,,,,,,,,-12251000000.000000,232216000.000000,476927000.000000,2323000.000000,476927000.000000,711466000.000000
12M 2023,8007694000.000000,164550000.000000,22589867000.000000,-10091251000.000000,-4655472000.000000,,,,,,,,,,,,,,,,8007694000.000000,-1503544000.000000,221322000.000000,-1823866000.000000,,,,,99000000.000000,,,,,,,,,,,,,,,,,,,,,,,,-1503544000.000000,-6535000000.000000,,,,,,,,,,,,,,,,,,,-2898000000.000000,,,-3637000000.000000,,,,,,,,,,,,,,,,,-6535000000.000000,-30850000.000000,711466000.000000,-537000.000000,711466000.000000,680079000.000000
