Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2018,(13 B),(3 B),(16 B),-786774.38
12M 2019,(3 B),(0 B),(3 B),-138831.58
12M 2020,(2 B),(0 B),(2 B),-1.65
12M 2021,(28 B),(10 B),(39 B),-20.30
12M 2022,19 B,(10 B),9 B,4.64
12M 2023,16 B,(1 B),16 B,8.24
