Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Retensi,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Beban Akrual,Utang Pajak,Utang Lain-Lain,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,2624742972.000000,3840493585.000000,,154600000.000000,39727598002.000000,7541301864.000000,53888736423.000000,,5929173363.000000,,161598738.000000,,6090772101.000000,59979508524.000000,,,55427344474.000000,8121850234.000000,1311987492.000000,3806587392.000000,18728059616.000000,19837603209.000000,,326007429.000000,326007429.000000,3295249102.000000,55427344474.000000,1178279380.000000,,531884428.000000,531884428.000000,646394952.000000,1178279380.000000,56605623854.000000,,2000000000.000000,,1294844305.000000,,79040365.000000,3373884670.000000,59979508524.000000,20000.000000
12M 2019,,,2936089624.000000,2011198672.000000,,115000000.000000,41833910613.000000,6646157024.000000,53542355933.000000,,4746153390.000000,,233813662.000000,,4979967052.000000,58522322985.000000,,,53569919535.000000,3369881728.000000,,5509429482.000000,29215784490.000000,12763864088.000000,,326007429.000000,326007429.000000,2384952318.000000,53569919535.000000,1141131646.000000,,205877000.000000,205877000.000000,935254646.000000,1141131646.000000,54711051181.000000,,2000000000.000000,,1767888657.000000,,43383147.000000,3811271804.000000,58522322985.000000,20000.000000
12M 2020,,,3946941014.000000,525933464.000000,,791804339.000000,60993797003.000000,11771218186.000000,78029694006.000000,,3793582243.000000,83028375.000000,335094414.000000,,4211705032.000000,82241399038.000000,,,46483814872.000000,5527483234.000000,547089285.000000,7767106503.000000,,18466252190.000000,,205877000.000000,205877000.000000,13970006660.000000,46483814872.000000,1199139884.000000,,,,1199139884.000000,1199139884.000000,47682954756.000000,,30000000000.000000,,4474937884.000000,31889250.000000,51617148.000000,34558444282.000000,82241399038.000000,1500000000.000000
12M 2021,,,7928448465.000000,4446990611.000000,,8566769634.000000,78605700217.000000,52709387949.000000,152257296876.000000,,52665035616.000000,62271282.000000,409813570.000000,6006341916.000000,59143462384.000000,211400759260.000000,,,80361810224.000000,3611757990.000000,728169231.000000,7247319827.000000,6192233455.000000,11592163658.000000,,3578779857.000000,3578779857.000000,47411386206.000000,80361810224.000000,37633514482.000000,,36094742072.000000,36094742072.000000,1538772410.000000,37633514482.000000,117995324706.000000,,38000000000.000000,43715554302.000000,11561774473.000000,98692534.000000,29413246.000000,93405434555.000000,211400759261.000000,1900000000.000000
12M 2022,,,9015729655.000000,11724877405.000000,,6250707349.000000,108724556992.000000,65837541193.000000,201553412594.000000,,58406802495.000000,34595157.000000,346257992.000000,4977817362.000000,63765473006.000000,265318885600.000000,,,122592757753.000000,8930580318.000000,1729456329.000000,11341196477.000000,2482942948.000000,8557408395.000000,,3849670709.000000,3849670709.000000,85701502577.000000,122592757753.000000,33597143159.000000,,32347259742.000000,32347259742.000000,1249883417.000000,33597143159.000000,156189900912.000000,,38097668220.000000,43763594282.000000,27026344922.000000,194600258.000000,46777006.000000,109128984688.000000,265318885600.000000,1904883411.000000
12M 2023,,,6803305698.000000,9433298858.000000,,20547078631.000000,140336908258.000000,67353754926.000000,244474346371.000000,,50841260607.000000,266211613.000000,173479988.000000,281704468.000000,51562656676.000000,296037003047.000000,,,139498726487.000000,12343083668.000000,2862715530.000000,14008250240.000000,6195510320.000000,1446559782.000000,,3451116649.000000,3451116649.000000,99191490298.000000,139498726487.000000,30331090195.000000,,29337493350.000000,29337493350.000000,993596845.000000,30331090195.000000,169829816682.000000,,38097668220.000000,,43218494119.000000,674412695.000000,44216611331.000000,126207186365.000000,296037003047.000000,1904883411.000000
