Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Usaha,Pembayaran Kepada Karyawan,Pembayaran Bunga,Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Perolehan Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Utang Bank,Penerimaan (Pembayaran) Utang Lain-Lain,Penerimaan (Pembayaran) Piutang Lain-Lain,Pembayaran Utang Sewa Pembiayaan,Setoan Modal Saham,Tambahan Modal,Agio Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-12940861831.000000,38298642075.000000,-29605230062.000000,-11277398252.000000,-8802845427.000000,-1554030165.000000,,-12940861831.000000,-2794625837.000000,-2794625837.000000,,,-2794625837.000000,16087750755.000000,19837603209.000000,-3415153206.000000,,-334699248.000000,,,,16087750755.000000,352263087.000000,2272479887.000000,2624742974.000000
12M 2019,-2771031674.000000,48388664109.000000,-28765141566.000000,-10813484374.000000,-10592367939.000000,-988701904.000000,,-2771031674.000000,-5600000.000000,-5600000.000000,,,-5600000.000000,3087978325.000000,-7073739121.000000,10487724874.000000,,-326007428.000000,,,,3087978325.000000,311346651.000000,2624742972.000000,2936089623.000000
12M 2020,-2260589288.000000,74232951665.000000,-52169580957.000000,-12847036463.000000,-9819927720.000000,-1656995813.000000,,-2260589288.000000,-212351164.000000,-101646664.000000,-110704500.000000,,-212351164.000000,3483791843.000000,5702388102.000000,-1892588830.000000,,-326007429.000000,,,,3483791843.000000,1010851391.000000,2936089624.000000,3946941015.000000
12M 2021,-28399244383.000000,139369447747.000000,-115220483711.000000,-29739013573.000000,-11920291348.000000,-9520888613.000000,-1368014885.000000,-28399244383.000000,-10163226161.000000,-10163226161.000000,,,-10163226161.000000,42543977994.000000,-6874088532.000000,-1582731839.000000,,-804659020.000000,,51805457385.000000,,42543977994.000000,3981507450.000000,3946941014.000000,7928448464.000000
12M 2022,19247956399.000000,197557848961.000000,-125456555425.000000,-30096010150.000000,-13770430144.000000,-5786561246.000000,-3200335597.000000,19247956399.000000,-10401808445.000000,-10401808445.000000,,,-10401808445.000000,-7758866765.000000,-3034755263.000000,-3709290508.000000,2316062285.000000,-3476591479.000000,97668220.000000,48039980.000000,,-7758866765.000000,1087281189.000000,7928448465.000000,9015729654.000000
12M 2023,16312460349.000000,222676541538.000000,-137378283692.000000,-42710039545.000000,-15377629432.000000,-6245320804.000000,-4652807716.000000,16312460349.000000,2578088668.000000,-624676354.000000,,3202765022.000000,2578088668.000000,-21102972975.000000,-7179996998.000000,3712567372.000000,-14296371282.000000,-3339172067.000000,,,,-21102972975.000000,-2212423958.000000,9015729655.000000,6803305697.000000
