Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,-942606.25,-0.00,0.00,(9.62 B),-4.91%,645.56%,-6.23%,-0.27
12M 2021,0.00 B,3708024.10,0.00,0.00,309.80 B,15.55%,104.11%,32.03%,1.63
12M 2022,0.00 B,3207435.39,0.00,0.00,302.10 B,11.65%,47.44%,39.79%,1.48
12M 2023,12.66 B,14.75,0.00,0.00,353.54 B,9.73%,29.37%,32.26%,1.58
12M 2024,15.83 B,18.28,20.35,6.40,382.33 B,11.22%,16.31%,17.59%,3.34
