Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayarn Bunga Liabilitas Sewa,Pembayaran Pajak Penghasilan Badan,Penerimaan Klaim Asuransi Aset Tetap,Pembayaran Bunga Pinjaman Jangka Panjang,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Kenaikan Neto Piutang Pihak Berelasi,Penerimaan Dari Penjualan Entitas Anak,Kenaikan Aset Lancar Lainnya,Kenaikan Dan Dana Yang Dibatasi Penggunaannya,Perolehan Aset Tetap,Penurunan Neto Piutang Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Saham Baru Melalui Penawaran Umum,Penerimaan Pinjaman Jangka Panjang,Penerimaan Modal Saham,Pembayaran Liabilitas Sewa,Pembayaran Pinjaman Jangka Panjang,Penurunan Neto Utang Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,-32249634000.000000,71721571000.000000,-94044665000.000000,-2696609000.000000,158165000.000000,-585287000.000000,-2361868000.000000,,-4440941000.000000,-32249634000.000000,-670095742000.000000,-520966766000.000000,,,,-149128976000.000000,,-670095742000.000000,702801444000.000000,,711841654000.000000,,-2988463000.000000,,-6051747000.000000,702801444000.000000,456068000.000000,588652000.000000,1044720000.000000
12M 2021,64555107000.000000,496675836000.000000,-291437618000.000000,-4710923000.000000,153639000.000000,-1124022000.000000,-45573013000.000000,,-89428792000.000000,64555107000.000000,-17468622000.000000,,,,,-17468622000.000000,,-17468622000.000000,-34034607000.000000,,,,-6023479000.000000,-12861128000.000000,-15150000000.000000,-34034607000.000000,13051878000.000000,1044720000.000000,14096598000.000000
12M 2022,73701291000.000000,642664953000.000000,-287222316000.000000,-12052978000.000000,468318000.000000,-1438736000.000000,-71947156000.000000,,-196770794000.000000,73701291000.000000,2583945000.000000,,,,,-62997376000.000000,65581321000.000000,2583945000.000000,-53953706000.000000,,,,-9779197000.000000,-20710259000.000000,-23464250000.000000,-53953706000.000000,22331530000.000000,14096598000.000000,36428128000.000000
12M 2023,89837692000.000000,864529222000.000000,-413229585000.000000,-19854481000.000000,241950000.000000,-3556015000.000000,-55445149000.000000,2685199000.000000,-285533449000.000000,89837692000.000000,-267336565000.000000,-11161500000.000000,5999000.000000,,-133954000.000000,-256047110000.000000,,-267336565000.000000,142287802000.000000,,1097845588000.000000,3583200000.000000,-3561682000.000000,-955579304000.000000,,142287802000.000000,-35211071000.000000,36428128000.000000,1217057000.000000
12M 2024,-22311041000.000000,611829653000.000000,-456755321000.000000,-27036723000.000000,3554560000.000000,-3470930000.000000,-57507060000.000000,,-92925220000.000000,-22311041000.000000,-92137889000.000000,46050000000.000000,,,-10066046000.000000,-128121843000.000000,,-92137889000.000000,180255959000.000000,860923520000.000000,542000000000.000000,,-5835955000.000000,-1182303244000.000000,-34528362000.000000,180255959000.000000,65807029000.000000,1217057000.000000,67024086000.000000
