Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Pajak,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,1044720000.000000,11767968000.000000,,11767968000.000000,11767968000.000000,,,,,,15612455000.000000,28425143000.000000,,,,,575294684000.000000,7924094000.000000,334624358000.000000,7706340000.000000,24431193000.000000,949980669000.000000,978405812000.000000,,,155005495000.000000,,23187189000.000000,1178560000.000000,24365749000.000000,10086817000.000000,2596096000.000000,,66712000.000000,7303810000.000000,7370522000.000000,,104142433000.000000,6443878000.000000,110586311000.000000,155005495000.000000,815796848000.000000,92961365000.000000,,719363993000.000000,3471490000.000000,722835483000.000000,,815796848000.000000,970802343000.000000,,51000000000.000000,,-58446679000.000000,,,-58446679000.000000,15050148000.000000,,7603469000.000000,978405812000.000000,51000.000000
12M 2021,,,14096598000.000000,141708750000.000000,29619743000.000000,112089007000.000000,141708750000.000000,,,,,,11776692000.000000,167582040000.000000,,,,,649133827000.000000,5448717000.000000,362202043000.000000,7706340000.000000,24315988000.000000,1048806915000.000000,1216388955000.000000,,,314206899000.000000,,16462547000.000000,4851577000.000000,21314124000.000000,7069728000.000000,20797784000.000000,,2981649000.000000,80574000.000000,3062223000.000000,,248039768000.000000,13923272000.000000,261963040000.000000,314206899000.000000,705941528000.000000,79485812000.000000,,619222879000.000000,6905111000.000000,626127990000.000000,327726000.000000,705941528000.000000,1020148427000.000000,,51000000000.000000,,130662550000.000000,,,130662550000.000000,14589164000.000000,-11186000.000000,196240528000.000000,1216388955000.000000,51000.000000
12M 2022,,,36428128000.000000,168860767000.000000,27961076000.000000,140899691000.000000,168860767000.000000,39958000.000000,39958000.000000,,39958000.000000,4621196000.000000,12043044000.000000,221993093000.000000,,716545000.000000,716545000.000000,716545000.000000,752872142000.000000,10123827000.000000,381475356000.000000,7706340000.000000,29762873000.000000,1182657083000.000000,1404650176000.000000,,,980698396000.000000,,22104102000.000000,5114162000.000000,27218264000.000000,8911426000.000000,32674382000.000000,,3362557000.000000,20745000.000000,3383302000.000000,,902140545000.000000,6370477000.000000,908511022000.000000,980698396000.000000,76277681000.000000,61086000000.000000,,9351172000.000000,4678709000.000000,14029881000.000000,1161800000.000000,76277681000.000000,1056976077000.000000,,51000000000.000000,,294241755000.000000,,,294241755000.000000,2825947000.000000,-393603000.000000,347674099000.000000,1404650176000.000000,51000.000000
12M 2023,,,1217057000.000000,234944587000.000000,39317487000.000000,195627100000.000000,234944587000.000000,,,,,1522997000.000000,6623868000.000000,244308509000.000000,,,,,858473453000.000000,2435277000.000000,716192730000.000000,7706340000.000000,90400284000.000000,1675208084000.000000,1919516593000.000000,,,444904452000.000000,,60655420000.000000,33237625000.000000,93893045000.000000,13518219000.000000,65544105000.000000,,120255000.000000,,120255000.000000,,263290413000.000000,8538415000.000000,271828828000.000000,444904452000.000000,839836779000.000000,83606889000.000000,,721822101000.000000,32270583000.000000,754092684000.000000,2137206000.000000,839836779000.000000,1284741231000.000000,,63303200000.000000,91779744000.000000,481009465000.000000,6330320000.000000,474679145000.000000,481009465000.000000,-1031446000.000000,-285601000.000000,634775362000.000000,1919516593000.000000,12660640000.000000
12M 2024,,,67024086000.000000,537327680000.000000,52109113000.000000,485218567000.000000,537327680000.000000,18275400000.000000,1571746000.000000,16703654000.000000,18275400000.000000,1867192000.000000,18066809000.000000,642561167000.000000,,,,,972829754000.000000,2380658000.000000,795486293000.000000,7706340000.000000,156923442000.000000,1935326487000.000000,2577887654000.000000,,,389952118000.000000,,122234934000.000000,18723883000.000000,140958817000.000000,19504511000.000000,142657265000.000000,,6250000.000000,,6250000.000000,,83463108000.000000,3362167000.000000,86825275000.000000,389952118000.000000,370341847000.000000,52487781000.000000,,284435210000.000000,31610876000.000000,316046086000.000000,1807980000.000000,370341847000.000000,760293965000.000000,,79129000000.000000,924351959000.000000,770278025000.000000,12660640000.000000,757617385000.000000,770278025000.000000,43520444000.000000,314261000.000000,1817593689000.000000,2577887654000.000000,15825800000.000000
