Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Beban Pajak Penghasilan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,1213459485952.000000,-621204287165.000000,592255198787.000000,-396102657856.000000,-95337115314.000000,-413480301625.000000,112714759083.000000,-396102657856.000000,196152540931.000000,-47595343314.000000,104128672.000000,27254149491.000000,-74953621477.000000,-47595343314.000000,148557197617.000000,-31846948580.000000,,,-31846948580.000000,116710249037.000000,,116710249037.000000,1997629644.000000,1997629644.000000,1997629644.000000,118707878681.000000,116710249037.000000,116945980751.000000,-235731714.000000,116710249037.000000,118707878681.000000,118941113358.000000,-233234677.000000,,118707878681.000000
12M 2013,1473969869395.000000,-808735762594.000000,665234106801.000000,-399194598576.000000,-83241676375.000000,-452155562623.000000,136202640422.000000,-399194598576.000000,266039508225.000000,-85169817034.000000,-1545147090.000000,12976344008.000000,-96601013952.000000,-85169817034.000000,180869691191.000000,-45203159139.000000,,,-45203159139.000000,135666532052.000000,,135666532052.000000,13479730215.000000,13479730215.000000,13479730215.000000,149146262267.000000,135666532052.000000,135859903878.000000,-193371826.000000,135666532052.000000,149146262267.000000,149322784432.000000,-176522165.000000,,149146262267.000000
12M 2014,1782116842234.000000,-1036919613015.000000,745197229219.000000,-443374144866.000000,-121942391183.000000,-485766237589.000000,164334483906.000000,-443374144866.000000,301823084353.000000,-130020682192.000000,-5521206077.000000,10367956589.000000,-134867432704.000000,-130020682192.000000,171802402161.000000,-46098707706.000000,,,-46098707706.000000,125703694455.000000,,125703694455.000000,-18130725064.000000,-18130725064.000000,-18130725064.000000,107572969391.000000,125703694455.000000,124605961991.000000,1097732464.000000,125703694455.000000,107572969391.000000,106494968887.000000,1078000504.000000,,107572969391.000000
12M 2015,2144890333409.000000,-1231887610662.000000,913002722747.000000,-661663550202.000000,-200591662930.000000,-634968615995.000000,173896728723.000000,-661663550202.000000,251339172545.000000,-117799124594.000000,2756170859.000000,8846791641.000000,-129402087094.000000,-117799124594.000000,133540047951.000000,-51418731757.000000,-49649373429.000000,-1769358328.000000,-51418731757.000000,82121316194.000000,,82121316194.000000,18840091770.000000,18840091770.000000,18840091770.000000,100961407964.000000,82121316194.000000,81067087029.000000,1054229165.000000,82121316194.000000,100961407964.000000,99883267030.000000,1078140934.000000,,100961407964.000000
12M 2016,2461573795697.000000,-1491239976899.000000,970333818798.000000,-663956086579.000000,-190881187089.000000,-712141877373.000000,239066977883.000000,-663956086579.000000,306377732219.000000,-105945439093.000000,-2099031415.000000,37744342152.000000,-141590749830.000000,-105945439093.000000,200432293126.000000,-61103620989.000000,-53554752559.000000,-7548868430.000000,-61103620989.000000,139328672137.000000,,139328672137.000000,-14752213157.000000,-14752213157.000000,-14752213157.000000,124576458980.000000,139328672137.000000,137664844881.000000,1663827256.000000,139328672137.000000,124576458980.000000,122932961087.000000,1643497893.000000,,124576458980.000000
12M 2017,2711939034021.000000,-1565377781554.000000,1146561252467.000000,-751194031005.000000,-183691233768.000000,-844776467341.000000,277273670104.000000,-751194031005.000000,395367221462.000000,-145834590258.000000,9802847869.000000,28914537308.000000,-184551975435.000000,-145834590258.000000,249532631204.000000,-56820496564.000000,-49561964094.000000,-7258532470.000000,-56820496564.000000,192712134640.000000,,192712134640.000000,-72766187495.000000,-72766187495.000000,-72766187495.000000,119945947145.000000,192712134640.000000,194084812199.000000,-1372677559.000000,192712134640.000000,119945947145.000000,121398548885.000000,-1452601740.000000,,119945947145.000000
12M 2018,3383551835170.000000,-1919962433215.000000,1463589401955.000000,-1020224493067.000000,-230577269882.000000,-986184237378.000000,196537014193.000000,-1020224493067.000000,443364908888.000000,-220192980961.000000,20610183373.000000,17146085806.000000,-257949250140.000000,-220192980961.000000,223171927927.000000,-60587532023.000000,-56814389129.000000,-3773142894.000000,-60587532023.000000,162584395904.000000,,162584395904.000000,38678681094.000000,38678681094.000000,38678681094.000000,201263076998.000000,162584395904.000000,158575858673.000000,4008537231.000000,162584395904.000000,201263076998.000000,197102528211.000000,4160548787.000000,,201263076998.000000
12M 2019,3966048396263.000000,-2297072304242.000000,1668976092021.000000,-1098933151866.000000,-189792306298.000000,-1206523868690.000000,297383023122.000000,-1098933151866.000000,570042940155.000000,-491151909622.000000,24886429582.000000,32160035468.000000,-548198374672.000000,-491151909622.000000,78891030533.000000,-35323780726.000000,-29341372927.000000,-5982407799.000000,-35323780726.000000,43567249807.000000,,43567249807.000000,-182135347261.000000,-182135347261.000000,-182135347261.000000,-138568097454.000000,43567249807.000000,76553967202.000000,-32986717395.000000,43567249807.000000,-138568097454.000000,-93616330759.000000,-44951766695.000000,,-138568097454.000000
12M 2020,4142750788802.000000,-2558617851988.000000,1584132936814.000000,-1121828397338.000000,-154512638764.000000,-1242409504511.000000,275093745937.000000,-1121828397338.000000,462304539476.000000,-563450995790.000000,9599307496.000000,60806372131.000000,-633856675417.000000,-563450995790.000000,-101146456314.000000,-10511805202.000000,2230299024.000000,-12742104226.000000,-10511805202.000000,-111658261516.000000,,-111658261516.000000,-101684871482.000000,-101684871482.000000,-101684871482.000000,-213417370425.000000,-111658261516.000000,-61054802699.000000,-50603458817.000000,-111658261516.000000,-213417370425.000000,-152245957881.000000,-61171412544.000000,,-213417370425.000000
12M 2021,4039420527843.000000,-2636377059168.000000,1403043468675.000000,-833570778089.000000,-214791676085.000000,-983311879226.000000,364532777222.000000,-833570778089.000000,569472690586.000000,-637576433920.000000,23015017246.000000,21387821764.000000,-681979272930.000000,-637576433920.000000,-68103743334.000000,-12455508297.000000,-7711942534.000000,-4743565763.000000,-12455508297.000000,-80559251631.000000,,-80559251631.000000,232838244606.000000,232838244606.000000,232838244606.000000,152693335782.000000,-80559251631.000000,-6130723987.000000,-74428527644.000000,-80559251631.000000,152693335782.000000,208919028327.000000,-56225692545.000000,,152693335782.000000
